BOOK,PAGE,WEB,ITEM,Desc.,ACP,Cost,"Ref bonus","Fort bonus","Max Dex","Spd 6sq","Spd 4sq",Weight,Avail., U. Slots,Helmet P.,COMMENTS,Skill,Skillbonus,Ability,Abilitybonus,Used By
K,71,w,"Energy shields, light SR 5","Energy Shields (KotORCG)
Light, Medium, and Heavy Armor

Rising to prominence in the days after the Great Sith War, personal energy shields project a thin layer of shielding over an individual character or creature. The popularity of energy shields sparks a revolution in combat tactics, including a surge in the popularity of melee weapons and non-energy projectile weapons. Just as the spread of energy shields is a response to the prominence of energy weapons, they in turn cause warriors to adjust their tactics to deal with personal energy shields.

Energy shields give a character a Shield Rating, which functions exactly as vehicle and starship shields. An energy-shield generator is typically worn on the forearm or upper arm and must be activated as a swift action. Energy shields typically have 5 charges, and energy shields can only be activated once per encounter (the stress on the shield generator causes the device to overload otherwise, so the manufacturers build in fail-safes to prevent such an occurrence). Each activation consumes one charge and lasts through the end of the encounter. An energy shield only protects against weapons that deal energy damage; a weapon that deals any other type of damage bypasses the shield's SR entirely.

Energy shields come in three varieties: light, medium, and heavy. Each energy shield type corresponds to an armor type. A character with an active personal shield without the relevant Armor Proficiency feat takes a -5 penalty to Reflex Defense, and the wearer is denied its Dexterity bonus to Reflex Defense, though he or she still gains the benefit of the shield. Regardless of whether or not the character is proficient in the personal shield, the character always takes the armor check penalty associated with the shield while it is activated. Additionally, each type of energy shield imposes its Maximum Dexterity Bonus restriction only when activated, not when worn and inert. An energy shield can be added to a suit of armor as an accessory. An energy shield can be modified by armor templates (see below) only if the template specifically states that it can be used on energy shields, and the shield confers that benefit only when it is activated.

The SR provided by the energy shield determines the shield's price, as well as the type of Armor Proficiency feat required to operate the shields without penalty. SR 5 and SR 10 energy shields require Armor Proficiency (light); SR 15 and SR 20 energy shields require Armor Proficiency (medium); SR 25 and greater energy shields require Armor Proficiency (heavy). See Table 5-4 for prices of energy shields.
",-2,500,0,0,4,,,1,,1,,"5 charges, activate 1/encounter for length of encounter, only protects against energy dmg, works against lightsabers as per the KOTOR sidebar rules.",,,,,"Sith troopers, old Republic troopers"
K,71,w,"Energy shields, medium SR 15","Energy Shields (KotORCG)
Light, Medium, and Heavy Armor

Rising to prominence in the days after the Great Sith War, personal energy shields project a thin layer of shielding over an individual character or creature. The popularity of energy shields sparks a revolution in combat tactics, including a surge in the popularity of melee weapons and non-energy projectile weapons. Just as the spread of energy shields is a response to the prominence of energy weapons, they in turn cause warriors to adjust their tactics to deal with personal energy shields.

Energy shields give a character a Shield Rating, which functions exactly as vehicle and starship shields. An energy-shield generator is typically worn on the forearm or upper arm and must be activated as a swift action. Energy shields typically have 5 charges, and energy shields can only be activated once per encounter (the stress on the shield generator causes the device to overload otherwise, so the manufacturers build in fail-safes to prevent such an occurrence). Each activation consumes one charge and lasts through the end of the encounter. An energy shield only protects against weapons that deal energy damage; a weapon that deals any other type of damage bypasses the shield's SR entirely.

Energy shields come in three varieties: light, medium, and heavy. Each energy shield type corresponds to an armor type. A character with an active personal shield without the relevant Armor Proficiency feat takes a -5 penalty to Reflex Defense, and the wearer is denied its Dexterity bonus to Reflex Defense, though he or she still gains the benefit of the shield. Regardless of whether or not the character is proficient in the personal shield, the character always takes the armor check penalty associated with the shield while it is activated. Additionally, each type of energy shield imposes its Maximum Dexterity Bonus restriction only when activated, not when worn and inert. An energy shield can be added to a suit of armor as an accessory. An energy shield can be modified by armor templates (see below) only if the template specifically states that it can be used on energy shields, and the shield confers that benefit only when it is activated.

The SR provided by the energy shield determines the shield's price, as well as the type of Armor Proficiency feat required to operate the shields without penalty. SR 5 and SR 10 energy shields require Armor Proficiency (light); SR 15 and SR 20 energy shields require Armor Proficiency (medium); SR 25 and greater energy shields require Armor Proficiency (heavy). See Table 5-4 for prices of energy shields.
",-5,4500,0,0,3,4,3,1,,1,,"5 charges, activate 1/encounter for length of encounter, only protects against energy dmg, works against lightsabers as per the KOTOR sidebar rules.",,,,,"Sith troopers, old Republic troopers"
K,71,w,"Energy shields, medium SR 20","Energy Shields (KotORCG)
Light, Medium, and Heavy Armor

Rising to prominence in the days after the Great Sith War, personal energy shields project a thin layer of shielding over an individual character or creature. The popularity of energy shields sparks a revolution in combat tactics, including a surge in the popularity of melee weapons and non-energy projectile weapons. Just as the spread of energy shields is a response to the prominence of energy weapons, they in turn cause warriors to adjust their tactics to deal with personal energy shields.

Energy shields give a character a Shield Rating, which functions exactly as vehicle and starship shields. An energy-shield generator is typically worn on the forearm or upper arm and must be activated as a swift action. Energy shields typically have 5 charges, and energy shields can only be activated once per encounter (the stress on the shield generator causes the device to overload otherwise, so the manufacturers build in fail-safes to prevent such an occurrence). Each activation consumes one charge and lasts through the end of the encounter. An energy shield only protects against weapons that deal energy damage; a weapon that deals any other type of damage bypasses the shield's SR entirely.

Energy shields come in three varieties: light, medium, and heavy. Each energy shield type corresponds to an armor type. A character with an active personal shield without the relevant Armor Proficiency feat takes a -5 penalty to Reflex Defense, and the wearer is denied its Dexterity bonus to Reflex Defense, though he or she still gains the benefit of the shield. Regardless of whether or not the character is proficient in the personal shield, the character always takes the armor check penalty associated with the shield while it is activated. Additionally, each type of energy shield imposes its Maximum Dexterity Bonus restriction only when activated, not when worn and inert. An energy shield can be added to a suit of armor as an accessory. An energy shield can be modified by armor templates (see below) only if the template specifically states that it can be used on energy shields, and the shield confers that benefit only when it is activated.

The SR provided by the energy shield determines the shield's price, as well as the type of Armor Proficiency feat required to operate the shields without penalty. SR 5 and SR 10 energy shields require Armor Proficiency (light); SR 15 and SR 20 energy shields require Armor Proficiency (medium); SR 25 and greater energy shields require Armor Proficiency (heavy). See Table 5-4 for prices of energy shields.
",-5,8000,0,0,3,4,3,1,,1,,"5 charges, activate 1/encounter for length of encounter, only protects against energy dmg, works against lightsabers as per the KOTOR sidebar rules.",,,,,"Sith troopers, old Republic troopers"
F,179,w,EVO Trooper armor,,-2,8000,6,2,3,,,10,"Military, Rare",,x,v. airborne poisons +10,,,,,EVO Trooper
K,153,w,Exar Kun's light battle suit,,-2,,6,2,3,,,,Unique,,,,,,,,Exar Kun
K,72,w,Fiber armor,"Fiber Armor (KotORCG)
Light Armor

Initially used on worlds where traditional armor plating was in short supply, fiber armor is specially designed to channel energy-weapon attacks away from the body. The various metal fibers woven into the exterior of this armor cause it to absorb and harmlessly disperse energy damage. However, fiber armor is far from perfect, and lucky shots manage to hit. Once per encounter, a character fighting defensively while wearing fiber armor can gain DR 10 against a single ranged energy attack as a reaction.
",-2,3000,4,1,2,,,10,Licensed,,,1/encounter if fight defensively gain DR10 v. one ranged energy attack,,,,,worlds with no armor
CR,137,w,Flight suit,"Flight Suit

The flight suit is a one-piece coverall (plus a helmet) that provides life support, protects the wearer from hostile environments,. and prevents the wearer from succumbing to the adverse effects of high-velocity flying. A flight suit includes a matching helmet and gloves that seal around the wearer and provide up to 10 hours of life support.

As long as you have life support remaining, you are immune to any hostile atmosphere or inhaled poison hazard. The suit also grants a + 1 equipment bonus to your Fortitude Defense.
",S,1000,0,1,,,,3,,1,,10 hours life support,,,,,pilots
CR,133,w,"Flight suit, armored","Flight Suit, Armored
Light Armor

A combat-ready flight suit that provides additional protection against vacuum for limited periods, this armor comes in various models, including the Corellian TX-3 (favored by various pirate gangs) and the Imperial TIE flight suit (worn by TIE fighter pilots throughout the Empire). An armored flight suit provides up to 10 hours of life support, allowing its wearer to survive in the vacuum of space or any other hostile environment.
",-2,4000,5,2,3,,,10,Licensed,,,10 hours life support,,,,,pilots
CR,133,w,"Flight suit, padded","Flight Suit, Padded
Light Armor

Favored by starfighter pilots all over the galaxy, the one-piece padded flight suit protects against decompression, g-forces, and harmful environments. It provides limited protection against attacks as well. A padded flight suit comes with a matching helmet and gloves that seal around the wearer and provide up to 10 hours of life support, allowing him to survive in the vacuum of space or any other hostile environment.
",-2,2000,3,1,4,,,5,,,,10 hours life support,,,,,pilots
L,140,w,Galactic Alliance Armor,"Galactic Alliance Armor
Light Armor

For over 100 years, the Galactic Alliance has used variations of its own light armor design, usually in dark blue hues with black accents. In its most recent form, the armor combines a padded armor base with a reinforced breastplate and fully armored gauntlets. Some front-line troopers also use a fully enclosed helmet with helmet package, but this varies by unit. It is not uncommon to see officers and others opt to use Galactic Alliance uniform hats and caps instead.

Some variations of the standard Galactic Alliance uniform incorporate a flexible blast vest and a tight-fitting, open -faced helmet into their designs. This type is especially prevalent among the fleet crews at battle stations. It provides the same bonuses as a regular blast helmet and vest (see page 132 of the Saga Edition core rulebook).
",-2,6000,4,1,3,,,9,Military,,possible,,,,,,Galactic Alliance
L,140,w,"Galactic Alliance Armor, fleet crew",,-2,500,2,0,5,,,3,,,,,,,,,Galactic Alliance
C,182,w,Geonosian warrior tunic,,-2,1500,4,0,4,,,8,Licensed,,,also GW 209,,,,,Geonosian elite warriors
SV,48,w,GTU AV-1C combat armor,"GTU AV-1C Combat Armor (SaV)
Heavy Armor

Originally designed for use by private security forces and paramilitary groups, the GTU AV-1C combat armor is a fully enclosed suit of armor made of interlocking hard plates that completely cover the wearer's body. The suit is vacuum sealed and incorporates a built-in helmet package. Additionally, the armor includes an advanced repulsorlift system that replicates a jet pack (following all the normal rules for the jet pack) but produces no noise, heat, or flames. The AV-1C combat armor is powered armor and has two free upgrade slots.
",-10,25000,9,4,1,4/x3,3/x3,25,"Restricted, Rare",2,x,"like jetpack but produces no noise, flame or heat (move 6sq)",,,,,private security forces and paramilitary groups
SV,48,w,GTU AV-1S scout armor,"GTU AV-1S Scout Armor (SaV)
Medium Armor

A scaled-down version of the AV-1C combat armor, the GTU AV-1S scout armor is lighter and allows for a greater degree of mobility, making it a favored suit for bounty hunters that rely on their speed and stealth to cap­ture a mark. The AV-1C is also vacuum sealed and includes a built-in helmet package, and a reduced-power repulsorlift system similar to the combat model. This repulsorlift functions as a repulsorlift except that it produces no noise, heat, or flames, but grants a fly speed of 4 squares instead of 6 squares. The armor is powered, giving it two free upgrade slots, and includes a built-in glowrod.
",-5,15000,7,2,2,4,3,18,Military,2,x,"like jetpack but produces no noise, flame or heat (move 4sq), built in glowrod",,,,,bounty hunters
SV,49,w,Half-vest,"Half-Vest (SaV)
Light Armor

The Koromondain Mark 45 protective vest is usually worn by smugglers who are expecting trouble but don't want to be seen wearing armor in public. Lightweight, flexible, and easily hidden under clothing (+5 equipment bonus to Stealth checks made to conceal the armor), a half-vest protects the wearer against surprise attacks from unscrupulous enemies and allies. Once per encounter as a free action, the wearer can negate the bonus damage on any attack made against him while he is denied his Dexterity bonus to Reflex Defense (such as when being targeted by an attacker with the Sneak Attack talent).
",-2,250,1,0,5,,,2,Restricted,,,"Stealth +5 to conceal, 1/encounter negate bonus dam if denied Dex to Def",,,,,smugglers
GW,179,w,Haz-chem coveralls,"Blast Helmet and Vest
Light Armor

This armor consists of a lightweight helmet and a composite vest that, when worn together, offer limited protection against incoming attacks.
",-2,500,2,0,5,,,3,,,,,,,,,"Imperial troopers, Rebel troopers"
F,183,w,Heavy dungeoneer armor,,-10,,10,2,1,4/x3,3/x3,31,,,x,"built in comlink, audio and video recorders",,,,,Imperial Dungeoneer
L,183,w,Imperial Knight armor,"Imperial Knight Armor (LECG)
Medium Armor

The chosen armor of the Imperial Knights is modeled after the armor worn by Darth Vader during the Galactic Civil War. However, unlike Darth Vader's armor, the Imperial Knight armor is not designed to provide life support to the wearer. Additionally, the armor has small threads of phrik filaments throughout the armor, allowing the wearer to apply any personal DR against attacks made by lightsabers.
",-5,7000,8,2,3,4,3,16,Rare,,,add personal DR v. lightsabers,,,,,Imperial Knight
J,62,w,"Jedi battle armor, light","Jedi Battle Armor (JATM)
Light and Medium Armor

Designed to match the needs of the individual Jedi who wears it, a suit of Jedi battle armor is a rare sight in the galaxy. Mostly popularized during the days of the Great Sith War and the Jedi Civil War, Jedi battle armor protects vital areas while not hindering the movements of the wearer.

Two variants of this armor exist, one light and one medium, giving Jedi who choose to wear battle armor some options in determining how much training they want to devote to wearing such armor.
",-2,4000,3,3,4,,,6,Rare,,,optional rule: Jedi can wear without AP with no bonuses to Def,,,,,Jedi
J,62,w,"Jedi battle armor, medium","Jedi Battle Armor (JATM)
Light and Medium Armor

Designed to match the needs of the individual Jedi who wears it, a suit of Jedi battle armor is a rare sight in the galaxy. Mostly popular­ized during the days of the Great Sith War and the Jedi Civil War, Jedi battle armor protects vital areas while not hindering the movements of the wearer.

Two variants of this armor exist, one light and one medium, giving Jedi who choose to wear battle armor some options in determining how much training they want to devote to wearing such armor.
",-5,6000,5,5,3,4,3,12,Rare,,,,,,,,Jedi
F,180,w,Jumptrooper armor,,-2,8000,6,2,3,,,10,"Military, Rare",,x,,,,,,Jumptrooper 
GW,44,w,Katarn-class commando armor,"Katarn-class Commando Armor (GaW)
Medium Armor

Issued several months after the Battle of Geonosis, Katarn-class commando armor is a superior, specialized armor, designed with input from clone commandos in the field. The armor is unusually thick, with a sealed system allowing the wearer to survive underwater or in vacuum for up to 24 hours. It also features a built-in, retractable, wrist-mounted vibroblade. This highly sought after armor is rarely found in the possession of civilians. Its black- market price can exceed a quarter-million credits. Clone commandos swear by the armor's effectiveness, even though they also grumble beneath their breath about its lack of comfort during long missions.

Katarn-class commando armor grants a wearer with the Armor Proficiency (heavy) feat a +2 bonus on Perception checks, as well as low-light vision. The armor includes an integrated comlink in the helmet, allowing hands-free communication.

As a full-round action, the wearer can use the bacta tanks built into the armor. The bacta and the suit's built-in diagnostic gear grant the wearer an effective Treat Injury +10 skill for self-treatment. The wearer ignores the —5 penalty for self-administration of this skill.

Katarn-class commando armor is highly customizable. If you are using the Armor Upgrades option from Scum and Villainy, the Katarn-class com­mando armor has the Vacuum Seal upgrade and room for three additional upgrades.
",-5,30000,9,4,1,4,3,20,Military,3,x,"24 hours in water/vacuum, built-in vibroblade, full round to use bacta +10 Treat Injury & no -5 for self, Vacuum Seal upgrade",,,,,clone commandos
L,183,w,Knighthunter armor,"Knighthunter Armor (LECG)
Medium Armor

An upgrade of the standard stormtrooper armor, the solid-black armor of the Knighthunters combines many of the designs of Palpatine's Coruscant Guards and the storm Commandos, providing a durable suit of armor that also allows the wearer to remain hidden in poorly lit conditions. Knighthunter armor comes standard with a helmet package. Additionally, the helmet of a suit of Knighthunter armor is fitted with a small connector at the base of the neck that sends minute electrical impulses into the spine and the base of the brain of the wearer. These impulses disrupt any outside influence on the brain of the wearer, granting the wearer a +5 equipment bonus to Will Defense against Use the Force checks.
",-5,6000,7,2,3,4,3,13,Military,,x,+5 Will Def v. Use the Force,,,,,Knighthunter 
SV,49,w,Krail 210 personal armor,"Krail 210 Personal Armor (SaV)
Medium Armor

Created by Krail Armory ostensibly for private security forces, the Model 210 personal armor is a favorite of bounty hunters that provides several built-in amenities off the assembly line, reducing the amount of work it takes to transform the armor into a custom suit preferred by a bounty hunter. The Model 210 personal armor comes with a built-in helmet package, jet pack, liquid cable dispenser, and vacuum seals. Additionally, the armor grants a +2 equipment bonus to Strength checks made to lift, drag, or pull an object. Krail Model 210 personal armor is considered to be powered armor and has two free upgrade slots.
",-5,16300,7,1,3,4,3,17,Military,2,x,"jet pack, liquid cable dispenser, vacuum seals, +2 Str to lift drag or pull; bounty hunters",,,,,"private security forces, bounty hunters"
K,219,w,Krath armor,,-2,3500,5,2,3,,,10,Military,,,,,,,,Krath
K,219,w,Krath battle armor,,-2,4000,5,2,3,,,10,Licensed,,,10 hours life support,,,,,Krath
F,217,w,Light combat armor,,-2,4000,5,2,3,,,10,Licensed,,,10 hours life support,,,,,
D2,21,X,Makeshift body armor,"Flight Suit, Armored
Light Armor

A combat-ready flight suit that provides additional protection against vacuum for limited periods, this armor comes in various models, including the Corellian TX-3 (favored by various pirate gangs) and the Imperial TIE flight suit (worn by TIE fighter pilots throughout the Empire). An armored flight suit provides up to 10 hours of life support, allowing its wearer to survive in the vacuum of space or any other hostile environment.
",-2,4000,5,2,3,,,10,Licensed,,,10 hours life support,,,,,thugs
T,103,w,Mandalorian Armor,,,+30000,0,+1,0,,,,,,,apply personal DR vs. lightsabers; In some eras grants favorable circumstances intimidate,,,,,Mandalorian
T,19,X,Mandalorian armor (Jango Fett's),,-5,,8,3,3,,,,Unique,,,4 weapon attachments,,,,,Jango Fett
K,202,w,Mandalorian battle armor,"Mandalorian Battle Armor (KotORCG)
Medium Armor

A heavier version of the Mandalorian Combat Suit sometimes worn by veteran warriors, this armor includes a helmet, boots, and gauntlets. Any wearer who has the Armor Proficiency (medium) feat can use the helmet's internal comlink and helmet package. The suit provides its wearer with up to 10 hours of life support. This armor comes with a jet pack and six unused upgrade slots.
",-5,,8,2,2,4,3,18,Rare,6,x,"10 hours life support, jet pack",,,,,Mandalorian
K,201,w,Mandalorian combat suit,"Mandalorian Combat Suit (KotORCG)
Light Armor

Favored by the Mandalorians before the beginning of the Neo-Crusader movement, this vacuum-sealed suit has metal composite plates attached, providing protection in battle with a maximum range of movement. A helmet is included in this package, providing any wearer who has the Armor Proficiency (light) feat with an internal comlink and a helmet package. The suit can also provide its wearer with up to 10 hours of life support. This armor comes with a jet pack and has five unused upgrade slots.
",-2,,4,1,5,,,8,Rare,5,x,"10 hours life support, jet pack",,,,,Mandalorian
GW,45,w,Marine armor,"Marine Armor (GaW)
Light Armor

This light armor is employed by the Rebel Alliance during the Galactic Civil War. It provides decent protection forefront-line troops during ship-boarding actions and house-to-house fighting, and even in zero gee, in vacuum, or underwater. The armor's sealed life-support system allows the wearer to survive for up to 24 hours in the vacuum of space or other hostile environ­ments. The soles of the armor's boots are magnetic, enabling the wearer to walk on metal surfaces, such as a starship hull, without drifting off into space. The magnetic soles reduce the wearer's speed by 2 squares. A small propulsion system on the backpack allows the wearer to reroll any failed Swim checks, keeping the better result, and even when rushed or threatened, the wearer can take 10 on Swim checks and can maneuver without penalty in zero gravity.

If you are using the Armor Upgrades option from Scum and Villainy, Marine armor has the Aquatic Adaptation and Vacuum Seal upgrades, plus room for one additional upgrade.
",-2,5000,5,2,3,,,12,Restricted,1,,"24 hours in vacuum/water, magnetic soles (Spd 2), reroll & take 10 Swim mtr, no penalty to maneuver in zero g",Swim,rrmtr,,,Rebel Alliance
K,72,w,Matrix armor,"Matrix Armor (KotORCG)
Heavy Armor

Though few military engineers would call matrix armor a pretty design, it is effective. Matrix armor takes armor plating from starships, bonding it to the outside of a suit of heavy armor. With the matrix armor plating in patterns similar to those used by fiber and mesh armor, the wearer of a suit of matrix armor can turn aside energy-weapon attacks that would otherwise be devastating. Once per encounter, a character fighting defensively while wearing matrix armor can gain DR 30 against a single ranged energy attack as a reaction.
",-10,9000,9,3,1,4/x3,3/x3,25,Restricted,,,1/encounter if fight defensively gain DR30 v. one ranged energy attack,,,,,
R,51,w,Merr-Sonn KZZ riot armor,"Merr-Sonn KZZ Riot Armor (RECG)
Light Armor

KZZ riot armor is manufactured by Merr-Sonn Munitions, Inc., for the Espos of the Corporate Sector. It consists of a reinforced blast helmet and vest and a small shield; the shield is strapped to the wearer's arm and does not interfere with her ability to use the associated hand. The vest and helmet are brown, giving rise to the Espos' nickname, ""Boys in Brown."" While more expensive than a combat jumpsuit, KZZ riot armor offers the maneuverability of a typical blast helmet and vest and is lighter than a jumpsuit.
",-2,2500,2,2,5,,,6,Military,,,,,,,, Corporate Sector Espos (security poilice)
K,72,w,Mesh armor,"Mesh Armor (KotORCG)
Medium Armor

A more advanced form of fiber armor produced by military contractors across the galaxy, mesh armor uses the engineering principles of fiber armor, enhancing them with high-quality materials and extensive research. Mesh armor is heavier and more cumbersome than fiber armor and confers many of the same benefits of fiber armor and traditional suits of armor. Once per encounter a character fighting defensively while wearing mesh armor can gain DR 20 against a single ranged energy attack as a reaction.
",-5,6000,6,2,2,4,3,13,Restricted,,,1/encounter if fight defensively gain DR20 v. one ranged energy attack,,,,,
D9,32,X,Miner’s suit,"Flight Suit, Padded
Light Armor

Favored by starfighter pilots all over the galaxy, the one-piece padded flight suit protects against decompression, g-forces, and harmful environments. It provides limited protection against attacks as well. A padded flight suit comes with a matching helmet and gloves that seal around the wearer and provide up to 10 hours of life support, allowing him to survive in the vacuum of space or any other hostile environment.
",-2,2000,3,1,4,,,5,,,,10 hours life support,,,,,mine guards
K,202,w,Neo-Crusader assault armor,"Neo-Crusader Assault Armor
Heavy Armor

The armor of the Neo-Crusader shock troops, this upgrade of the NeoCrusader light armor is covered with energy ablative plating and includes a helmet, boots and gauntlets. Any wearer who has the Armor Proficiency (heavy) feat can use the helmet's internal comlink and helmet package. The suit provides its wearer with up to 24 hours of life support. This armor includes a jet pack; however, due to the weight of the suit, the jet pack has a maximum fly speed of 4 squares per turn. The suit has six unused upgrade slots.
",-10,,10,4,1,4/x3,3/x3,65,"Military, Rare",6,x,"24 hours life support, jet pack max fly speed 4sq",,,,,Mandalorian
K,201,w,Neo-Crusader light armor,"Neo-Crusader Light Armor
Light Armor

The basic issue armor of the Mandalorian ground forces, Neo-Crusader light armor includes a helmet, boots, and gauntlets. The helmet provides any wearer who has the Armor Proficiency (light) feat with an internal comlink and a helmet package. The suit can also provide its wearer with up to 10 hours of life support, allowing the wearer to survive in the vacuum of space or in any other hostile environment. This armor comes with a jet pack and has four unused upgrade slots (if using the equipment modification system presented in Scum and Villainy).
",-2,,6,2,3,,,42,"Military, Rare",4,x,"10 hours life support, jet pack",,,,,Mandalorian
J,62,w,Orbalisk armor,"Orbalisk Armor (JATM)
Heavy Armor

Orbalisk armor is unique in that it can only be obtained by subjecting oneself to parasites known as orbalisks, native to Dxun. The orbalisks bond with the host and usually drain the host of energy; however, someone with sufficient strength in the dark side of the Force (that is, possessing a Dark Side Score equal to his or her Wisdom score) can prevent the orbalisks from killing him, instead forming a symbiotic relationship with the parasites.

A character with orbalisk armor gains DR 10; unlike normal DR, a lightsaber does not ignore the DR of the orbalisk armor. Since orbalisk armor is bonded directly to the skin of the wearer, it cannot be removed except through complex medical proce­dures (requiring surgery, as per the Treat Injury skill). However, since orbalisk armor is not worn in the traditional sense, the wearer takes no armor check penalty on skill checks for not being proficient in heavy armor.
",-10,,10,2,1,4/x3,3/x3,26,Rare,,,"DR 10, lightsabers do not ignore DR, does not take penalties for no Heavy AP; also T 85",,,,,Sith Lords Darth Bane and Freedon Nadd
R,128,w,Phase II Dark Trooper armor,,-10,,10,0,1,4/x3,3/x3,,,,,"Str +3, Perception +2",,,STR,3,Dark Trooper 
R,128,w,Phase III Dark Trooper armor,,-10,,12,0,0,4/x3,3/x3,,,,,"Str +4, Perception +2",,,STR,4,Dark Trooper 
F,177,w,Phase Zero Dark Trooper armor,,-2,8000,6,2,3,,,10,"Military, Rare",,x,,,,,,Dark Trooper 
F,180,w,Radtrooper armor,,-2,8000,6,4,3,,,10,"Military, Rare",,x,v. radiation +10 Fort Def,,,,,Radtrooper
K,179,w,Republic combat armor,"Republic Combat Armor (KotORCG)
Medium Armor

Inferior in all respects but weight to Mandalorian Neo-Crusader armor, Republic combat armor nonetheless provides valuable protection to soldiers on the ground. It includes a helmet, boots and gauntlets. The helmet provides any wearer who has the Armor Proficiency (medium) feat with an internal comlink and low-light-vision capabilities. This armor can be upgraded with additional equipment to provide oxygen flow and protection against vacuum environments.
",-5,,6,2,2,4,3,14,Military,,,"comlink, low-light",,,,,Republic troops
K,179,w,Republic heavy armor,"Republic Heavy Armor (KotORCG)
Heavy Armor

As good as it gets for Republic troops, this full-body armor features energy ablating plating granting the wearer -2 damage against energy attacks. The helmet provides any wearer who has the Armor Proficiency (heavy) feat with an internal comlink and low-light-vision capabilities. The suit can also provide its wearer with up to 24 hours of life support in the vacuum of space or other hostile environments.
",-10,,8,3,1,4/x3,3/x3,26,Military,,,"dam -2 v. energy atk, comlink, low-light; 24 hours of life support",,,,,Republic troops
K,179,w,Republic light armor,"Republic Light Armor (KotORCG)
Light Armor

Standard-issue armor for Republic forces not expecting heavy combat, Republic light armor includes a helmet and boots. The helmet provides any wearer who has the Armor Proficiency (light) feat with an attached comlink.

This simple armor is not upgradable.
",-2,,4,1,3,,,7,Military,0,,comlink,,,,,Republic troops
T,77,w,Riot Shield,"Riot Shield (TotG)


Riot shields are common gear for law enforcement and planetary defense forces. Measuring about 1 meter long and half as wide, a riot shield is made of a metal frame that generates an energy shield that bends light so that its outer surface is opaque while its inner side is transparent, allowing you unobstructed vision but not extending the same benefit to your opponents. A riot shield has DR 5, 20 hit points, and a break DC of 25.

When held, a riot shield grants you cover (+5 cover bonus to your Reflex Defense) against all ranged attacks on any turn during which you fight defensively. You can also wield a riot shield as a melee weapon. When used in this way, it has the same statistics as a stun baton (SE 123).
",S,500,S,0,,,,6,Military,1,,shield is DR5 20hp break DC25; provides cover (+5 cover to Ref) against ranged attack when you fight defensively,,,,,law enforcement and planetary defense forces
F,174,w,Royal Guard armor,,-5,9000,7,0,2,4,3,14,Restricted,,x,,,,,,Royal Guard 
CR,133,w,Sandtrooper armor,,-2,18000,6,2,3,,,10,"Military, Rare",,x,immune to effects of extreme heat,,,,,Sandtrooper
CR,280,w,Scout trooper armor,,-2,5500,4,0,4,,,9,"Military, Rare",,x,,,,,,Scout trooper
R,127,w,Seatrooper Armor,"Seatrooper Armor
Light Armor

Developed specifically for engagements on Mon Calamari and Tibrin, the aquatic armor worn by Imperial seatroopers is pressure-sealed to a maximum of ten atmospheres (about 660 feet underwater) and incorporates a rebreather. In addition to the +2 equipment bonus provided by standard stormtrooper armor, seatrooper armor provides a +2 equipment bonus to Swim checks because of its underwater propulsion pack and swim flippers.
",-2,6750,4,2,2,,,14,"Military, Rare",,,Swim +2 with rebreather,Swim,2,,,Seatrooper
D2,18,X,Separatist commando armor,"Flight Suit, Armored
Light Armor

A combat-ready flight suit that provides additional protection against vacuum for limited periods, this armor comes in various models, including the Corellian TX-3 (favored by various pirate gangs) and the Imperial TIE flight suit (worn by TIE fighter pilots throughout the Empire). An armored flight suit provides up to 10 hours of life support, allowing its wearer to survive in the vacuum of space or any other hostile environment.
",-2,4000,5,2,3,,,10,Licensed,,,10 hours life support,,,,,Separatist mercenaries
F,175,w,Shadow Guard armor,,-5,9000,7,0,2,4,3,14,Restricted,,x,,,,,,Shadow Guard
D4,154,w,Shadow trooper armor,,-2,,6,2,3,,,,"Military, Rare",,x,"+2 Stealth, darkvision, immune to detection",,,,,Shadow troopers
SV,49,w,Shadowsuit,"Shadowsuit (CWCG)
Light Armor

Used by assassins and burglars, the shadowsuit manufactured by Ayelixe/Krongbing textiles is little more than a black body stocking covering the wearer’s entire body. Shadowsuits are made from a tough but soft material known as shadowsilk that absorbs light and sound. The hands and feet of the shadowsuit have sound-dampening pads that reduce the noise made by the wearer. A shadowsuit grants a +5 equipment bonus to Stealth checks whenever the wearer has concealment from darkness or low-light conditions. If any armor or clothing is worn over the shadowsuit, this bonus is lost. 
",-2,600,1,1,5,,,2,Military,,,+5 equipment to Stealth checks with concealment from darkness or low-light (also C64),,,,,assassins and burglars
R,51,w,Shield gauntlet,"Shield Gauntlet (RECG)
Light Armor

While personal shield devices have fallen out of use in much of the galaxy, they can still be found among the nobility of Kilia IV. Kilian Rangers use a shield gauntlet to both provide defense and remind themselves and others of the other half of their oaths: to defend themselves and their families. A shield gauntlet can be worn even if you are wearing other armor, although you cannot wear any items that cover your hands (such as combat gloves, stun gauntlets, a cortosis gauntlet, or shockboxing gloves) with a shield gauntlet. A shield gauntlet provides no benefit to the untrained, but those with certain talents (see the Kilian Ranger talent tree on page XX) can use it to deflect ranged attacks.

A character without the Armor Proficiency (light) feat suffers armor check penalties as usual when wearing a shield gauntlet. A shield gauntlet requires an energy cell to operate.
",-2,1500,,,,,,1,Rare,,,cannot wear other items that cover hands at same time; used by Kilian Rangers,,,,,Kilian Rangers
K,149,w,Sith Battle suit,,-5,,7,2,2,4,3,,,,,,,,,,Sith
