BOOK,PAGE,WEAPON,Desc.,Wpn Type,Size,Cost, Damage,Stun,Weight,Dmg Type,Avail.,Thrown / Reach, Extra cost, Build DC,COMMENTS,Used by
CR,122,Lightsaber,"Lightsaber
Lightsaber
The lightsaber, simple in design yet difficult to wield and master, features a handgrip hilt that projects a blade of pure energy. The traditional weapon of the Jedi, the lightsaber stands as a symbol of their skill, dedication, and authority.

The blade of a lightsaber is generated by an energy cell and focused through crystals within the hilt. The saber can cut through most materials (except another lightsaber blade, an energy shield, or a few exotic materials), given enough time. Because only the handgrip has any weight, unskilled users have difficulty judging the position of the blade. The lightsaber's true potential becomes apparent in the hands of a fully trained Jedi, who can defend and attack with the weapon, deflecting shots or striking opponents with the glowing blade.

A lightsaber requires a special energy cell to operate (the cost is ten times the price of an ordinary energy cell, but it lasts almost indefinitely).

Advanced Lightsaber Construction
(JATM) For some Jedi and Sith, a lightsaber is not just a weapon; it is a personalized emblem of one's life and philosophy. Similarly, some players may wish to customize their Jedi hero's lightsaber to reflect the character's philosophy and fighting style, beyond the basic lightsaber construction rules found in the Saga Edition core rulebook. This following section includes a wealth of new options for players and Gamemasters looking to customize their lightsabers to better fit the characters who wield them.

The lightsaber construction process begins when a hero reaches 7th level. First, the player or Gamemaster must decide what kind of lightsaber to build. The standard lightsaber is the most common lightsaber in the galaxy, and it is not only the easiest to build but also requires no special training to use effectively in combat (besides the standard Weapon Proficiency feat). Once a particular kind of lightsaber has been selected, the next step is to choose a lightsaber crystal. Any character can build a lightsaber from Adegan crystals, Hum crystals, or synthetic crystals; the default assumption is that Jedi (and other lightsaber-wielding traditions) have ample access to these crystals and need perform no special quest to obtain one. However, if you wish to use a lightsaber crystal of another kind, the character may need to undergo a special adventure to obtain the crystal.

Once the desired crystal has been chosen and obtained, the next step is to choose any special accessories or modifications to be made. With that in mind, the construction process can begin. Special lightsaber crystals and lightsaber accessories can modify the DC to construct the lightsaber; when construction begins, using the rules on page 40 of the Saga Edition core rulebook, applying these modifiers to the standard Use the Force check DC before the check is made (the base DC is determined by the kind of lightsaber being built, as presented on Table 3-2). Once the lightsaber is complete, the Jedi attunes the weapon as normal, gaining whatever benefit the attunement provides (based on the kind of lightsaber crystal that was used) for that wielder.

Message From the Faculty: Creator Bonuses
(JATM) The standard benefit for creating a lightsaber with Adegan, Hum, and synthetic crystals is a +1 untyped bonus on attack rolls with that weapon. This bonus is granted only to the person attuned to the lightsaber, and only the person that built the lightsaber can be attuned to it. Some crystals provide other benefits instead of the +1 bonus on attack rolls. Like the standard benefit, these benefits from the lightsaber crystals apply only to the person who created the lightsaber (provided he or she is attuned to the blade). If a character who is not attuned to the weapon wields it, the weapon still does normal damage and otherwise functions as normal; that person does not receive the benefits of the special crystal. The exception to this rule is crystals that change the weapon's damage type or damage dice, like Barab ingots, Bondar crystals, and Firkraan crystals; this effect applies to the lightsaber's damage no matter who wields it. A lightsaber crystal's description tells you what the bonus is for wielding an attuned lightsaber with a particular crystal.

",L,M,3000,2d8,,1,Energy and slashing,Rare,,100,20,can be thrown,"jedi, sith"
J,53,Lightsaber pike,"Lightsaber Pike (JATM)
Lightsaber
The favored weapon of the Emperor's Shadow Guard, the lightsaber pike resembles a conventional polearm in many respects. The long haft of the weapon is made of phrik alloy, meaning that a lightsaber does not ignore the pike's damage reduction. At the end of the handle is a slightly shorter and thicker lightsaber blade, which can be activated as a swift action using a switch about midway down the weapon's haft. A lightsaber pike increases the wielder's reach by 1 square but imposes a -2 penalty on Use the Force checks to use the Block or Deflect talent.

A character with the Long Haft Form feat (see page 23) can use the lightsaber pike as a double weapon. If you have this feat, you can attack with both ends of the weapon as a full-round action, but both attack rolls take a -10 penalty; certain feats and talents can reduce these penalties. The non-lightsaber end of the pike deals 1d6 damage. A lightsaber pike requires an energy cell to operate.

",L,L,4000,2d8,,2,Energy and slashing,Rare,R,,20,"reach increases by 1sq, but -2 block and deflect, phrik alloy, also J53",Emperor's Shadow Guard
F,199,Lightsaber pike,"Lightsaber Pike (TFUCG)
Lightsaber
Employed almost exclusively by the Emperor's Shadow Guard, an elite cadre of Force-wielding Royal Guards, the lightsaber pike resembles a primitive polearm in many respects. The long handle of the weapon is made of a phrik alloy, meaning that a lightsaber does not ignore the pike's damage reduction. At the end of the handle is a slightly shorter and thicker lightsaber blade, which can be activated with a swift action as normal by means of a switch farther down the weapon's haft. A lightsaber pike increases the wielder's reach by 1 square but imposes a -2 penalty on Use the Force checks to use the Block or Deflect talents.

A lightsaber pike requires an energy cell to operate.

",L,L,4000,2d8,,2,Energy and slashing,Rare,R,,20,"reach increases by 1sq, but -2 block and deflect, phrik alloy, also J53",Emperor's Shadow Guard
J,51,"Lightsaber, archaic","Lightsaber, Archaic (JATM)
Lightsaber
Before the Great Sith War, lightsabers required significantly higher power output to maintain the stable, solid blade that makes the weapon useful both for offense and defense. As a result, lightsabers required large power cells, some larger than a human hand, to function at full capacity. These power cells were worn on the belt or on the back and were connected to the hilt of the lightsaber via a long, slender cord. Around the same time that pulse-wave weapons were phased out in favor of modern blasters, lightsabers underwent a design revolution that miniaturized the power cells required to fuel the energy blade. With the development of this new technology, the Jedi devised methods of lightsaber creation that integrated these drastically smaller power cells into the hilt of the lightsaber, eliminating the need for the external power pack. With this revolution, the archaic lightsaber design was almost entirely abandoned.

An archaic lightsaber is somewhat weaker than the classic lightsaber due to the lack of a sophisticated power supply and the distance of the energy cell from the lightsaber's main body.

An archaic lightsaber requires a special power pack (which costs 600 credits) to operate.

Holocron Lesson: Archaic Power Racks and ""Retrosabers""
The archaic lightsaber is an example of how ancient technology evolved into an object of great importance in modern times. Though few examples of archaic lightsabers still exist in the galaxy, Jedi historians have pre¬served a few of these ancient weapons and have even devised ways of recharging their failing power packs.

The archaic power pack has one advantage over its modern analogs. The fact that the lightsaber is physically attached to the power pack by a power cord means that the weapon doesn't go far or roll away on its own when dropped, though any kind of force applied to the power cord (such as a disarm attempt) immediately disconnects the lightsaber from its power source.

For modern Jedi, there is almost no reason to use an archaic lightsa¬ber with its special, belt-mounted power packs other than for nostalgic reasons. However, Jedi artisans have spent years examining archaic power packs, in search of a way to turn its disadvantages into advantages. At least one Jedi Master claims to have found a way to reconstruct the archaic power cell using modern technology, creating a version of the archaic lightsaber that uses the most cutting edge components. Though still possessing the form of an archaic lightsaber—a blade-emitting hilt connected to a belt-mounted power pack-this weapon takes advantage of thousands of years of technological achievement to produce a weapon that is not only as potent a the modern lightsaber but also possesses some unique advantages that Jedi artisans have sought for decades.

Construction of an archaic lightsaber using modern components- dubbed the retrosaber by its creators-follows much the same process as construction of a normal lightsaber. A retrosaber has a base construc¬tion DC of 25 and deals 2d8 damage (instead of the archaic lightsaber's usual 2d6). As a swift action, the wielder can dial up the lightsaber's power, increasing the base damage to 2d10 until the end of the wielder's next turn. At the end of the wielder's next turn, the lightsaber begins to burn out, decreasing the weapon's base damage to 2d4 for one round. During that round, the lightsaber's damage may not be dialed back up to 2d10.",L,M,2000,2d6,,1,Energy and slashing,Rare,,600,15,,
J,52,"Lightsaber, crossguard","Lightsaber, Crossguard (JATM)
Lightsaber
An extremely rare lightsaber variant that is usually only found in the hands of skilled lightsaber duelists, the crossguard lightsaber (sometimes referred to as a forked lightsaber) has a special hilt that emits two lightsaber blades. The first blade is the standard, full-length blade common to all lightsabers. The crossguard lightsaber also emits a second blade, less than a human handspan in length and narrower than the standard blade, at an angle away from both the hilt and the main blade. This secondary blade is used to protect the wielder's hand from lightsaber attacks that slide down the blade. The crossguard lightsaber also enables the wielder to parry incoming lightsaber attacks between either of the two blades, making it easier to block lightsaber attacks.

When using a crossguard lightsaber with the Block talent, each successive Use the Force check made to block n incoming attack incurs only a cumulative -2 penalty, instead of the normal -5 penalty. However, a crossguard lightsaber can be difficult to master against ranged opponents, and as such the wielder takes a -2 penalty on all Use the Force checks made to use the Deflect talent.

A crossguard lightsaber requires an energy cell to operate.

",L,M,4000,2d8,,0.7,Energy and slashing,Rare,,,25,"successive Use the Force checks to block are -2 not -5, always -2 to Deflect",skilled lightsaber duelists
CR,123,"Lightsaber, double","Lightsaber, Double-Bladed
Lightsaber
The double-bladed lightsaber consists of two sabers fused at their hilts. These weapons are rare and require even greater skill to wield than single-bladed lightsabers. One or both blades can be ignited at once.

With both blades ignited, a double-bladed lightsaber is a double weapon. You can attack with both ends of the weapon as a full-round action, but both attack rolls take a -10 penalty (although certain feats and talents can reduce these penalties).

A double-bladed lightsaber requires two special energy cells to operate (the cost of each is ten times the price of an ordinary energy cell, but it lasts almost indefinitely).

",L,L,7000,2d8/2d8,,2,Energy and slashing,Rare,,200,,,
J,51,"Lightsaber, dual-phase","Lightsaber, Dual-Phase (JATM)
Lightsaber
A dual-phase lightsaber is a lightsaber variant that, at first glance, appears to be identical to a standard lightsaber, with a small handle emitting an energy blade about 1.3 meters long. However, dual-phase lightsabers include a complex array of multiple lightsaber crystals within the handle of the weapon, allowing the user to switch the blade's length from the standard length out to a length of nearly 3 meters. Dual-phase lightsabers are extremely popular during the days of the Jedi Civil War and the surrounding time periods due to the large number of lightsaber-wielding opponents a Jedi is likely to face. The longer blade setting allows the wielder to keep an opponent at a distance during a duel, but lightsabers on this setting are also more unwieldy, making it difficult to defend against enemies that get up close to the wielder.

In its basic setting, a dual-phase lightsaber functions as a normal lightsaber. As a swift action, the wielder can switch to the extended blade setting. While on this setting, the lightsaber increases the wielder's reach by 1 square, but the wielder also takes a -2 penalty to Reflex Defense against attacks made by adjacent targets.

If you use a lightsaber crystal with a special effect when constructing a dual-phase lightsaber, that crystal's effect applies to both the default set¬ting and the extended blade setting (see also the Message from the Faculty: Dual-Phase Lightsaber Variants sidebar).

A dual-phase lightsaber requires an energy cell to operate.

Message from the Faculty; Dual-Phase Lightsaber Variants
Some Jedi adapt the technology behind dual-phase lightsabers to allow them to wield a weapon that uses two different lightsaber crystals with different effects. When constructing a dual-phase lightsaber, you can choose a lightsaber crystal as normal for the default weapon setting and also apply its properties to its extended blade setting.

However, instead of gaining the extended blade setting of a normal dual-phase lightsaber, you can instead choose a second lightsaber crystal with a different effect to add to your lightsaber. If you do this, you create two settings for your lightsaber with mutually exclusive effects. When you use a swift action to change the setting of the lightsaber, you then gain the benefits of whichever crystal is attuned to that setting.

For example, you might choose an Hum crystal for your default crystal (gaining the +1 Force bonus on attack rolls), and then a Bondar crystal for the second phase crystal (which converts the weapon's damage to stun damage). If you switch from the default setting to the Bondar crystal setting, you lose the +1 Force bonus on attack rolls but gain the ability to convert the weapon's normal damage to stun damage.

",L,M,6000,2d8,,0.5,Energy and slashing,Rare,R,,25,"swif to extend blade to 3m or +1 sq reach but -2 Ref Def v. adjacent, or sacrifice extended blade setting to have more than one crystal/effect",duelists of Jedi Civil War
J,52,"Lightsaber, dueling","Lightsaber, Dueling (JATM)
Lightsaber
The dueling lightsaber isn't so much a variant lightsaber as it is a hilt style engineered specifically to enhance lightsaber duels. Count Dooku and his apprentices, Komari Vosa and Asajj Ventress, wield dueling lightsabers that feature a curved hilt designed to maximize the potential of a one-handed, finesse-based fighting style.

When you wield a dueling lightsaber one-handed, you gain a +1 equipment bonus on attack rolls whenever you make an attack of opportunity with the weapon.

A dueling lightsaber requires an energy cell to operate.

",L,M,3000,2d8,,0.3,Energy and slashing,Rare,,,25,when wielding one-handed +1 attacks of opportunity,"one-handed, finesse-based fighters"
J,53,"Lightsaber, great","Lightsaber, Great (JATM)
Lightsaber
Favored by Large species, the great lightsaber produces an oversized lightsaber blade. The blade of a great lightsaber is much longer and thicker than that of a normal lightsaber, and the handle itself is nearly as long as that of a double-bladed lightsaber. Only Large (or larger) creatures can use the great lightsaber in conjunction with feats that affect light weapons or lightsabers (such as the Weapon Finesse feat or talents from the melee duelist prestige class in the Knights of the Old Republic Campaign Guide). A great lightsaber requires an energy cell to operate.

",L,L,5000,2d10,,5,Energy and slashing,Rare,,,20,only a Large creature can use with feats that affect light weapons or lightsabers,Large species
L,62,"Lightsaber, long-handle","Lightsaber, Long-Handle (LECG)
Lightsaber
A weapon favored by the Sith Lord Darth Nihl, the long-handle lightsaber caters to a particular fighting style. The weapon's handle grip is several times larger than the standard lightsaber, making it easier to swing the weapon around the body using arms, legs, shoulders, hips, and other joints as fulcrums upon which the lightsaber can be levered.

The fighting style used with a long-handled lightsaber takes advantage of the larger grip to allow the wielder to rotate the weapon around his body. When you wield the lightsaber two-handed, you can choose to forego doubling your Strength bonus to damage and instead increase the lightsaber's base damage to 2d10.

A long-handle lightsaber requires an energy cell to operate.

",L,L,4500,2d8 (2d10),,2,Energy and slashing,Rare,,,20,"can do 2d10 damage instead of doubling damage with two hands, also J53",
J,53,"Lightsaber, long-handle","Lightsaber, Long-Handle (JATM)
Lightsaber
The long-handle lightsaber caters to a particular fighting style. The handle where the weapon is gripped is several times larger than the standard lightsaber handle, providing a much larger surface area upon which the wielder can place his hands. Likewise, this longer grip makes it easier to swing the weapon around the body, using arms, legs, shoulders, hips, and other joints as fulcrums upon which the lightsaber can be levered.

The fighting style used with a long-handled lightsaber takes advantage of the larger grip to allow the wielder to rotate the weapon around his body. When you wield the lightsaber two-handed, you can choose to forego doubling your Strength bonus to damage and instead increase the lightsaber's base damage to 2d10. Additionally, a character with the Long Haft Form feat (see page 23) can use the long-handle lightsaber as a double weapon. If you have this feat, you can attack with both ends of the weapon as a full-round action, but both attack rolls take a -10 penalty; certain feats and talents can reduce these penalties. The haft end of the lightsaber deals 1d6 damage. A long-handle lightsaber requires an energy cell to operate.

",L,L,4500,2d8 (2d10),,2,Energy and slashing,Rare,,,20,"can do 2d10 damage instead of doubling damage with two hands, also J53",
J,50,"Lightsaber, retrosaber","Lightsaber, Archaic and ""Retrosabers"" (JATM)
Lightsaber

Construction of an archaic lightsaber using modern components- dubbed the retrosaber by its creators-follows much the same process as construction of a normal lightsaber. A retrosaber has a base construction DC of 25 and deals 2d8 damage (instead of the archaic lightsaber's usual 2d6). As a swift action, the wielder can dial up the lightsaber's power, increasing the base damage to 2d10 until the end of the wielder's next turn. At the end of the wielder's next turn, the lightsaber begins to burn out, decreasing the weapon's base damage to 2d4 for one round. During that round, the lightsaber's damage may not be dialed back up to 2d10.
",L,M,3000,2d8,,1,Energy and slashing,Rare,,,25,"swift to dial up damage to 2d10 until end of next turn, then damage becomes 2d4 for 1 rnd",
CR,123,"Lightsaber, short","Lightsaber, Short
Lightsaber
Small Jedi characters such as Master Yoda favor the short lightsaber, sometimes called a shoto. Jedi skilled at two-weapon fighting often use the shoto as their off-hand weapon of choice.

A short lightsaber requires a special energy cell to operate (the cost is ten times the price of an ordinary energy cell, but it lasts almost indefinitely.) 

",L,S,2500,2d6,,0.5,Energy and slashing,Rare,T,100,,can be thrown,Small Jedi characters
J,53,Lightwhip,"Lightwhip (JATM)
Lightsaber
A lightwhip is similar to a lightsaber in that it emits a beam of energy from its handgrip. The device differs, though, in that the ""blade"" is long and flexible, giving it the properties of a whip. Although a lightwhip has a greater reach, it lacks the power of a more traditional lightsaber.

A lightwhip has a reach of 2 squares. When you hit a target with a lightwhip, it deals normal damage and you can initiate a grab or a grapple against the target. A target that is grabbed or grappled can attempt to escape the lightwhip (requiring a DC 15 Acrobatics check). You can use the Pin and Trip feats with a lightwhip, but you cannot use the Crush or Throw feats. Any character that ends its turn in a grab or grapple from a lightwhip takes damage equal to the weapon's base damage (you do not add your Strength bonus, half your heroic level, or any other modifiers to this damage). A lightwhip requires an energy cell to operate.

",L,M,5000,2d4,,1,Energy and slashing,Rare,R,,25,"reach 2sq, can be used to pin or trip without feat, also J53","Sith, Nightsisters, darksiders"
T,84,Lightwhip,"Lightwhip (TotG)
Lightsaber
A lightwhip is similar to a lightsaber in that it emits a beam of energy from its handgrip. The device differs, though, in that the ""blade"" is long and flexible, giving it the properties of a whip, Although a lightwhip has a greater reach, it lacks the power of a more traditional lightsaber.

A lightwhip has a reach of 2 squares. Aside from the normal damage this weapon deals in combat, it can be used to pin and trip the target as if the wielder was using the Pin or Trip feat; the wielder must be proficient with lightsabers but doesn't need to have the Pin or Trip feat to use this feature of the weapon.

",L,M,5000,2d4,,1,Energy and slashing,Rare,R,,25,"reach 2sq, can be used to pin or trip without feat, also J53","Sith, Nightsisters, darksiders"
W,242,Ludo Kressh's War Sword,"Ludo Kressh's War Sword (W)
Simple Weapon, Heirloom Item
Sith alchemical war sword, steeped in the dark side (Medium simple weapon, 1d8 damage, can spend a Force Point to gain bonus to damage equal to Dark Side Score, steeped in the dark side).

",S,M,,1d8,,2,Slashing or piercing,,,,,"Legendary icon Sith alchemical war sword, steeped in the dark side; spend FP to gain bonus to damage equal to Dark Side Score",
L,98,Luke Skywalker's Lightsaber,"Luke Skywalker’s Lightsaber (LECG)
Lightsaber, Heirloom Item
Once the lightsaber of Anakin Skywalker before his transformation into Darth Vader, this blue-bladed lightsaber was given to luke Skywalker by Obi-Wan Kenobi on Tatooine and served as Luke's primary weapon until the fateful duel on Cloud City. Years later, the lightsaber reappeared in the hands of Luke's clone, and was then handed down through the Skywalker family via Mara Jade Skywalker and their son, Ben Skywalker.

The heroes might come into possession of this iconic lightsaber simply by being a member of the Skywalker lineage, or perhaps the weapon is recovered from the remnants of the Ossus academy following the Sith-Imperial War.

Luke Skywalker's Lightsaber: Medium lightsaber (2d8 damage) and legendary icon (grants favorable  circumstances on Charisma-based skill checks, except for Use the Force checks).

",L,M,,2d8,,1,Energy and slashing,Rare,,,,Legendary icon and heirloom lightsaber (see L 97),
CR,123,Mace,"Mace
Simple Weapon
The mace is a weapon made of metal, consisting of a heavy ball atop a handle.

",S,M,50,1d8,,2.5,Bludgeoning,,,,,,Mandalorian
GI,212,Machete,,S,S,,1d6,,,Slashing,,,,,,
K,202,Mythosaur Axe,"Mythosaur Axe
Simple Weapon
Crafted from the calcified bones of the extinct monster for which it is named, the Mythosaur axe is one ceremonial weapon that can be deadly. Mandalore the Ultimate's variation, atop a staff, uses modern metals and an energy cell to achieve double the damage.

",S,L,1000,1d12,,10,Slashing,"Restricted, Rare",,,,,Mandalorian Crusaders
K,200,Mythosaur Axe (modernized),"Mythosaur Axe
Simple Weapon
Crafted from the calcified bones of the extinct monster for which it is named, the Mythosaur axe is one ceremonial weapon that can be deadly. Mandalore the Ultimate's variation, atop a staff, uses modern metals and an energy cell to achieve double the damage.

",AM,L,,2d12,,10,Slashing,"Restricted, Rare",,,,"uses modern metals & energy cell for double damage, used by Mandalore the Ultimate",Mandalore the Ultimate
L,68,Natural weapon bio-implant,,U,,4000,1d6,,,"Slashing, piercing, or bludgeoning",Illegal,,,,"may deal slashing, piercing, or bludgeoning damage instead of unarmed damage; creature considered armed",
F,200,Neuronic whip,"Neuronic Whip (TFUCG)
Exotic Weapon
A neuronic whip is a long, flexible cable connected to a power pack in a handle that delivers a stunning jolt on contact. Unlike a typical leather whip, the heavy cable can crack bones and break flesh, but it is extremely unlikely to kill. As a result, the neuronic whip was very popular with slavers. A target successfully hit by a neuronic whip takes normal stun damage, plus ld4 points of slashing damage. Additionally, a neuronic whip increases the wielder's reach by 1 square.

A neuronic whip requires an energy cell to operate.

",E,M,500,,2d8,0.5,Bludgeoning and energy,Restricted,R,,,deals 2d8 stun + 1d4 slashing damage; reach increases by 1sq,slavers
F,97,Power hammer,"Power Hammer (TFUCG)
Advanced Melee Weapon
A power hammer is a durasteel bludgeoning weapon with a small gravity generator located in the head. The user triggers the gravity generator on the downward end of a swing, causing the hammer to hit with more power than the muscles of the wielder can impart to it (though it's difficult for the wielder to swiftly recover from a blow). This results in a weapon that can smash through armored plates or solid rock. Power hammers were originally used by asteroid miners. They became popular melee weapons after a few conflicts early in the history of the Empire when mining companies found their possessions claimed by the Empire, and their miners fought back.

Extra damage from the use of the Power Attack feat can be added to damage dealt to an object or a vehicle with a power hammer. If you use the Double Attack, Triple Attack, or Rapid Strike feats with a power hammer, you take an additional -2 penalty on attack rolls.

A power hammer requires two energy cells to operate.

",AM,L,1500,2d12,,10,Bludgeoning,Restricted,,,,"Double Atk, Triple Atk, Rapid Strike -2 Atk",
R,48,Power Lance,"Energy Lance/Power Lance (RECG)
Advanced Melee Weapon
Essentially, an energy lance is a force pike that has been combined with an electromagnetic pulse generator (the same kind used by an electrostaff) and balanced for use while riding a mount. Energy lances once were commonly carried by honor guards and ceremonial troops such as the Mon Calamari Knights, and many such weapons still in circulation bear signs of their once- proud heritage. Though an energy lance is a Large weapon, it is balanced in such a way that a Medium creature trained in the Ride skill can wield it in one hand when mounted. If an energy lance is wielded by a Medium creature that is not mounted, attacks with the weapon take a -1 penalty.

The electromagnetic pulse can also be channeled along the length of the staff and fired from the tip as a bolt of plasma. When used in this way, the energy lance functions as a blaster carbine with no stun setting. This use of the energy lance requires a power pack, and has the same ammunition capacity as a blaster carbine.

An energy lance requires two energy cells to operate. Its melee attack and its ranged attack both function underwater.

Power lances are energy lances that lack the ability to fire bolts of plasma. These weapons are significantly cheaper and are mass-produced as secondary weapons for scouts on speeder bikes and for cavalry.

",AM,L,2500,2d8,,5,Bludgeoning and energy,Licensed,,,,-1 if medium creature and not mounted; Mon Calamari traditional weapon,"honor guards,  ceremonial troops, Mon Calamari Knights"
CR,139,Power prybar,,S,T,,1d8,,,Bludgeoning,,,,,normally a tool but can be used as makeshift weapon at -5 penalty (see Tool Kit); droid tool mounts avoid penalty,
CR,124,Quarterstaff,"Quarterstaff
Simple Weapon
A quarterstaff is made of wood, plasteel, or a metal alloy. A user can strike with either end of the quarterstaff, taking full advantage of any openings in an opponent's defenses.

A quarterstaff is a double weapon. You can attack with both ends of the weapon as a full-round action, but both attack rolls take a -10 penalty; certain feats and talents can reduce these penalties.

",S,L,65,1d6/1d6,,1.8,Bludgeoning,,,,,,
SGD,88,Rapier,,S,S,,1d8,,,Slashing or piercing,,,,,,
T,77,Riot Shield,"Riot Shield (TotG)
Simple Weapon
Riot shields are common gear for law enforcement and planetary defense forces. Measuring about 1 meter long and half as wide, a riot shield is made of a metal frame that generates an energy shield that bends light so that its outer surface is opaque while its inner side is transparent, allowing you unobstructed vision but not extending the same benefit to your opponents. A riot shield has DR 5, 20 hit points, and a break DC of 25.

When held, a riot shield grants you cover (+5 cover bonus to your Reflex Defense) against all ranged attacks on any turn during which you fight defensively. You can also wield a riot shield as a melee weapon. When used in this way, it has the same statistics as a stun baton (SE 123).

",S,,500,1d6,2d6,6,Bludgeoning,,,,,shield is DR5 20hp break DC25; provides cover (+5 cover to Ref) against ranged attack when you fight defensively,law enforcement and planetary defense
F,97,Ryyk blade,"Ryyk Blade (TFUCG)
Exotic Weapon
A ryyk blade is a traditional Wookiee blade used for hunting, clearing paths, and (if necessary) combat. The blade is always a broad, curved design, and the handle is wrapped in leather, but the exact style varies from Wookiee to Wookiee. For a non-Wookiee to use a ryyk without having earned the right is an insult to most Wookiees. In fact, Trandoshan slavers often carry ryyk blades from captured Wookiees just to mock them.

Wookiees who have the Weapon Proficiency (advanced melee weapons) feat are proficient with the ryyk blade. A proficient character carrying a ryyk blade gains a +2 bonus on Survival checks made for basic survival in forest or jungle wilderness.

",E,M,500,2d10,,1.5,Slashing,Rare,,,,"Wookiees treat Ryyk blades as advanced melee weapons, not exotic weapons.",Wookiees
J,53,San-ni staff,"San-Ni Staff (JATM)
Advanced Melee Weapon
The san-ni staff is favored by martial artists throughout the galaxy, including Jedi weapon masters looking for more variety than the lightsaber offers. Consisting of three metal rods held together by power couplings, the san-ni staff is a flexible weapon that can be whipped around the wielder's body in combat, both for leverage and to confuse an opponent. Moreover, a san-ni staff's power couplings are made of pure energy that are impervious to lightsaber damage (much as lightsaber blades are).

The san-ni staff is a double weapon. You can attack with both ends of a san-ni staff as a full-round action, but both attack rolls take a -10 penalty; certain feats and talents can reduce these penalties. Additionally, the san-ni staff can be used in conjunction with the Block talent as though it were a lightsaber. Also, the wielder of a san-ni staff can designate (at the time the attack is made) that he or she is striking the opponent with the power couplings, dealing stun damage instead of normal, lethal damage. A san-ni staff requires two energy cells to operate.

",AM,L,4500,2d6/2d6,2d6/2d6,2.2,Bludgeoning and energy,Rare,,,,can be used with Block as if it was a lightsaber,"martial artists, Jedi weapon masters"
GW,37,Shock stick,"Shock Stick (GaW)
Advanced Melee Weapon
The shock stick is a melee weapon that delivers a stunning blow to the enemy's senses. Using technology similar to that of a stun baton, a shock stick has the added benefit of delivering its stunning energy in a rapid, overwhelming burst that can completely disable less hardy beings.

A shock stick always deals stun damage. When a target susceptible to stun damage is hit by a shock stick, compare the damage (before halving) to the target's current hit point total. If the damage equals or exceeds the target's hit point total, the target moves -5 steps on the condition track and is knocked unconscious. Otherwise, compare the result to the target's damage threshold and resolve the attack as normal.

A shock stick requires an energy cell to operate. Additionally, a shock stick can be mounted on a weapon as a bayonet (see page 121 of the Saga Edition core rulebook). When a shock stick is mounted on a rifle as a bayonet, the wielder takes no penalty to attacks with the shock stick for not having the Weapon Proficiency (advanced melee weapons) feat, if the wielder is proficient in the rifle's use.

",AM,L,450,,3d6,1.4,Energy,Licensed,,,,can be mounted as a bayonet & not necessary to have AM feat,"crowd-control weapon, security forces, slavers, brawlers "
L,62,Shock whip,"Shock Whip (LECG)
Advanced Melee Weapon
A nasty weapon deemed by many to be unnecessarily painful, the shock whip has been used by warriors throughout the galaxy for generations. Fast and cruel, the shock whip is the chosen weapon of the Mistryl Shadow Guards and is also used by the Sith Lord Darth Maleval. A shock whip consists of a metal grip from which extend long, thick wires woven together into a single strand. The metal grip houses a power cell that can send a surge of energy through the shock whip's cord, issuing an electric shock to the target.

A shock whip is a melee weapon with a reach of 2 squares. When you hit with the shock whip, the target takes normal damage from the weapon (as listed on Table 5-1: Melee Weapons). Also on a hit, you can choose to make a grab attack (as a free action) against the target using the whip, provided the target is no more than one size category larger than you. Unlike a normal grab attack, you make a second attack roll at the normal attack bonus with the whip, and you do not take a -5 penalty on the attack roll. If this second attack roll hits, the target is grabbed. As a swift action once per turn, you can automatically deal 2d6 energy damage to a target grabbed by the shock whip (no additional attack roll required).

If you have the Trip feat, you can choose to use the shock whip to knock the target prone instead of making a grab attack.

While grabbing a target with the shock whip, you cannot use the weapon to make attacks against any other targets.

A shock whip requires an energy cell to operate.

",AM,S,1200,1d6,,2.3,Bludgeoning,Restricted,R,,,"reach 2sq, can grab but do not take -5 atk, swif each turn for 2d6 dam",Mistryl Shadow Guards
GW,37,Shockboxing gloves (for Med. chars.),"Shockboxing Gloves (GaW)
Simple Weapon
Shockboxing gloves are powered gauntlets worn during a shockboxing match. Shockboxing gloves protect the wearer's hands and also deal damage to any character hit by them. Shockboxing gloves are similar to stunning gauntlets (see page 202 of the Knights of the Old Republic Campaign Guide). However, unlike stunning gauntlets, shockboxing gloves have various settings, from lethal to a light shock (for sparring) as well as a stun setting.

Shockboxing gloves provide a +1 bonus to damage with a successful unarmed attack. They can be set to stun as a swift action, converting the wearer's unarmed damage to stun damage (and providing the +1 bonus to stun damage).

Shockboxing gloves are two sizes smaller than their wearer (for example, a pair of shockboxing gloves designed for a Human are Tiny). The way shockboxing gloves are worn prevents the wearer from being disarmed or from dropping them.

",S,M,600,1,1,0.5,Bludgeoning and energy,Restricted,,,,set to stun as swif; are 2 sizes smaller than wearer,Shockboxers
