BOOK,PAGE,TALENT,Desc.,TIER,PREREQUISITE,ACT,FP?,MtR?,BENEFIT,CLASS,TREE,ALL
GW,31,Draw a Bead,"Once per round, you can spend a single swift action to designate a single enemy who is not within point-blank range. When you make a successful ranged attack roll that deals damage against the designated enemy, add your Dexterity bonus (minimum +1) to the damage roll. This effect lasts until the target is unconscious, dead, or leaves your line of sight. You can have only one enemy designated in this manner. ",2,"Precision Shot, BAB +10",swif,,,"1/rnd designate target not in PB, with successful ranged atk add your Dex mod to dam",Gunslinger,Sharpshooter,Gunslinger
CR,52,Draw Fire,"You can distract opponents and convince them that you are the most tempting (or most dangerous) target in an area. As a swift action, make a Persuasion check and compare the result to the Will Defense of all opponents within line of sight. If the check result exceeds an opponent's Will Defense, that opponent cannot attack any character within 6 squares of you until the start of your next turn as long as you do not have cover against that opponent. (The affected opponent may still attack you, however.) (SotG) If you are the pilot of a vehicle, you may use this talent to protect allied vehicles. You may use it to protect vehicles no more than one size category larger than your own.",1,,swif,,,"Persuasion v. Will, cannot attack anyone within 6 squares if you don't have cover",Soldier,Commando,"Elite Trooper, Officer, Soldier"
SV,26,Dread,"As a standard action, you can instill bone-chilling fear in an opponent whom you selected for Hunter's Target. Make a Persuasion check against your opponent's Will Defense. If you equal or exceed your opponent's Will Defense, that opponent takes a -5 penalty to Will Defense. This is a mind-affecting effect. The penalty remains as long as you have line of sight to your opponent and immediately ends if the line of sight is broken. ",3,Hunter's Target*,stan,,,"Persuasion v. Will Def of Hunter's Target, opp takes -5 on Will Def as long as keep LOS",Bounty Hunter,Bounty Hunter,Bounty Hunter
C,43,Droid Defense,"As a standard action, you can transmit tactical information to all droid allies that can hear and understand you, granting them a bonus equal to your Intelligence modifier to one of their defenses (your choice) until the beginning of your next turn.",1,,stan,,,"all droid allies who can hear you, bonus to one Def = Int mod (you choose Def)",Droid Commander,Droid Commander,Droid Commander
J,79,Droid Duelist,"Whenever you are wielding a lightsaber, you can spend a Force Point as a swift action to cause an opponent to be flat-footed against your next attack made with a lightsaber before the end of your turn.",1,,swif,x,,opponent is flat-footed against your next attack with a lightsaber before end of your next turn,Force-Using Traditions,Iron Knight,"Force Disciple, Jedi Master, Sith Lord"
C,45,Droid Expert,"When you repair a droid, you repair 1 additional hit point for each point by which your Mechanics check beats the base DC of 20. ",2,Repairs on the Fly,,,,repair droids +1 hp for every point over Mechanics DC 20 ,Military Engineer,Military Engineer,Military Engineer
F,56,Droid Jammer,"You can construct a short-range jammer that affects droids. As a full-round action, you make a Mechanics check to build the jammer. When a droid comes within 6 squares of you, compare the result of your Mechanics check to the droid's Will Defense. If your check result equals or exceeds the droid's Will Defense, the droid can take only swift actions as long as it remains within the radius of the jammer. Droids that are immune to the effect of a restraining bolt are immune to the effect of this talent. The jammer functions for the remainder of the encounter. You may only have one jammer (device or droid) active at a time.",1,,full,,,"Mechanics v. droid's Will Def within 6sq, if successful droid can take only swif actions, 1 at a time",Saboteur,Sabotage,Saboteur
C,43,Droid Mettle,"As a swift action once per turn, you can designate a single droid ally within your line of sight. That droid ally gains bonus hit points equal to 10 + your class level. ",2,Droid Defense,swif,,,1/turn single droid ally in LOS gains hp = 10 + CL,Droid Commander,Droid Commander,Droid Commander
F,103,Droid Smash,You can use your mechanical strength when wielding a melee weapon. You add 2 x your Strength bonus to melee damage rolls when wielding a weapon in one hand.,1,,,,,add 2x Str bonus to melee damage rolls with a weapon in one hand,Droid,Fourth-Degree Droid,Droid
K,47,Dual Weapon Flourish I,"When wielding only two light melee weapons or two lightsabers, whenever you make a single attack as a standard action with one weapon you can make a single attack with the other weapon as a free action against the same target. You apply the normal penalties for fighting with two weapons with this attack. ",1,"Dual Weapon Mastery I, Weapon Finesse",stan,,,with 2 light melee or lightsabers & single atk with one you get free atk with other,Melee Duelist,Melee Duelist,Melee Duelist
K,47,Dual Weapon Flourish II,"When you are wielding only two light melee weapons or two lightsabers, once per turn on your turn, you can make a full attack as a standard action instead of a full-round action, provided you attack with both weapons during the attack. You apply the normal penalties for fighting with two weapons to both of these attacks. ",3,"Dual Weapon Mastery I, II, Dual Weapon Flourish I, Master of Elegance, Weapon Finesse",,,,"with 2 light melee or lightsabers make full atk as stan as long as you use both weapons, 1 per turn",Melee Duelist,Melee Duelist,Melee Duelist
F,102,Dull the Pain,"As a full-round action, you can make a DC 15 Treat Injury check on an adjacent living creature to move it +1 step along the condition track. ",1,Medical Droid,full,,,DC15 Treat Injury check to move adjacent living creature +1 CT,Droid,First-Degree Droid,Droid
SV,14,Dumb Luck,"You are possessed of incredible luck and an uncanny ability to succeed where others would fail. You can use each of the following actions once per encounter as a standard action: •Elude Enemy: Make a single melee or ranged attack against any target within your range. If you damage the target, you gain a +2 bonus to your Reflex Defense against this target until the beginning of your next turn. •Escape: Make a single melee or ranged attack against any target within your range. If that target successfully damages you before the start of your next turn, you can immediately move 2 squares as a reaction. This movement does not provoke attacks of opportunity. •Make your Own Luck: Make a single melee or ranged attack against a target within range. If you miss this target, you gain a +2 bonus on your next attack roll. ",3,"Knack, Lucky Shot",stan,,,"each 1/enc after you Atk: if dam target +2 Ref Def v., or if damaged move 2sq, if you miss +2 next Atk",Scoundrel,Fortune,"Charlatan, Gunslinger, Scoundrel"
SGD,27,Durable,"You are particularly durable and continue to function when a lesser droid would become disabled. The first time during an encounter that you would be moved to the bottom of the condition track by any effect, you instead stop at the -10 step. Additionally, if a single attack causes you to move multiple steps down the condition track, you can spend a Force Point as a reaction to only move -1 step down the condition track.",1,,,,,first time in enc moved to bottom of track you can stop at -10 & can spend FP to move just -1 CT not multiple,Droid,Fifth-Degree Droid,Droid
J,85,Earth Buckle,You can spend a Force Point as a swift action to create a 3x3 square area of difficult terrain centered on you. You ignore any penalties for moving on difficult terrain that you create using this talent.,1,,swif,x,,create 3x3 sq difficult terrain around you & you ignore difficult terrain you create,Force-Using Traditions,Shapers of Kro Var,"Force Disciple, Jedi Master, Sith Lord"
GW,19,Easy Prey,"When you make an attack as a standard action and successfully hit an enemy, you can choose to reduce the damage you deal by half. That target is then denied its Dexterity bonus to Reflex Defense against your attacks until the end of your next turn. [[House rule: you can use this with area attacks, however, if you miss the target's Ref, then you cannot use it because you will not deal any damage at all. We will interpret a missed area attack dealing half damage as dealing no damage.]]",2,Cheap Trick,,,,when you successfully hit an enemy you can reduce dam by half to deny target Dex to Ref Def v. your atks until end of your next turn,Scoundrel,Brigand,Scoundrel
GW,32,Echani Expertise,"When making an unarmed attack, you extend your critical threat range by 1 (for example, 19-20 instead of 20). However, anything other than a natural 20 is not considered an automatic hit; if you roll anything other than a natural 20 and still miss the target, you do not score a critical hit. ",1,BAB +10,,,,unarmed increase crit range by 1,Martial Arts Master,Martial Arts Forms,Martial Arts Master
J,20,Echoes in the Force,"You can use the farseeing power on a location instead of on an individual creature, peering into the location’s past to view events that occurred there. Unlike the normal use of the farseeing power, you are actually looking into the location’s past (at a time you designate), and you must be standing in the location being viewed. The target DC for your Use the Force check is 20, +1 for each day into the past that you attempt to scry. When you look into the past, you need only specify a time in a number of days, as you can sense tremors in the Force that focus your visions on meaningful events that day.",1,,,,,"use farseeing on a location & standing in location viewed, DC 20 + 1 per day into the past",Jedi Knight,Jedi Investigator,Jedi Knight
CR,44,Educated,"Thanks to your well-rounded education, you may make any Knowledge skill check untrained to answer a question that requires expert knowledge. [[*Weak talent option: In addition, you can spend a full round action to make the Knowledge check and add a +5 competence bonus to your check.]]",1,,,,,make Knowledge untrained,Noble,Lineage,"Corporate Agent, Noble"
F,27,Electronic Forgery,You can use your Use Computer modifier in place of your Deception modifier to create a deceptive appearance with forged electronic documents. ,1,Use Computer ,,,,Use Computer replaces Deception with forged documents,Scoundrel,Slicer,Improviser
F,27,Electronic Sabotage,"You excel at causing havoc with computers and electronics. As a standard action, you can lock down a computer terminal by making a Use Computer check, making it potentially difficult for anyone else to access. That computer is considered unfriendly to anyone other than you who attempts to use it, and the result of your Use Computer check replaces the computer's Will Defense on an attempt to change its attitude. This effect ends if anyone else succeeds in adjusting the computer's attitude to indifferent. You cannot take 20 on this Use Computer check. ",1,Use Computer ,stan,,,Use Computer result replaces computer's Will Def to change its attitude & considered unfriendly,Scoundrel,Slicer,Improviser
GI,24,Electronic Trail,"Once you have located a target using Gather Information, you can track its electronic presence. Once per day, you receive a catalog of the target’s electronic trail, which includes the amount and location of credits spent, the routes of any public transportation taken, and the sites viewed on the HoloNet while the target was logged in using its primary identity. To receive this information, you must have access to a computer or data pad plus access to a network or the HoloNet. The electronic trail does not reveal bank balances or other secret information, which requires a separate Gather Information check. ",2,"Nowhere to Hide, trained Use Comp",,,,"once you've found a target w/Gather Info, 1/day gain info on target if have network or HoloNet",Bounty Hunter,Bounty Hunter,Bounty Hunter
CR,207,Elusive Dogfighter,"When engaged in a dogfight, any enemy pilot engaged in the same dogfight takes a -10 penalty on attack rolls when you succeed on the opposed Pilot check (see Attacking in a Dogfight, CR page 171).",1,,,,,"opposed pilot check, opponents in dogfight are -10 to Atk",Ace Pilot,Expert Pilot,Ace Pilot
CR,40,Elusive Target,"When fighting an opponent or multiple opponents in melee, other opponents attempting to target you with ranged attacks take a -5 penalty. This penalty is in addition to the normal -5 penalty for firing into melee (see Shooting or Throwing into a Melee, CR page 161), making the penalty to target you -10. [This talent grants no benefit when you are attacked by autofire and area attacks. Area attacks target the area, not the opponent.]",1,,,,,"if in a melee, ranged attacks are -10 not -5",Jedi,Jedi Guardian,Jedi
CR,213,Embrace the Dark Side,"Whenever you use a Force power with the [dark side] descriptor, you may reroll your Use the Force check, but you must accept the result of the reroll even if it is worse. Upon choosing this talent, you can no longer use Force powers with the [light side] descriptor. ",3,Channel Anger*,,,y,"reroll Dark side skills/Use the Force, no longer able to use light side",Force Adept,Dark Side Devotee,Force Adept
F,54,Emergency Team,You are skilled at working on and managing an emergency medical team. Allies automatically succeed on aid another attempts when assisting you with Treat Injury checks. [[Weak talent option: Additionally grant +2 insight bonus when aiding another]],1,,,,,allies automatically aid another,Medic,Advanced Medicine,"Medic, Shaper"
R,37,Empower Siang Lance,"You can spend a Force Point to empower a siang lance, which takes a full-round action. After the siang lance is empowered, it deals an additional die of damage when you wield it. Others who wield the weapon do not gain the bonus damage die. ",1,"Siang Lance Mastery, base attack bonus +7.",full,x,,+1 die damage,Force-Using Traditions,Kilian Ranger,"Force Disciple, Jedi Master, Sith Lord"
CR,214,Empower Weapon,"You may spend a Force Point to empower a melee weapon. Empowering the weapon takes a full-round action. From that point forward, the empowered weapon deals an additional die of damage, but only when wielded by you. (For example, an empowered lightsaber deals 3d8 points of damage instead of 2d8 points of damage.) Others who wield the weapon do not gain the bonus damage die.",1,,free,x,,+1 die damage,Force Adept,Force Item,Force Adept
C,23,Enemy Tactics,"Whenever an enemy within 12 squares of you and in your line of sight receives an insight or morale bonus from any source, you can also gain that bonus, subject to all the same limitations as the bonus provided to that enemy.",1,,,,,"when an enemy within 12sq & LOS gains a bonus, you also gain that bonus & any limitations",Noble,Collaborator,Noble
S,16,Engineer,"You are trained in the Mechanics skill. Additionally, when installing new systems into a vehicle, the efficiency of your designs reduces the time it takes to install the system by 25%. ",2,"Educated, Know (tech)",,,,"trained in Mechanics, time reduced 25% when installing new systems to vehicle",Noble,Lineage,"Corporate Agent, Noble"
R,45,Enhance Cover,"As a swift action, you can designate a single ally within your line of sight who has cover from one or more enemies. That ally is considered instead to have improved cover against those enemies until the start of your next turn as long as the ally still has cover.",1,,swif,,,1 ally in LOS & has cover is considered to have improved cover as long as they still have cover,Pathfinder,Pathfinder,Pathfinder
J,75,Enhanced Danger Sense,"You gain a +10 bonus on Perception checks made to avoid being surprised. Additionally, you can spend a Force Point to act in the surprise round, even if you are surprised.",1,,,*,,"+10 Perception to avoid being surprised, spend FP to act in surprise round even if surprised",Force-Using Traditions,Baran Do Sage,"Force Disciple, Jedi Master, Sith Lord"
F,47,Enhanced Manipulation,"You have improved appendage manipulation routines. You can take 10 when making any Dexterity-based skill check, even if you are threatened or would not normally be able to take 10. ",1,Dex 15,,,,take 10 on Dex based skill checks even if you normally could not,Independent Droid,Specialized Droid,Specialized Droid
C,47,Enhanced Vision,"When actively looking for hidden enemies, you can make a Perception check as a swift action instead of a standard action.",1,,,,,Perception as swif not stan,Vanguard,Vanguard,Vanguard
GI,23,Entangler,"When grabbing a target, you take a -2 penalty to your attack roll (instead of the normal -5 penalty). Until the target breaks the grab, it takes a -5 penalty to attack rolls, including those made with natural and light weapons (instead of the normal -2 penalty).",1,,,,,"When grabbing, you take -2 to attacks not -5, target takes -5 to all attacks",Soldier,Brawler,Soldier
L,26,Entreat Aid,"Once per turn as a swift action, you can spend a Force Point to let one adjacent ally use the aid another action (as a reaction) to assist you with a skill check. You must make the skill check before the end of your turn, or the benefit of the aid another action is lost. An ally that has already used the aid another action to assist you since the end of your last turn may not be targeted by this talent.",1,,swif,x,,1/turn one adjacent ally to aid another as reac to assist you if they have not aided already,Jedi,Jedi Consular,Jedi
J,18,Entreat Beast,"You can use the Force to convince a small beast to carry objects, deliver messages, or perform other minor tasks for you. If you are near a beast that is at least indifferent to you (whether this be a pet you bring with you or a beast encountered in the wild), you can make a Use the Force check against the beast’s Will Defense as a swift action. If your skill check equals or exceeds the beast’s Will Defense, the beast performs one task for you from the following list: deliver one object from your person to another target within 30 squares of you; retrieve one unattended object within 30 squares of it and in its line of sight and bring it to you; or press a button, pull a lever, or otherwise perform some minor activation of an unattended item within 30 squares. ",2,Charm Beast,swif,,,"Use the Force v. Will Def of indifferent or better beast to perform a minor task within 30 sq, see J18",Force Adept,Beastwarden,Force Adept
F,103,Environmentally Shielded,"You gain a +5 equipment bonus to your Fortitude Defense against environmental hazards, including extreme atmospheric conditions and corrosion.",1,,,,,+5 Fort Def against environmental hazards,Droid,Fifth-Degree Droid,Droid
CR,101,Equilibrium,"As a swift action, you can spend a Force Point to remove all debilitating and persistent conditions (including poison and disease) affecting you and return to a normal state at the top of the condition track. ",1,,swif,x,,"remove debilitating condition affecting you and return to normal, inc. up to top of CT",Force Sensitive,Control,"Force Adept, Force Disciple, Imperial Knight, Jedi Knight, Jedi Master, Sith Apprentice, Sith Lord"
R,45,Escort Fighter,"You can spend a swift action to designate one adjacent ally. Until the start of your next turn, if you move, that ally can also move the same number of squares, provided that the ally ends its movement adjacent to you. You cannot move a distance greater than the ally’s speed.",1,,swif,,,"1 adjacent ally if you move that ally moves & ends adjacent, can't exceed ally's move",Pathfinder,Pathfinder,Pathfinder
R,40,Escort Pilot,"When a vehicle that you are piloting is adjacent to a vehicle of Colossal size or smaller that is piloted by an ally, both vehicles gain a +10 bonus to their damage thresholds.",1,,,,,+10 threshold of you and ally when adjacent to Colossal or smaller ally,Ace Pilot,Wingman,Ace Pilot
J,18,Esoteric Technique,"When you spend a Force Point to activate a Force technique or Force secret, you gain bonus hit points equal to 10 + your class level until the end of the encounter.",1,,,,,when you spend a Force Point to activate a technique or secret you gain hp = 10 + class level,Force Adept,Mystic,Force Adept
F,103,Etiquette,"When you succeed on a Persuasion check to change attitude, you adjust the target's attitude by one additional step.",1,,,,,"when change attitude, adjust one additional step",Droid,Third-Degree Droid,Droid
CR,50,Evasion,"If you are hit by an area attack (see Area Attacks, page 155), you take half damage if the attack hit you. If the area attack misses you, you take no damage. [You may use both Deflect and Evasion against an attack. It does not deal 1/4 damage, it negates the remainder altogether.] (SotG) If you are the pilot, this talent applies to your vehicle.",1,,,,,"if hit with area attack, take half or no damage",Scout,Survivor,"Enforcer, Medic, Outlaw, Pathfinder, Scout, Vanguard"
R,43,Excellent Kit,"You always make sure that your allies have the best gear available. Whenever you purchase weapons, armor, or other equipment (either legally or through the black market), all gear you purchase has 50% more hit points than normal and has 5 more DR than normal. In addition, whenever one of your allies makes a Mechanics check on an object that you purchased, that ally gains a +2 equipment bonus to the check.",1,,,,,all gear you purchase has +50% hp & +5 DR more & +2 Mechanics check made with objects,Improviser,Procurement,Improviser
GI,21,Exceptional Skill,"When you select this talent, choose one skill. Whenever you roll a skill check with that skill, a result of 2-7 on the die is always treated as though you had rolled an 8. You can select this talent multiple times. Each time you do so, you must choose a different skill to gain the benefits of this talent. ",1,Trained in skill,,,,"when you roll a nat 2-7, treat as 8.",Noble,Superior Skills,Noble
CR,212,Exotic Weapon Mastery,"You are considered proficient with any exotic weapon, even if you don't possess the appropriate Exotic Weapon Proficiency feat.",1,,,,,proficient with any exotic weapon FEAT even if don't possess,Elite Trooper,Weapon Master,Elite Trooper
K,44,Exotic Weapons Master,"You treat all exotic weapons as a single weapon group (exotic weapons). If you already have feats or talents that grant proficiency with or augment the use of one exotic weapon, those feats grant proficiency with or augment all exotic weapons. For example, if you already had Exotic Weapon Proficiency (shyarn) and Weapon Focus (shyarn) you now how Weapon Proficiency (exotic weapons) and Weapon Focus (exotic weapons), and the effects of both feats apply to all exotic weapons. ",1,exotic Proficiency,,,,treats all exotic weapons as a single weapon group,Gladiator,Gladiatorial Combat,Gladiator
J,75,Expanded Horizon,"Whenever you use the Search Your Feelings application of the Use the Force skill, you can sense the consequences of your actions out to 1 hour into the future (instead of the normal 10 minutes). You can spend a Force Point when you do so to expand this window out to 8 hours, or a Destiny Point to expand this window out to 24 hours.",1,,,*,,"with Search Your Feelings can sense consequences 1 hour in future, spend FP for 8 hours, DP 24 hrs",Force-Using Traditions,Baran Do Sage,"Force Disciple, Jedi Master, Sith Lord"
C,43,Expanded Sensors,"If you or any of your droid allies has line of sight to and is aware of a target, all droid allies that can hear and understand you are also considered to have line of sight (but not necessarily line of effect) to that target.",1,,,,,"if you or droid allies has LOS & is aware of a target, all droid allies have LOS to target",Droid Commander,Droid Commander,Droid Commander
L,47,Expedient Mending,You can temporarily mend a damaged or disabled biotech device using the Treat Injury skill (see page 32) as a standard action instead of a full-round action. ,2,Expert Shaper,,,,can mend a damaged or disabled biotech device as stan not full,Shaper,Shaper,Shaper
SV,18,Experienced Brawler,"You know how to fight when the odds are against you. You can use each of the following actions as a standard action once per encounter. •Avoid Attack: Make a single melee attack against an opponent within your reach. Until the beginning of your next turn, you gain a +5 dodge bonus to Reflex Defense against a single attack as a reaction. •Fortified Mind: Make a single melee attack against an opponent within your reach. Until the beginning of your next turn, you gain a +5 bonus to Fortitude or Will Defense against a single attack as a reaction. •Focused Stance: Make a single melee attack against an opponent within your reach. At any time until the beginning of your next turn, as a reaction, you can move up to 2 squares. This movement does not provoke attacks of opportunity. ",3,Stunning Strike*,stan,,,"each 1/enc after you Atk: +5 dodge, or +5 Fort or Will Def, or move 2 sq w/out Atk of Opp",Soldier,Brawler,Soldier
CR,52,Expert Grappler,You gain a +2 competence bonus on opposed grapple checks [not the attack roll needed to initiate the grapple],1,,,,,+2 opposed Grapple checks,Soldier,Brawler,Soldier
CR,207,Expert Gunner,You gain a +1 bonus on attack rolls made using vehicle weapons.,1,,,,,+1 Atk,Ace Pilot,Gunner,Ace Pilot
UR,23,Expert Rider,"You can reroll any Ride check, but the result of the reroll must be accepted even if it is worse. ",1,Trained in Ride,,,n,reroll Ride,Scout,Mobile Scout,Scout
L,47,Expert Shaper,"You may reroll any Treat Injury check made to repair or modify a biotech object, but the result of the reroll must be accepted even if it is worse.",1,,,,y,reroll Treat Injury to repair or modify biotech,Shaper,Shaper,Shaper
CR,49,Expert Tracker,"You take no penalty on Survival checks made to follow tracks while moving your normal speed. (Without this talent, you take a -5 penalty on Survival checks made to follow tracks while moving your normal speed.)  ",2,Acute Senses,,,,no penalty on Survival checks to track at normal speed,Scout,Awareness,"Bounty Hunter, Gladiator, Gunslinger, Martial Arts Master, Pathfinder, Scout, Vanguard"
C,42,Exploit Weakness,"When you use the Assault Tactics talent (see page 221 of the Saga Edition core rulebook) on an enemy, the target takes a cumulative -1 penalty to Reflex Defense each time it is damaged by one of your allies (maximum -5). This penalty applies until the end of your next turn. ",2,Assault Tactics,,,,"when you use Assault Tactics, target takes cumulative -1 Ref Def each time damaged (max -5)",Officer,Military Tactics,Officer
C,22,Exposing Strike,"When you use a lightsaber to deal damage to a target, you can spend a Force Point to make that target flat-footed until the end of your next turn.",1,,,*,,"when you dam opp w/lightsaber, can spend FP to make opponent flat-footed until end of your next turn",Jedi,Jedi Guardian,Jedi
UR,21,Extended Ambush,"During a surprise round, if you make a ranged attack against a target that is surprised, you can aim at that target as a free action. ",2,Improved Stealth,,,,during surprise rnd if make ranged atk v. surprised aim as free,Scout,Camouflage,"Elite Trooper, Infiltrator, Scout"
F,42,Extended Critical Range (heavy weapons),"When you are using a heavy weapon, you extend the weapon's critical range by 1 (for example, 19-20 instead of 20). However, anything other than a natural 20 is not considered an automatic hit; if you roll anything other than a natural 20 and still miss the target, you do not score a critical hit. ",1,"BAB +10, WP (heavy)",,,,weapon's crit range extended by 1,Elite Trooper,Critical Master,Elite Trooper
F,42,Extended Critical Range (rifles),"When you are using a rifle, you extend the weapon's critical range by 1 (for example, 19-20 instead of 20). However, anything other than a natural 20 is not considered an automatic hit; if you roll anything other than a natural 20 and still miss the target, you do not score a critical hit. ",1,"BAB +10, WP (rifles)",,,,weapon's crit range extended by 1,Elite Trooper,Critical Master,Elite Trooper
UR,30,Extended Critical Range (simple weapons),"When you attack with a simple weapon, you extend the weapon’s critical range by 1 (for example, 19-20 instead of 20). However, anything other than a natural 20 is not considered an automatic hit; if you roll anything other than a natural 20 and still miss the target, you do not score a critical hit. ",1,"WP (simple), BAB +10",,,,weapon's crit range extended by 1,Elite Trooper,Critical Master,Elite Trooper
UR,30,Extended Threat,"When using a ranged weapon eligible to make attacks of opportunity, you threaten all squares within a 2-square radius. ",1,Weapon Focus* of weapon,,,,threaten all squares w/in 2sq radius w/ranged weapon eligible for Atk of Opp,Elite Trooper,Weapon Master,Elite Trooper
F,54,Extra First Aid,You can use the first aid application of the Treat Injury skill one additional time per day on a target that has already received first aid for the day.,1,,,,,you can perform first aid one additional time a day on a target,Medic,Advanced Medicine,"Medic, Shaper"
CR,50,Extreme Effort,"You can spend two swift actions to gain a +5 bonus on a single Strength check or Strength-based skill check (climb, jump, swim) made during the same round. Unleashed: When you use the Extreme Effort talent, you can spend a Destiny Point to increase the bonus provided by the talent to +20.",1,,2swif,,,+5 Str check in same round,Scout,Survivor,"Enforcer, Medic, Outlaw, Pathfinder, Scout, Vanguard"
F,57,Extreme Explosion,You know how to set large charges and use dozens of charges for extremely large explosions. You increase the blast radius of any mines or explosives by 1 square. ,3,"Skilled Demolitionist, Shaped Explosion",,,,increase blast radius by 1 square,Saboteur,Sabotage,Saboteur
R,24,Face the Foe,"If you do not have cover from a target, you gain a +1 morale bonus to attack rolls against that target.",1,,,,,+1 atk v. target if you do not have cover from target,Noble,Gambling Leader,Noble
R,26,Fade Away,"Once per turn when you are damaged by an enemy’s attack, as a reaction you can move up to half your speed. This movement does not provoke attacks of opportunity.",1,,reac,,,"1/turn when damaged by atk, move half speed with no Atk of Opp",Scout,Unpredictable,Scout
GI,22,Fade Out,"You know how to make yourself scarce when dealing with suspicious or hostile beings. You can use your Stealth skill, not Deception, to create a diversion to hide (see page 73 of the Saga Edition core rulebook). If you are trained in the Deception skill, you gain a +5 bonus to your skill check for the purposes of creating a diversion. ",1,Trained in Stealth,,,,"Stealth replaces Deception to create diversion to hide, +5 if trained in Deception",Scout,Espionage,Scout
GW,31,Fall Back,"As a move action, you can enable each member of your squad to immediately move two squares. This movement does not provoke an attack of opportunity. ",1,Cha 13,move,,,"all squad members move 2 sq w/no atk of opp (squad = you & # = or less than cl + Cha mod, must be on foot, have LOS & be able to communicate)",Elite Trooper,Squad Leader,Elite Trooper
UR,29,Familiar Enemies,"You can apply your familiar foe bonus against a second enemy. If you can see both enemies simultaneously in the same round, you need to spend only a single full-round action observing them. Otherwise, you must spend a separate full-round action on each enemy. ",1,Familiar foe special quality,,,,"apply familiar foe to 2nd target, spend single full-rnd observing if can see both",Bounty Hunter,Bounty Hunter,Bounty Hunter
UR,29,Familiar Situation,You can apply your familiar foe bonus to your Fortitude and Will Defenses against attacks and actions taken against you by the target of your familiar foe special quality. ,1,Familiar foe special quality,,,,apply familiar foe to your Fort & Will Def,Bounty Hunter,Bounty Hunter,Bounty Hunter
UR,29,Fast Attack Specialist,"Once per encounter, when piloting a vehicle of Gargantuan size or smaller, you can make a full attack as a standard action. You can spend a Force Point to use this action one additional time in an encounter. ",3,"Expert Gunner, Quick Trigger",,*,,"1/enc w/Gargantuan or smaller vehicle make full atk as stan, spend FP for 1 additional time/enc",Ace Pilot,Gunner,Ace Pilot
S,16,Fast Repairs,"Whenever you jury-rig an object or vehicle, the vehicle gains a number of temporary hit points equal to the result of your Mechanics check. Damage is subtracted from these temporary hit points first, and temporary hit points go away at the conclusion of the encounter.  ",1,Mechanics,,,,jury-rig = hp for vehicle = to result of Mechanics check,Scoundrel,Outlaw Tech,"Improviser, Military Engineer, Scoundrel"
F,27,Fast Talker,"Smugglers must be quick to explain discrepancies in their cover stories. Once per day, you can take 20 on a Deception check as a standard action when attempting to deceive. ",2,Art of Concealment,,,,once per day take 20 on Deception check as stan when attempting to deceive,Scoundrel,Smuggling,Scoundrel
SV,26,Fear Me,"Such is the fear you instill in your minions that when in your presence, they would rather die than disappoint you. Once per encounter, as a reaction to one of your minions being moved down the condition track, you can reduce the number of steps the minion moves down the condition track by 1. Additionally, the target regains hit points equal to your heroic level. If the target is reduced to 0 hit points or moved to the bottom of the condition track, you cannot use this talent on that target. ",4,"Inspire Fear I & II, Attract Minion",reac,,,"1/encounter if minion down CT you can reduce by 1 & target regains hp = your HL, unless 0 hp",Crime Lord,Infamy,"Crime Lord, Master Privateer"
F,29,Feared Warrior,"Your abilities on the battlefield are well known and feared. When you reduce an enemy to 0 hit points with an attack, you can make a Persuasion check as a free action against all targets within 6 squares. If your Persuasion check exceeds a target's Will Defense, that target takes a -2 penalty on attack rolls for the remainder of the encounter. This talent affects any given target only once per encounter. This is a mind-affecting fear effect. ",2,Commanding Presence,,,,"when you reduce enemy to 0hp, Persuasion v. targets in 6sq, -2 Atk rest of encounter (once only)",Soldier,Mercenary ,Soldier
CR,44,Fearless Leader,"As a swift action, you can provide a courageous example for your allies. For the remainder of the encounter, your allies receive a +5 morale bonus to their Will Defense against any fear effect. Your allies lose this benefit if they lose line of sight to you, or if you are killed or knocked unconscious. This is a mind-affecting effect. ",2,Born Leader,swif,,,+5 Will vs. fear if in LOS and N conscious,Noble,Leadership,"Corporate Agent, Droid Commander, Noble, Officer"
F,42,Fearsome,"Your reputation precedes you, striking fear in your target. Any opponent within 6 squares whose level is equal to or less than your heroic level takes a -1 penalty on attack rolls made against you. ",2,Notorious,,,,opponents level equal or lower to your heroic level within 6sq -1 Atk,Bounty Hunter,Bounty Hunter,Bounty Hunter
C,23,Feed Information,"As a swift action, you can grant one enemy a +1 bonus on its next attack roll made before the beginning of your next turn. Additionally, until the beginning of your next turn, you can designate one ally who receives a +2 bonus on its next attack roll.",1,,swif,,,"grant one enemy +1 Atk, one ally gets +2 Atk",Noble,Collaborator,Noble
F,88,Feel the Force,"As a standard action, you can spend a Force Point to ignore all concealment for 1 minute.",1,,stan,x,,ignore all concealment for 1 minute,Force Sensitive,Sense,"Force Adept, Force Disciple, Imperial Knight, Jedi Knight, Jedi Master, Sith Apprentice, Sith Lord"
GW,30,Ferocious Assault,"Once per encounter, when making an autofire attack, you can treat the attack as a 6 square cone. Making this attack consumes 20 shots from the weapon’s power pack. [[Weak talent option: You can use this talent with the Burst Fire feat.]]",2,"BAB +12, Controlled Burst",,,,"1/enc w/autofire atk treat atk as 6 sq cone, consumes 20 shots",Elite Trooper,Weapon Master,Elite Trooper
