BOOK,PAGE,CLASS,HP,"Force Points",Ref,Fort,Will,Min lvl,"TRAINED SKILL PREREQUISITE","SKILL FOCUS PREREQ.","FEAT PREREQUISITE","TALENT PREREQUISITE","OTHER PREREQUISITE","Group Heading"
,,Dark Side,,Force,,10,10,,Force technique,,,,,
,,,,,,,,,,,,,,
CR,224,Sith Lord,d10,7,+3,+3,+3,12th,Use the Force,,"Force Sensitivity, 
WP lightsabers",,"1 Force Technique, 
Dark Side score = Wis, 
Sith tradition",Y
,,,,,,,,,,,,,,
,,Can use the following talent trees,,,,Level,BAB,Talent,Class Feature,Special Abilities,,,,
,,Sith,,Sith Apprentice,,1,1,x,"Fearless, Temptation",Fearless: immune to fear effects,,,,
,,Any tree from chapter #6,,,,2,2,,Force secret,Temptation: Persuasion v. Will Def w/in LOS see p.225 SECR,,,,
,,,,,,3,3,x,Force secret,Force secrets,,,,
,,,,,,4,4,,Force secret,,,,,
,,,,,,5,5,x,Force secret,,,,,
,,,,,,,,,,,,,,
C,47,Vanguard,d10,6,+2,+4,0,7th,"Perception, Stealth",,,2 Camouflage (Scout) or Commando (Soldier),,Y
,,,,,,,,,,,,,,
,,Can use the following talent trees,,,,Level,BAB,Talent,Class Feature,Special Abilities,,,,
,,Vanguard,,PrC,,1,1,x,,Surprise Attack: if target is unaware of you or lost Dex to Ref Def gain Atk bonus on first attack,,,,
,,Awareness,,Scout,,2,2,,Surprise Attack +1,,,,,
,,Survivor,,Scout,,3,3,x,,,,,,
,,,,,,4,4,,Surprise Attack +2,,,,,
,,,,,,5,5,x,,,,,,
,,,,,,6,6,,Surprise Attack +3,,,,,
,,,,,,7,7,x,,,,,,
,,,,,,8,8,,Surprise Attack +4,,,,,
,,,,,,9,9,x,,,,,,
,,,,,,10,10,,Surprise Attack +5,,,,,
