BOOK,PAGE,DROID SYSTEM,Desc.,GROUP,COST,WEIGHT,AVAIL.,COMMENTS & BENEFITS
SGD,60,Internal grapple gun,"When a droid needs to reach an inaccessible area, an internal grapple gun can be indispensible. The gun fires a magnetic grapple hook with an ultra-thin cord. The internal compartment holds 15 meters (10 squares) of cord, and an external magazine can hold up to 100 meters of cord. The cord can be detached from the droid as a free action. Firing the grapple is a standard action.

",Accessory,100xCF,2xCF,-,"15m or 10 sq of cord internally or 100m externally, fire as stan, detach as free"
CR,194,Internal Storage,"The droid has a certain amount of open space in its chassis, allowing for the addition of new internal components or compartments for carried items. Droids of Tiny size or smaller cannot have internal storage.

For each 50 credits spent, the droid can carry 1 kg of material or equipment in internal storage. A droid's size determines the maximum weight of items stored in internal storage, as noted below:

DROID SIZE MAXIMUM WEIGHT LIMIT
Small 5 kg
Medium 10 kg
Large 20 kg
Huge 50 kg
Gargantuan 500 kg
Colossal 5,000 kg

see also Spring-Loaded Mechanism

",Accessory,50,-,-,compartments for carried items.
CR,189,Jump servos,"Repulsorlift-assisted jump servos can be added to any droid with a walking locomotion system. Jump servos grant the droid the ability to treat all jumps as running jumps, even without the normal running start (see the Jump skill, page 68). In addition, the droid may reroll a failed Jump check (keeping the better result) and take 10 on Jump checks even when rushed or threatened. Jump servos double the cost of a walking locomotion system.

",Appendage,x2,(2xCF),-,"Standing jumps are treated as running jumps, reroll & keep better, can always take 10"
CR,139,Laser welder,,Appendage,,,,tool mount; 1d8 energy
CR,189,Limited Locomotion System,"Limited Locomotion System: The droid can only use this locomotion system for a limited time. After using this locomotion system for 1 round, the droid must make an Endurance check (DC 10, + 1 per check after the first) or it cannot use that locomotion system again for 1 minute (10 rounds).

",Locomotion,x0.1,x1,-,"Endurance DC10+1 per round to move an additional round, must wait 10 rounds (1 min) after failure"
CR,195,Locked access,"A droid with locked access has its shutdown switch secured or located internally, preventing it from being shut off by an opponent. The droid must be disabled or otherwise rendered helpless before it can be shut down. 

",Processors,50,-, Licensed,Cannot be shut down by an opponent
CR,189,Magnetic Feet,"Electromagnetic grippers enable a droid to cling to a ship's hull, even when the ship is moving at high speed. Only droids with walking, wheeled, or tracked locomotion can have magnetic feet.

",Appendage,x2,-,-,Stick to ships hull
SGD,52,Magnetic hands,"Magnetic feet are a common accessory. Droids specializing in extra-vehicular activities are often equipped with them. Magnetic hands function like magnetic feet. When used in concert with magnetic fee t, they provide a +2 bonus to any Climb checks made while maneuvering around a hull in space, as well as a +5 bonus to defenses against any attempt to knock the droid off the hull. When magnetic hands are activated, the droid cannot make attacks or use anything requiring its hands, including weapons.

",Appendage,ACx2,2xCF,-,+2 Climb & +5 v. being knocked off hull
CR,192,Memory Wipes,"Although intelligent droids consider it frightful and ghoulish and heroic droids regard it as a fate worse than death, the memory wipe is a fact of existence for most droids. Its primary purpose is to eradicate personality quirks that distinguish an independent droid.

Wiping a droid's memory requires a successful Use Computer check against the droid's Will Defense. The droid must be shut down to perform the memory wipe.

A memory wipe erases one class level per minute. A complete memory wipe reduces a droid to a basic model with no personality quirks and no class abilities. For example, a 3PO Series protocol droid that had been a 1st-level non heroic/4th-level scoundrel becomes a 1st-level non heroic basic model after a 4-minute memory wipe, losing its scoundrel levels and all the corresponding benefits.

",Reprogramming,,,,"Use C. vs WILLED, 1 lvl per minute"
SGD,60,Mesh tape dispenser,"Mounted on an appendage, a mesh tape dispenser enables a droid to quickly apply mesh tape to anything within reach of its manipulator (usually an adjacent square). In addition to its more conventional uses, an installed mesh tape dispenser can be used by a droid to entangle an adjacent enemy. With a successful melee attack, the droid can hinder either the target's arms or its leg s. If the target's arms are hindered, it incurs a -2 penalty to all attacks and Dexterity-based skill checks. If the target's legs are hindered, its speed is reduced by 2 squares, and it cannot run. If the droid has the Pin feat and succeeds at an opposed grapple check, the enemy is considered pinned until the tape is removed (instead of until the start of the droid's next turn).

",Accessory,10xCF,5,-,"can hinder adjacent w/normal unarmed atk for -2 atk & Dex skills or -2 spd & no run, with Pin & successful grapple enemy pinned until tape is removed"
SGD,60,Micro shield,"The force shield is a tool that prevents incoming attacks from hitting and damaging the wielder. Attached to one of the droid's appendages, the shield is composed of a central hub with two wide arcs mounted on struts above and below the hub. When inactive, the arcs rest against the hub in the shape of a large humanoid eye. When the droid activates the unit as a swift action, the arcs slide away from the hub, activating a translucent energy shield that provides a + 1 equipment bonus to the user's Reflex Defense. The force shield is originally designed to be installed on a droid's arm, but a handheld version that runs on a single energy cell is available for 400 credits. The energy cell provides enough power to run the shield continuously for 1 hour.

",Accessory,600xCF,10xCF,Licensed,"activate as swif, +1 Ref Def, handheld version 400 credits, can run for 1 hour"
SGD,60,Multifunction apparatus,"Each type of droid appendage performs one specific function. The multifunction apparatus, however, al lows up to three tools or weapons to be attached to a single appendage. The multifunction apparatus is commonly used to mount multiple weapons. Only one tool or weapon can be active at a time, but switching to a different tool or weapon requires only a swift action.

",Accessory,80xCF,15xCF,-,"allows 3 tools or weapons on single appendage, switch between as swif"
SGD,60,Multispectrum searchlight,"This handheld or installed accessory is a powerful spotlight that shines visible, infrared, or ultraviolet light. It has a 6-km range and is powered by the droid's own internal power supply. Droids able to see the projected light gain a +2 equipment bonus to Perception checks to Search and Notice Targets (see page 70 of the Saga Edition core rulebook) and to other situations in which the Gamemaster judges that the light provides an advantage. This bonus stacks with bonuses granted by helmet packages and improved sensor packages. 

The light can also be used to blind targets in a 6-square cone. All targets within the cone receive a -10 penalty to Stealth checks. As a standard action, the droid makes a ranged attack against each target's Fortitude Defense. If the attack is successful, the target receives a -5 penalty to attack rolls, Perception checks, Pilot checks, and other skill checks until the end of the droid's next turn. If the attack does not exceed a target's Fortitude Defense, the target receives a -2 penalty instead. This accessory can be used only by droids of Tiny size or larger.

",Accessory,100,2,-,"6km range, +2 Perception to Search & Notice Targets, can blind in a 6sq cone (see text)"
SGD,53,Personality downloader,"Personality Downloader (SGtD): Highly illegal, a personality down loader is a custom-built electronic unit designed to quickly suppress an existing droid's personality with a new one. Thieves, pirates, smugglers, infiltrators, and other scoundrels occasionally use a personality down loader to take control of an enemy's droid for their own use. Using the device requires the attacker to plug the personality downloader into one of the droid's data ports. Droids with locked access or without accessible data ports must be coaxed into complying. Once the personality down loader is attached, the user makes a Use Computer check opposed by the droid's Will Defense. If the check is successful, the personality copies itself to the droid's processor and suppresses the existing personality in 5 minutes. The process is imperfect, however. To maintain control, every 10 minutes the new personality must make another Use Computer check opposed by the original personality. The invading personality continues to use the attacking character's Use Computer skill, even though the actual character is not actively involved after the initial download is successful.

",Processors,custom,2+,Illegal,"cost usually 5000+, see SGD 53"
CR,139,Power prybar,,Appendage,,,,tool mount; 1d8 bludgeoning
CR,190,Probe,"Probe: Few droids have no actual manipulators. The bare minimum is a probe that can push or pull objects. 

",Appendage,2xCF,(0.5xCF),-,push objects
SGD,52,Projectile hand,"Fourth-degree droids are programmed for combat and security, but other droids can defend themselves as well. A popular modification is a projectile appendage, usually a hand on humanoid droids. When the projectile is activated, the hand flies toward the target. It is considered a nonlethal weapon. A droid might use a projectile hand in order to stun an aggressor or knock a blaster away rather than risking destruction in a blaster fight. 

The basic package is a tension-spring device that costs 250 cred its to install. A projectile hand is considered to be a ranged simple weapon that deals 2d8 damage. Additionally, the projectile hand can be used to make a ranged disarm attempt against a target within 6 squares.

",Appendage,ACx2,2xCF,Licensed,"tension-spring 250 credits, 2d8 dam as weapon, can be used for ranged disarm 6 sq away"
SGD,52,"Quick-release coupling, appendage","Some droids require frequent changes of tools and equipment to carry out their designated tasks. A too l-sized quick-release mechanism allows a droid (or a mechanic) to swap a tool in two standard actions: one to detach the tool and one to attach another. Both the appendage and the tool must have quick-release couplings.

The appendage-sized quick release mechanism allows a droid (or a mechanic) to swap an appendage in two full-round actions: one round to detach the appendage and one round to attach another. Both the appendage and the droid chassis must have quick-release couplings. A tool-sized quick-release coupling cannot be used with an appendage-sized coupling. Additionally, to swap out its own appendage or tool, a droid must have must have another appendage capable of carrying out the task, usually a hand or claw appendage of sufficient size, strength, and agility. A droid mechanic must also be capable of handling the weight of the tool or appendage (see the Droid Accessories tab les on page 58 and on page 194 of the Saga Edition core rulebook). Swapping appendages with a quick-release coup ling does not require a Mechanics check.

",Appendage,50xCF,5xCF,-,2 full actions to swap with no Mechanics check
SGD,52,"Quick-release coupling, tool","Some droids require frequent changes of tools and equipment to carry out their designated tasks. A too l-sized quick-release mechanism allows a droid (or a mechanic) to swap a tool in two standard actions: one to detach the tool and one to attach another. Both the appendage and the tool must have quick-release couplings.

The appendage-sized quick release mechanism allows a droid (or a mechanic) to swap an appendage in two full-round actions: one round to detach the appendage and one round to attach another. Both the appendage and the droid chassis must have quick-release couplings. A tool-sized quick-release coupling cannot be used with an appendage-sized coupling. Additionally, to swap out its own appendage or tool, a droid must have must have another appendage capable of carrying out the task, usually a hand or claw appendage of sufficient size, strength, and agility. A droid mechanic must also be capable of handling the weight of the tool or appendage (see the Droid Accessories tab les on page 58 and on page 194 of the Saga Edition core rulebook). Swapping appendages with a quick-release coup ling does not require a Mechanics check.

",Appendage,10xCF,2xCF,-,2 stan actions to swap with no Mechanics check
SGD,61,Radiant heat element,"This accessory enables a droid to radiate heat from its torso, providing warmth necessary for a master's survival in the wilderness or in deep space. The heat can be adjusted to provide ambient warmth or to boil water and cook food on the droid's exterior. The heating element can also be used by the droid as a defensive tool. When the radiant heat element is on its highest setting, any character ending its turn in a square adjacent to the droid takes ld4 fire damage from the droid. The droid itself takes 1 point of damage from the heat each turn.

",Accessory,200,20xCF,-,adjacent take 1d4 fire dam & droid takes 1 dam if used as weapon
SGD,64,Recharge station,"Droid recharge stations are found anywhere droids are commonly used: starships, residences, starports, industrial facilities, and similar locations. Public recharge stations are available for a fee of 20 credits per recharge. Droids typically require 1 hour to recharge. The station is not self- powered, and must be linked to an outside power source. Droids also use recharge stations while waiting until their services are called upon. Recharge stations provide basic droid diagnostics with a DC 10 Use Computer check, revealing the droid's current hit points, position on the condition track, and the operational status of all systems, appendages, and tools. Aboard starships, droids parked in a recharge station are secured for travel. A recharge station can be universal for all droids up to a certain size-typically Small, Medium, or Large-or designed for a specific droid degree or model.

",Stations,4000,500,-,"public use =  20 credits, 1 hour recharge, provides basic diagnostic Use Computer DC 10"
SGD,53,Remote limb control,"A disassembled droid is usually not a threat. Most beings overlook a pile of droid parts on the floor and keep moving. This package allows a droid to voluntarily remove an arm or a hand and operate it as if it were still attached to the droid's body. 

This equipment comes in basic and deluxe version s. The 1500-credit basic package enables one specified limb to operate on its own. The limb has a small repulsor unit inside it, allowing it to move (hover) up to 6 squares, and remains functional at a maximum range of 24 squares. While detached, the limb can perform any action it would normally be able to if attached to the droid. The 6,000-cred it deluxe package enables multiple limbs to be active at once. A droid can control a number of limbs equal to 1 + its Intelligence modifier (minimum 1).

",Appendage,ACx2,-,Restricted,"limb can hover 6 sq & max range 24 sq & can perform any action it normally does, 1500 credit for 1 limb, 6000 credit for multiple limbs = 1 + Int mod"
CR,191,"Remote Processor, 5000-km range","Remote Processor: The droid's processor isn't located in the droid; instead, the droid is actually a drone for a remote processor. The processor is equipped with a transmitter that allows a droid equipped with the appropriate remote receiver to operate as far away as 5 km (for the least expensive model) to as much as 5,000 km (for the most expensive model).

The advantage of a remote processor is that it makes the droid much less expensive because it only needs a receiver instead of a local control system. The drawback is that the droid doesn't react as quickly as a droid with an internal processor, so it takes a -2 penalty to its Dexterity.

",Processors,1000000,10000,Military,Controls drones with remote processor up to range away
CR,191,"Remote Processor, 500-km range","Remote Processor: The droid's processor isn't located in the droid; instead, the droid is actually a drone for a remote processor. The processor is equipped with a transmitter that allows a droid equipped with the appropriate remote receiver to operate as far away as 5 km (for the least expensive model) to as much as 5,000 km (for the most expensive model).

The advantage of a remote processor is that it makes the droid much less expensive because it only needs a receiver instead of a local control system. The drawback is that the droid doesn't react as quickly as a droid with an internal processor, so it takes a -2 penalty to its Dexterity.

",Processors,100000,1000,Military,Controls drones with remote processor up to range away
CR,191,"Remote Processor, 50-km range","Remote Processor: The droid's processor isn't located in the droid; instead, the droid is actually a drone for a remote processor. The processor is equipped with a transmitter that allows a droid equipped with the appropriate remote receiver to operate as far away as 5 km (for the least expensive model) to as much as 5,000 km (for the most expensive model).

The advantage of a remote processor is that it makes the droid much less expensive because it only needs a receiver instead of a local control system. The drawback is that the droid doesn't react as quickly as a droid with an internal processor, so it takes a -2 penalty to its Dexterity.

",Processors,10000,100,-,Controls drones with remote processor up to range away
CR,191,"Remote Processor, 5-km range","Remote Processor: The droid's processor isn't located in the droid; instead, the droid is actually a drone for a remote processor. The processor is equipped with a transmitter that allows a droid equipped with the appropriate remote receiver to operate as far away as 5 km (for the least expensive model) to as much as 5,000 km (for the most expensive model).

The advantage of a remote processor is that it makes the droid much less expensive because it only needs a receiver instead of a local control system. The drawback is that the droid doesn't react as quickly as a droid with an internal processor, so it takes a -2 penalty to its Dexterity.

",Processors,1000,10,-,Controls drones with remote processor up to range away
CR,191,Remote Receiver,"Remote Receiver: This unit allows a droid to receive instructions from a remote processor. Only droids without internal processors (such as Baktoid Combat Automata battle droids) can be fitted with remote receivers. A remote receiver can only be connected to one remote processor at a time. Changing the connection to a different remote processor requires a DC 20 Mechanics check and a tool kit.

",Processors,-500,1,-,"Droid is a drone to remote processor, -2 DEX, remove with toolkit and DC20 mechanics check"
SGD,61,Remote receiver jammer,"The portable remote receiver jammer is developed during the Clone Wars to scramble battle droid remote processor links at short range, rendering the droids use less. The jammer incorporates a backpack transmitter and a handheld computer controller. Remote receiver jammers have three significant weak nesses: They have an extremely short range; datalinks are notoriously difficult to disrupt; and many droids have backup processors. A remote receiver jammer can be activated as a standard action, and the jammer affects all droids with remote receivers and no backup processors. When the jammer is activated, the droid using the jammer makes a Use Computer check. At the start of any affected droid's turn, compare the results of the Use Computer check to the droid's Will Defense; if the Use Computer check is equal to or higher than the droid's Will Defense, the droid can take no actions and is flat-footed until the start of its next turn. The droid activating the jammer must activate it each turn, making a new Use Computer check each time.

",Communications,2000,2,Military,"activate as stan, Use Computer v. Will Def & if higher droid can take no actions & is flat-footed, make new check each rnd"
SGD,61,Remote receiver signal booster,"Droids that rely on a remote processor for instructions cannot stray too far from that processor without risking losing contact and becoming stranded. A remote receiver signal booster can prevent this loss of contact. The signal booster increases the receiver's reception strength, extending the range of a droid by 50%. A successful DC 30 Use Computer check made by the droid can further extend the range up to 100% for 1 hour.

",Communications,500,2,Licensed,"extends range of receiver by 50%, Use Computer DC 30 by droid can extend range 100% 1 hour"
SGD,53,Remote starship starter,"Remote Starship Starter (SGtD): Scoundrels have a habit of fleeing starports with the authorities on their heels. When a captain cannot leave a crew member back at the ship, a remote starship starter comes in handy. A droid equipped with this radio transmitter can signal the ship to begin the preflight processes; the ship transmits preflight diagnostics back to the droid as a free action. Although the droid is not able to operate the ship remotely, having the ship prepared for departure can save the crew vital minutes during an escape.

",Processors,50,2,-,signals ship to begin preflight processes with preflight diagnostics sent back to droid
SGD,61,Remote viewer,"The remote viewer is a small, se lf-contained visual and audio sensor attached to a micro-sized repulsorlift unit. Functioning as one of a droid's regular audio and visual sensors, the remote viewer can be externally mounted, concealed, or made to look like one of the droid's regular sensors. However, the droid can detach the unit and send it to inspect an area remotely. The viewer can travel up to 12 squares away from the droid, has a speed of 4, a Reflex Defense 18, a Fortitude Defense 12, and it runs for 30 minutes before needing to be recharged for 1 hour.

",Accessory,1000,20,-,"viewer can travel 12 sq, spd 4, ref Def 18, Fort Def 12, runs 30 min before recharge 1 hour"
SGD,61,Rental restraining bolt,"Some beings cannot afford to own a droid. The rental restraining bolt works like a standard bolt, except it also has a cred it reader. The user must deposit a specific number of credits to the credit reader on the restraining bolt to control the droid for a specified time. At the end of that time, the droid deactivates and does not reactivate until sufficient credits are again deposited.

",Accessory,10,0.5,-,runs based on credits deposited
CR,192,"Reprogramming, feat/talent package","A basic model droid comes with factory-preset skills and a certain set of trained skills, feats, and sometimes talents. These factory-presets are embedded in the droid's core programming and cannot be altered, but many droids have one or more trained skills left unassigned so that they can easily be programmed for their specific duties. Unassigned skills as well as feats and talents gained through level advancement can be altered through reprogramming.

Reprogramming a droid requires a Use Computer check (DC = droid's Will Defense) and 30 minutes of uninterrupted work. Reprogramming feats and talents is more difficult, so you take a -5 penalty on your Use Computer check. Furthermore, feats and talents can only be reprogrammed if they are neither a requirement for any of the droid's prestige classes nor a prerequisite for any feat or talent the droid retains. As always, a droid must meet all prerequisites for any replacement feats or talents. A droid can only have talents he is eligible for based on his classes; thus, a droid with 5 levels in the soldier class could only be reprogrammed with 3 talents that can be taken by soldiers (soldier levels 1, 3, and 5). A droid with 5 levels of soldier and 3 levels of scoundrel could be reprogrammed with 3 soldier talents and 2 scoundrel talents. Reprogramming requires that the droid be shut down for the duration of the procedure (but see ""Droid Self-Reprogramming,"" below).

To reprogram a skill, the programmer must be trained in that skill or purchase a skill package (100 credits). To reprogram a feat or talent, the programmer must either have that feat or talent or purchase a feat or talent package (1,000 credits).

If the droid's owner is unable to do the reprogramming himself, he can hire a professional programmer to do the task for him. The standard cost of hiring a programmer is (droid's Will Defense squared) x 10 credits for a skill, or 10 times this amount for a feat or talent. This cost includes any necessary skill, feat, or talent packages.

",Reprogramming,1000,-,-,"Use Computer, DC=WILLED, 30min, -5 penalty"
CR,192,"Reprogramming, professional","A basic model droid comes with factory-preset skills and a certain set of trained skills, feats, and sometimes talents. These factory-presets are embedded in the droid's core programming and cannot be altered, but many droids have one or more trained skills left unassigned so that they can easily be programmed for their specific duties. Unassigned skills as well as feats and talents gained through level advancement can be altered through reprogramming.

Reprogramming a droid requires a Use Computer check (DC = droid's Will Defense) and 30 minutes of uninterrupted work. Reprogramming feats and talents is more difficult, so you take a -5 penalty on your Use Computer check. Furthermore, feats and talents can only be reprogrammed if they are neither a requirement for any of the droid's prestige classes nor a prerequisite for any feat or talent the droid retains. As always, a droid must meet all prerequisites for any replacement feats or talents. A droid can only have talents he is eligible for based on his classes; thus, a droid with 5 levels in the soldier class could only be reprogrammed with 3 talents that can be taken by soldiers (soldier levels 1, 3, and 5). A droid with 5 levels of soldier and 3 levels of scoundrel could be reprogrammed with 3 soldier talents and 2 scoundrel talents. Reprogramming requires that the droid be shut down for the duration of the procedure (but see ""Droid Self-Reprogramming,"" below).

To reprogram a skill, the programmer must be trained in that skill or purchase a skill package (100 credits). To reprogram a feat or talent, the programmer must either have that feat or talent or purchase a feat or talent package (1,000 credits).

If the droid's owner is unable to do the reprogramming himself, he can hire a professional programmer to do the task for him. The standard cost of hiring a programmer is (droid's Will Defense squared) x 10 credits for a skill, or 10 times this amount for a feat or talent. This cost includes any necessary skill, feat, or talent packages.

",Reprogramming,(WD²)x10,-,-,Need package
CR,192,"Reprogramming, self","Droid Self-Reprogramming: A droid trained in the Use Computer skill may attempt to reprogram itself. However, the droid must have the appropriate skill, feat, or talent package to do so, and it takes a -5 penalty on its Use Computer skill check. A droid attempting to self-reprogram does not have to be shut down, but it is helpless and unable to take any actions until the attempt is completed.

",Reprogramming,-,-,-,"Need package, Use Computer check at an additional -5 penalty."
CR,192,"Reprogramming, skill package","A basic model droid comes with factory-preset skills and a certain set of trained skills, feats, and sometimes talents. These factory-presets are embedded in the droid's core programming and cannot be altered, but many droids have one or more trained skills left unassigned so that they can easily be programmed for their specific duties. Unassigned skills as well as feats and talents gained through level advancement can be altered through reprogramming.

Reprogramming a droid requires a Use Computer check (DC = droid's Will Defense) and 30 minutes of uninterrupted work. Reprogramming feats and talents is more difficult, so you take a -5 penalty on your Use Computer check. Furthermore, feats and talents can only be reprogrammed if they are neither a requirement for any of the droid's prestige classes nor a prerequisite for any feat or talent the droid retains. As always, a droid must meet all prerequisites for any replacement feats or talents. A droid can only have talents he is eligible for based on his classes; thus, a droid with 5 levels in the soldier class could only be reprogrammed with 3 talents that can be taken by soldiers (soldier levels 1, 3, and 5). A droid with 5 levels of soldier and 3 levels of scoundrel could be reprogrammed with 3 soldier talents and 2 scoundrel talents. Reprogramming requires that the droid be shut down for the duration of the procedure (but see ""Droid Self-Reprogramming,"" below).

To reprogram a skill, the programmer must be trained in that skill or purchase a skill package (100 credits). To reprogram a feat or talent, the programmer must either have that feat or talent or purchase a feat or talent package (1,000 credits).

If the droid's owner is unable to do the reprogramming himself, he can hire a professional programmer to do the task for him. The standard cost of hiring a programmer is (droid's Will Defense squared) x 10 credits for a skill, or 10 times this amount for a feat or talent. This cost includes any necessary skill, feat, or talent packages.

",Reprogramming,100,-,-,"Use Computer, DC=WILLED, 30min"
SGD,62,Repulsorcam,"A repulsorcam is an audio and video recorder mounted on a tiny repulsorlift. The device can detach from a droid's chassis, float to where its droid desires, up to 12 squares away, and record events. The repulsorcam can record up to 2 hours of audio and video data to its own memory. The unit has a speed of 4, a Reflex Defense of 16, and a Fortitude Defense of 10. A sing le energy cell powers the repulsorcam for 4 hours, recharging when it reattaches to the specialized socket on the droid or when it lands on a separate recharging unit available for an additional 150 credits.

",Accessory,1000,20,-,"travel 12 sq & record 2 hours, spd 4, Ref Def 16, Fort Def 10, 4 hours power, separate recharger 100 credits"
CR,192,Restraining Bolt,"Restraining Bolt: A restraining bolt turns off a droid's motor impulse without actually shutting down the droid. The restraining bolt is activated with a handheld device called a droid caller (see below). Restraining bolts must be secured to specific locations on droids. Attaching or removing a restraining bolt is a full - round action and requires a DC 10 Mechanics check.

A droid fitted with a restraining bolt can't upgrade or improve its skills (see Reprogramming, below). A droid with a heuristic processor can attempt to remove its own restraining bolt as a standard action with a successful DC 20 Charisma check followed by a successful DC 15 Mechanics check. A droid that fails the Charisma check can't attempt to remove the restraining bolt again until 24 hours pass.

",Processors,5,-,-,"Turn off motor, DC10 Mech. to remove, self: DC20 CHA + DC15 Mech. Retry in 24h"
CR,189,Restricted Locomotion System,"The cost of a droid's locomotion system can be reduced by placing limitations on its use. The two types of restrictions are exclusive and limited. A restricted locomotion system costs only one-tenth the normal cost.

Exclusive Locomotion System: The droid must spend a move action to engage or disengage this locomotion system. While the system is engaged, the droid can only use the move and run actions.

Limited Locomotion System: The droid can only use this locomotion system for a limited time. After using this locomotion system for 1 round, the droid must make an Endurance check (DC 10, + 1 per check after the first) or it cannot use that locomotion system again for 1 minute (10 rounds).

",Locomotion,x0.1,x1,-,Restricted system costs 1/10 of the cost and includes exclusive or limited locomotion
SGD,53,Rocket arm,"This illegal modification is derived from the nonlethal projectile appendage security systems available for noncombat droids. A rocket arm is essentially a hollowed-out droid arm in which the servo control has been replaced by a short-range rocket engine and fuel. The arm's fine control is eliminated, but the droid can point its arm at a target and fire. The arm detaches and flies at the target, detonating the remaining fuel on impact. Rocket arms are unguided projectiles without targeting computers.

This illegal modification costs 2,000 cred its and installation requires a DC 20 Mechanics check. Failure on the Mechanics check means the rocket might not detach properly when fired, exploding and dealing its damage to the droid and all targets in a 1-square splash radius. The rocket arm is considered to be a ranged heavy weapon that deals 3d8 points of damage upon detonation, with a 1-square splash.

",Appendage,ACx4,2xCF,Illegal,"2000 credits to install & DC 20, considered heavy ranged weapon 3d8 dam & 1sq splash"
SGD,62,Scomp link,"A scomp link is a universal data port mounted on an extendable arm, available for many types of droids. Astromech droids have them as standard equipment. Scomp link ports are standard input/output links, found on computer systems and starships throughout the galaxy. Using a scomp link gives a droid a +2 equipment bonus to Use Computer checks to Access Information (see pages 75-76 of the Saga Edition co re rulebook) when the computer's attitude toward it is helpful or friendly.

",Accessory,100,1,-,+2 Use Computer to Access Information if attitude is friendly or helpful
CR,196,Secondary Battery,"A secondary battery (sometimes called a redundant battery or backup battery) provides the droid with additional power, allowing it to operate for a longer duration. The secondary battery enables the droid to remain operational for 200 hours (instead of the normal 100 hours) before it needs to shut down and recharge.

",Accessory,400,4,-,Double uptime
CR,196,Self-destruct system,"To prevent capture and analysis, the droid comes equipped with a powerful explosive. The charge destroys the droid from within (no attack required), and a droid destroyed in this fashion cannot be repaired or salvaged. The explosion is treated as an area attack (+5 attack bonus). The damage to all targets with the area is determined by the droid's size (see below), and the burst radius of the explosion is 2 squares per 4d6 of damage (minimum 2 squares). Droids of Tiny size and smaller do not deal collateral damage when they self-destruct.

DROID SIZE DAMAGE
Small 4d6
Medium 6d6
Large 8d6
Huge 10d6
Gargantuan or larger 20d6
",Accessory,M.Dx20,(MaxDamx01),Restricted,"Area ATK +5, damage based on droid size"
SGD,62,Sensor booster,"Sensor Booster (SGtD): Probe droids try to coax a little more range out of their sensor equipment to get that extra amount of information about the area they are scanning. A sensor booster is a droid enhancement that extends the range of its sensors to a maximum of 2 kilometers, if the droid has a sensor pack installed. 

",Sensors,200,5,-,extends sensors range 2km
SGD,62,Sensor countermeasure package,"Sensor Countermeasure Package (SGtD): Droids operating covertly must avoid drawing attention to themselves. The sensor countermeasure package broadcasts signals that interfere with incoming sensor signals. A droid equipped with the sensor countermeasure package can make a Use Computer check to avoid being detected. If the Use Computer check equals or exceeds a Perception check made to detect the droid through any form of nonvisual sensor equipment, the droid remains undetected.

",Sensors,1000,2,-,make Use Computer checks to avoid being detected if check exceeds nonvisual sensor check
SGD,62,Shield expansion module,"This accessory enables a droid with a shield generator installed to expand its own shield by a single square, allowing an adjacent Medium or smaller ally to benefit from the droid's SR. Activating the expansion module is a standard action, and the droid chooses the single adjacent affected square; any creature in that square uses the droid's SR as long as it remains in that square and the droid remains adjacent to that square. Only droids of Small or larger size can use this accessory. Droids of Medium or smaller size can install only one shield expansion module. Droids of Large or larger size can install up to two modules. A second module protects an additional square.

",Shield Generator,50xSRxCF,2xSRxCF,Military,"expand shield by 1 single adjacent sq to for Med or smaller adjacent, only droids Small or larger, Large or larger can have 2"
CR,196,Shield Generator,"The droid is fitted with a deflector shield generator-the same type mounted on starships. Whenever the droid would take damage, reduce the damage by the droid's shield rating (SR). If the damage is equal to or greater than the droid's shield rating, the droid's shield rating is reduced by 5. By spending three swift actions on the same or consecutive rounds, the droid may make a DC 20 Endurance check to restore lost shield power. If the check succeeds, the droid's shield rating increases by 5 points (up to its normal shield rating).

Due to the size and energy requirements of shield generators, only droids of Small size or larger can be equipped with a SR 10 generator. Only droids of Medium size or larger can be equipped with a SR 15 generator. Only droids of Large or bigger size can be equipped with a SR 20 generator.

",Shield Generator,varies,varies,Military,"SR drops with -5 if taking over current SR, DC20 endurance to restore 5pt"
CR,196,"Shield Generator, SR10","The droid is fitted with a deflector shield generator-the same type mounted on starships. Whenever the droid would take damage, reduce the damage by the droid's shield rating (SR). If the damage is equal to or greater than the droid's shield rating, the droid's shield rating is reduced by 5. By spending three swift actions on the same or consecutive rounds, the droid may make a DC 20 Endurance check to restore lost shield power. If the check succeeds, the droid's shield rating increases by 5 points (up to its normal shield rating).

Due to the size and energy requirements of shield generators, only droids of Small size or larger can be equipped with a SR 10 generator. Only droids of Medium size or larger can be equipped with a SR 15 generator. Only droids of Large or bigger size can be equipped with a SR 20 generator.

",Shield Generator,5000xCF,(20xCF),Military,"SR drops with -5 if taking over current SR, DC20 endurance to restore 5pt, min small"
CR,196,"Shield Generator, SR15","The droid is fitted with a deflector shield generator-the same type mounted on starships. Whenever the droid would take damage, reduce the damage by the droid's shield rating (SR). If the damage is equal to or greater than the droid's shield rating, the droid's shield rating is reduced by 5. By spending three swift actions on the same or consecutive rounds, the droid may make a DC 20 Endurance check to restore lost shield power. If the check succeeds, the droid's shield rating increases by 5 points (up to its normal shield rating).

Due to the size and energy requirements of shield generators, only droids of Small size or larger can be equipped with a SR 10 generator. Only droids of Medium size or larger can be equipped with a SR 15 generator. Only droids of Large or bigger size can be equipped with a SR 20 generator.

",Shield Generator,7500xCF,(30xCF),Military,"SR drops with -5 if taking over current SR, DC20 endurance to restore 5pt, min medium"
