BOOK,PAGE,HAZARD,Type,Location,CL,Trigger,Attack,Defense,Damage (type; failure),Recurrence,Special,Skill 1,Skill 2,Skill 3
UR,106,Freezing Rain,Atmospheric; Natural,Arctic,4,Creature begins its turn w/in storm of freezing rain; object w/in hazard is subject to special effect,+6,Fort,2d6 and target moves -1 persistent step on CT (; 1/2 dmg and no CT movement),Every 10 minutes,"Creature that gains persistent condition from this hazard can't move up the CT until it spends at least 1 hour resting in a normal environment. Any object exposed to this hazard for at least 1 hr becomes difficult to use because of ice build-up; until the ice is removed, atk rolls and skill checks that involve the use of the affected object take a -2 penalty.","Endurance (DC26): Char forces themselves to move through the storm, gaining a +5 circumstance bonus to Fort Def against hazard.",Know(physical sciences) (DC16): Char identifies freezing rain before it reaches them.,
UR,106,Frozen Lake,Natural,Arctic,6,Creature begins its turn on frozen lake; atks all targets in 4x4 sq area centered on the triggering creature,+8,Ref,2d12 (; 1/2 dmg),"On trigger and on each subsequent rnd at start of target's turn, until target is rescued",Creature that falls through the ice and is subsequently rescued can't regain hp until it spends at least 1 hr resting in a normal environment.,"Jump (DC27): Char attempts to leap across the weakened area of ice, gaining a +2 circumstance bonus to Ref Def to avoid hazard.",Perception (DC22): Char locates weakness in frozen surface and surmises that too much weight could cause it to break.,
D8,36,Fuel Lines,Environmental; Artificial,Indoor/Urban,13,,+13,Ref,8d6 (1/2),,All characters in 4-sq burst affected,,,
L,191,"Gravity Mine, Magnetic",Space; Artificial,Space,,Starship enters mine's sq or adjacent sq,Autohit,,Special,,Ships in 3x3 sq area are pulled from hyperspace and cannot re-enter while in these squares; mine then attaches itself to triggering ship,,,
L,191,"Gravity Mine, Standard",Space; Artificial,Space,,Starship enters mine's sq or adjacent sq,Autohit,,Special,,Ships in 3x3 sq area are pulled from hyperspace and cannot re-enter while in these squares,,,
GW,163,Gravity Trap,Station; Artificial,Indoor/Urban,,,Autohit,,Special,,"Can increase the gravity, reverse the gravity (causing creatures to fall toward ceiling and take dmg based on the distance traveled = height of room), or eliminate gravity. Can be disabled by gaining control of the artificial gravity generators, considered part of the life support systems. Affects all creatures in specifiec area (doesn't discriminate between intruders and station personnel).",,,
CR,257,High Gravity,Gravity; Artificial or Natural,,,,Autohit,,Special,,"Speed: 3/4 (rnd down to nearest sq, min. -1), applies to all modes of movement; Carrying Cap: 1/2, take -2 penalty on Str check to lift or move hvy, unsecured object; Skill Check Bonus: take -2 penalty on Str-based skill checks; Atk Roll Penalty: take -2 penalty on atk rolls unless you are native to high-gravity environments or have Spacehound talent; Dmg from Falling: Roll d8s instead of d6s when calculating falling dmg",,,
,,Ice Cave-In,Natural,Arctic,8,"Creature or droid in ice cavern fires wpn that makes noise; targets any creature, droid, or object in area of cave-in",+10,Ref,2d12+1,"Each rnd at start of target's turn, as long as target remains in area of cave-in",,"Acrobatics (DC28): As move action, char can make check to gain +5 circumstance bonus to Ref Def against falling ice atk made against char at start of their next turn.",Perception (DC23): Char notices roof of ice cavern is unstable and believes a loud noise could cause a cave-in,
UR,106,Icy Cliffs,Natural,Arctic,9,Creature or droid begins its turn on icy cliffs,+11,Ref,1d6 every 3 meters a target falls,"Each rnd at start of target's turn, as long as target remains on icy cliffs",Any creature or droid that is successfully attacked by hazard loses its grip on the cliffs and falls.,"Acrobatics (DC18): Char uses tumbling skills to slow their descent, reducing the distance they fall by 3 m.","Climb (DC32): Char ascends icy cliffs more effectively, gaining a +5 bonus to Ref Def against hazard.","Know(tactics) (DC23): Char plots course up cliffs that minimizes the effects of the hazard, granting everyone +1 circumstance bonus to Ref Def against hazard."
UR,107,Icy Ground,Artificial or natural,Arctic,2,"Creature, droid, or wheeled vehicle crosses icy ground",+4,Ref,2d10,On trigger,"Immediately after hazard's successful atk, target is knocked prone, ending its move action. Target must spend move action to stand up. As target attempts to regain its footing, hazard makes AoO against target w/ -5 penalty. If atk is successful, target slips on ice and falls prone again, but takes no extra dmg.","Jump (DC19): Char leaps over ice, gaining +5 circumstance bonus to Ref Def to avoid hazard.","Pilot (DC14): When operating wheeled vehicle, char maintains control of vehicle even if hazard's atk is successful.","Stealth (DC24): Using the same technique for moving silently, char can move at half speed and isn't affected by hazard's atk."
GW,164,Incinerators,Station; Artificial; Fire,Indoor/Urban,,,Autohit,,1d8/rnd (fire); 3d6/5 rnds,,"Size of small room, accessed through 1-meter-tall door. Std temp during most rnds; every 5 rnds, incinerator flares up",,,
UR,120,Insect Swarm,Atmospheric; Natural,Swamp,3,Creature begins its turn in sq occupied by swarm,+5,Ref,2d10 (; 1/2 dmg),"Each rnd at start of target's turn, as long as target is w/in area occupied by swarm",,Know(life sciences) (DC14): Char identifies insect swarm.,Survival (DC19): Char realizes that entering body of water or sealed environment is best way to avoid swarm.,
GI,65,Irksh Poison,Poison; Ingested,,13,,+10,Fort,"8d6, -1 CT (; 1/2, no CT move)",Each rnd,YV substance; atks each rnd until cured w/ successful DC28 Treat Injury check,,,
UR,168,Jagged Sinkhole,Natural,,7,"Ground vehicle ends its pilot's turn in area of jagged sinkhole, or vehicle lands in area of jagged sinkhole",+9,Ref,"2d10+2x2 (; 1/2 dmg); on hit or miss, vehicle becomes mired in jagged sinkhole and can't move w/o assistance",Each rnd on initiative (Init +8),,Perception (DC22): Char recognizes jagged sinkhole.,"Pilot(physical sciences) (DC22): Using the vehicle's drive systems, char is able to dislodge ship from hazard. This check reqs a move action; if successful, vehicle can move as normal.",Use the Force (DC varies): The Move Object Force power can be used to pull trapped vehicle out of jagged sinkhole.
R,109,KDY V-150 Planet Defender,Traps/Security Systems/Emplacements; Artificial; Energy,,12,,+10 (-10 vs targets smaller than colossal),Ref,9d10x10 (energy-ion),,,,,
T,112,Knobby White Spider Poison,Poison; Injury,Swamp,,Spider sting,+10,Fort,-1 CT; immobilized if moved to bottom of CT,Each rnd,Cured with DC 15 Treat Injury,,,
CR,255,Knockout Drops,Poison; Ingested,,2,,+5,Fort,-1 CT,Each rnd,Ingested; occurs each rnd until cured w/ DC15 Treat Injury check,,,
GW,163,Korfaise Gas,Gas; Artificial,,2,,+4,Fort,2d10 (1/2); special,Each rnd exposed,Gas fills 20x20 meter room in 3 rnds; speed reduced by 1 sq until target spends 1 rnd outside gas,,,
T,113,Kouhun Poison,Poison; Injury,Forest/Jungle,,Kouhun bite,+10,Fort,"4d6, -1CT (;1/2 dmg and no CT movement)",Each rnd,Cured with DC 25 Treat Injury,,,
UR,183,Kryotin,Ingested; Natural; Poison,,4,Living creature ingests dose of kryotin,+6,Fort,"No dmg and target moves -1 step on CT and gains persistent condition. Until persistent condition is removed, target doubles all CT penalties to Will Def (; no dmg and target moves -1 step on CT)",Once each minute for 10 minutes,"Each day that creature w/ persistent condition caused by kryotin goes w/o dose of kryotin, the creature moves -1 step on CT at start of day. After 10 days w/o ingesting kryotin, persistent condition is removed.",Know(life sciences) (DC31): Char identifies the chemical as the narcotic substance known as kryotin.,Perception (DC26): Char recognizes the signs that an individual creature is under the effects of kryotin.,Treat Injury (DC21; req medical kit): Char treats effects of kryotin. This process takes 8 hrs and removes the persistent condition caused by kryotin.
CR,254,Krytos Virus,Disease,,5,,+10 (-5 if target is Human),Fort,"2d6, -1 persistent",Each day,"Occurs first time char exposed to disease; if initial atk succeeds, atk occurs again each day disease remains untreated; treating disease reqs DC20 Treat Injury check (using bacta tank reduces check to DC15)",,,
UR,117,Lava Flow,Fire; Natural,Subterranean,15,"Creature, droid, or object begins its turn adjacent to lava flow",+17,Ref,2d6 and target moves -2 steps on CT,"Each rnd at start of target's turn, as long as target is adjacent to lava flow","Any creature, droid, or object touched by the lava catches fire and takes addl 1d6 pts of fire dmg each rnd until fire is extinguished.","Acrobatics (DC27): Char tumbles away from lava, gaining +5 circumstance bonus to Ref Def against hazard.","Jump (DC27): Char jumps over or away from lava, gaining a +2 circumstance bonus to Ref Def against hazard.",Know(physical sciences) (DC22): Char can predict how the lava flow will move; char and their allies gain a +1 circumstance bonus to Ref Def against hazard.
UR,120,Leeches,Natural,Swamp,2,Creature begins its turn in area occupied by leeches,+4,Ref,Target moves -1 persistent step on CT,Each rnd at start of target's turn until removed,"Leeches ignore effects of creature's armor, unless the armor is natural or airtight.",Treat Injury (DC19): Char safely removes leeches.,,
D6,31,Light Beams,Environmental; Artificial,Indoor/Urban,,,+5,Ref,Special,,Successful atk blinds victim for (5-Con mod) rnds (add add'l rnds for neg mods),,,
GW,164,Liquid Cable Traps,Station; Artificial,Indoor/Urban,Station CL,,2+station's CL,,Special,None,"Commonly installed in door frames and narrow passageways, triggered by tripwire lasers, motion detectors, or other sensors. Trap covers 2x2 area, w/ 1 line bisecting the sq that's the source of the liquid cable. Each creature caught by the trap becomes flat-footed and immobilized. The following rnd, each trapped creature can attempt a DC20 Str check to break free; allies outside the trap can also attempt the Str check.",,,
UR,108,Loose Sand,Natural,Arid/Desert,1,Creature or droid begins its turn in loose sand,+3,Ref,2d8+1,"Each rnd at start of target's turn, as long as target is w/in area occupied by loose sand","If hazard's atk is successful, target is restricted to 1 move action/rnd, but target can't leave its sq because it's unable to find secure footing. If hazard's atk fails, target can leave its sq.","Acrobatics (DC18): Char tumbles through the sand to reach more stable ground, gaining +2 circumstance bonus to Ref Def against hazard.","Jump (DC23): Char attempts to leap out of loose sand, gaining +5 circumstance bonus to Ref Def against hazard.",Know(physical sciences) (DC13): Char notices that the sand appears loose.
CR,256,Low Gravity,Gravity; Artificial or Natural,,,,Autohit,,Special,,"Speed: +1/4 (rnd down to nearest sq, min. +1), applies to all modes of movement; Carrying Cap: 2x, gain +2 bonus on Str check to lift or move hvy, unsecured object; Skill Check Bonus: gain +2 circumstance bonus on Str-based skill checks; Atk Roll Penalty: take -2 penalty on atk rolls unless you are native to low-gravity environments or have Spacehound talent; Dmg from Falling: Roll d4s instead of d6s when calculating falling dmg",,,
UR,111,Low-Hanging Branches,Natural,Forest/Jungle,2,Creature enters sq in which hazard is located,+4,Ref,2d10,On trigger,"For targets riding on a creature or in a vehicle that doesn't provide total cover, hazard's dmg is 2d10x2.","Perception (DC14): Char detects branches as they approach, gaining +5 circumstance bonus to Ref Def to avoid them.",,
J,69,Madness of Knowledge,Dark Side,,6,,+8,Will,-2 persistent,None,"The 1st time a char rds a Sith tome, scroll, or tablet, make atk; until the persistent condition is removed, char takes -5 penalty to Will Def (on top of normal CT penalty); until the persistent condition is removed, char is filled w/ paranoia and creeping insanity, any time char rolls a natural 1 on atk, next atk made before the end of the encounter must be against an ally; persistent condition can be removed after 8 hrs of rest w/ a DC25 Treat Injury check (char affected can't make Treat Injury check on themself)",,,
UR,113,Malfunctioning Blast Door,Artificial,Indoor/Urban,4,Creature or droid attempts to move through blast door while its open,+6,Ref,2d6 and target moves -1 step on CT,Special,"Each rnd, blast door opens on random init count and closes on another random init count; the GM makes each Init check for the door.","Acrobatics (DC26): Char dives through opening, gaining +5 circumstance bonus to Ref Def against hazard.",Mechanics (DC21): Char fixes blast door so that it no longer operates erratically.,Use Computer (DC21): Char bypasses controls for the blast door and forces it to remain open.
T,116,Mantellian Savrip Poison,Poison; Injury,,,Savrip bite,+10,Fort,-1 CT; immobilized if moved to bottom of CT,Each rnd,Cured with DC 15 Treat Injury,,,
UR,161,Meteor Shower,Area; Natural,,15,Vehicle begins its turn in area affected by meteor shower,+17 area,Ref,3d10+2x2 (; 1/2 dmg),Each rnd on initiative (Init +12),,"Pilot (DC24): As reaction to meteor shower's atk, pilot of vehicle can make check to grant +2 dodge bonus to Ref Def against meteor shower's atks until start of next turn.",Use Computer (DC19): Char identifies impending meteor shower w/ vehicle sensors.,
UR,161,Meteorite Storm,Area; Natural,,10,Creature or droid begins its turn in area affected by meteorite storm,+12 area,Ref,4d6+2 (; 1/2 dmg),Each rnd on initiative (Init +10),,"Acrobatics (DC24): As reaction to meteorite storm's atk, can make check to gain +2 dodge bonus to Ref Def against meteorite storm's atk until start of next turn.",Know(physical sciences) (DC19): Char identifies impending meteorite storm.,
UR,115,Micrometeor Shower,Atmospheric; Artificial or natural,Space,5,Vehicle begins its turn w/in micrometeor shower,+7,Fort,2d10+1,"Each rnd at start of vehicle's turn, as long as vehicle is w/in area occupied by micrometeor shower",,"Use Computer (DC16): Char configures shields to ""double front"", granting vehicle +5 equip bonus to Fort Def against hazard.",,
UR,115,Nebula,Atmospheric; Natural,Space,2,Vehicle begins its turn in nebula,+4,Fort,2d6x2 and vehicle moves -1 step on CT,Hourly,"Dust and gases from nebula might affect vehicle's systems.  If hazard's atk roll exceeds vehicle's Fort Def by 5 or more, one of vehicle's systems (GM's choice) becomes unavailable and can't be repaired until vehicle leaves nebula.","Mechanics (DC24): For 1 hr, char staves off effects of nebula dust and gases.  Char can attempt another check each hr for as long as vehicle remains w/in nebula.",,
GW,163,Null Gas,Gas; Artificial,Indoor/Urban,12,,+14,Fort,3d10; special,Each rnd exposed,Gas fills 20x20 meter room in 3 rnds; after 1 min of exposure creatures is affected as if in a vacuum and must deal with the effects of suffocation,,,
GW,163,Obah Gas,Gas; Artificial,Indoor/Urban,6,,+8,Fort,"2d12, -1 CT (1/2, no CT move)",Each rnd exposed,Gas fills 20x20 meter room in 3 rnds,,,
UR,180,Orbital Defense Mines,Artificial; Energy,Space,8,Vehicle attempts to enter O'reenian atmosphere,+10,Ref,3d10x2 (; 1/2 dmg),"On trigger, then on initiative (Init +8) for 5 rnds","This hazard assumes triggering vehicle is passing through the thick net of security satellites surrounding the whole planet. GM can also choose to have orbital defense mines only cover certain sq; in such a case, mines trigger when vehicle enters sq or adjacent sq of orbital defense mine, and there is no recurrence.","Pilot (DC16): As reaction, vehicle's pilot can make check to reduce dmg caused by exploding orbital defense mine. If check is successful, dmg taken is reduced by 1/2 (if vehicle is already taking 1/2 dmg from attack, it instead takes 1/4 dmg).","Use Computer (DC16): Char can make check to detect presence of mines. Furthermore, as std action, char can use this skill to use vehicle's sensors to detect mines, granting vehicle +2 dodge bonus to Ref Def against mines' atks.",
CR,255,Paralytic Poison,Poison; Injury,,5,,+10,Fort,-1 CT,Each rnd,"Injected; target moved to end of CT is immobilized, but not unconscious; occurs each rnd until cured w/ DC15 Treat Injury check",,,
UR,118,Pit/Sinkhole,Natural,Subterranean,4,"Creature, droid, or object ends its movement in sq occupied by pit or sinkhole",+6,Ref,Special,None,"If hazard's atk against target is successful, target falls into hole and takes falling dmg when it hits bottom.","Acrobatics (DC26): Char twists to grab edge of hole, gaining +5 circumstance bonus to Ref Def to avoid falling in.","Climb (DC26): As char falls into hole, they grab the wall and slow their descent, reducing the amt of dmg the char takes by 1/2.","Jump (DC21): By jumping across opening of hole, char gains +2 circumstance bonus to Ref Def to avoid falling in."
UR,103,"Poison, Dioxis",Atmospheric; Natural; Poison,,8,Creature is exposed to poison,+10,Fort,4d6 and target moves -1 step on CT (; 1/2 dmg and no CT movement),Each rnd at start of target's turn until treated,,Treat Injury (DC23; req medical kit): Char treats the poison.,,
UR,103,"Poison, Knockout Drops",Artificial; Ingested; Poison,,2,Creature ingests poison,+4,Fort,Target moves -1 step on CT,Each rnd at start of target's turn until treated,,Treat Injury (DC14; req medical kit): Char treats the poison.,,
UR,103,"Poison, Paralytic",Artificial; Contact; Poison,,5,Creatures is injected w/ poison,+10,Fort,Target moves -1 step on CT,Each rnd at start of target's turn until treated,Creature moved to bottom of CT by this poison is immobilized but doesn't fall unconscious.,Treat Injury (DC16; req medical kit): Char treats the poison.,,
D8,32,Power Conduit,Environmental; Artificial; Fire,Indoor/Urban,12,,+15,Ref,"5d6, catches fire (1/2, doesn't catch fire)",,All objects w/in 2 sq are affected,,,
GW,164,Power Diffusion Tunnels,Station; Artificial,Indoor/Urban,,,Autohit,,1d4xStation's CL (electrical),Every 3 rnds,"Every 3 rnds, a burst of energy passes from one end of the tunnel to the other. Firing a wpn at one of the buffers (10 hp) causes any creature w/in 6 sq of the damaged buffer takes normal dmg; the next time an energy burst travels through the tunnel, any creature w/in 6 sq of the damaged buffer takes 2x dmg; damaging a tunnel immediately sets off an alarm and summons a crew of technicians to investigate.",,,
UR,113,Production Assembly Line,Artificial,Indoor/Urban,12,Creature or droid begins its turn w/in area of assembly line,+14,Ref,4d6+2,"Each rnd at start of target's turn, as long as the target is w/in area of assembly line","If hazard's atk roll exceeds the target's Ref Def by 5 or more, target becomes pinned on assembly line. The hazard gains a +5 bonus to atk rolls against target until target escapes being pinned.","Acrobatics (DC26): Char twists and rolls between the mechanisms, gaining a +2 circumstance bonus to Ref Def against hazard.","Mechanics (DC31): Char sabotages equip as they move through it, imposing a -5 penalty to hazard's atks.","Use Computer (DC31): Slicing into controls, char shuts down the assembly line."
UR,111,Quicksand,Natural,Forest/Jungle,8,Creature begins its turn in sq occupied by hazard,+10,Ref,2d8 and target moves -1 step on CT,On trigger,"Creature caught in quicksand sinks into it over period of 5 rnds. If creature fully sinks into quicksand, it can hold its breath for # rnds = Con score before it must begin making Endurance checks to continue holding its breath (SECR pg. 66).","Perception (DC23): Char detects quicksand before they reach it, gaining +5 circumstance bonus to Ref Def to avoid hazard. This bonus stacks w/ bonus they receive from successful Survival check against hazard.",Survival (DC23): Char determines boundaries of quicksand and gains +5 circumstance bonus to Ref Def to avoid hazard. This bonus stacks w/ bonus they receive from successful Perception check against hazard.,Swim (DC28): Char escapes from quicksand at end of rnd.
GI,65,Quongoosh Essence,Poison; Ingested,,3,,+5,Fort,-1 CT,Each rnd,Target moved to Helpless on CT by poison becomes blind but not unconscious or otherwise helpless; all targets have concealment from blind creature; atks each rnd until cured w/ successful DC15 Treat Injury check,,,
CR,255,"Radiation, Extreme",Radiation; Artificial or Natural,,10,,+10,Fort,"8d6, -1 persistent",Each rnd exposed,"Ignores DR and SR; occurs each rnd exposed; DC30 Treat Injury check to cure; can revive creature that dies from exposure, but that doesn't remove radiation, which must be treated separately",,,
CR,255,"Radiation, Mild",Radiation; Artificial or Natural,,2,,+1,Fort,"2d6, -1 persistent",Each rnd exposed,"Ignores DR and SR; occurs each rnd exposed; DC15 Treat Injury check to cure; can revive creature that dies from exposure, but that doesn't remove radiation, which must be treated separately",,,
CR,255,"Radiation, Moderate",Radiation; Artificial or Natural,,4,,+2,Fort,"4d6, -1 persistent",Each rnd exposed,"Ignores DR and SR; occurs each rnd exposed; DC20 Treat Injury check to cure; can revive creature that dies from exposure, but that doesn't remove radiation, which must be treated separately",,,
CR,255,"Radiation, Severe",Radiation; Artificial or Natural,,7,,+5,Fort,"6d6, -1 persistent",Each rnd exposed,"Ignores DR and SR; occurs each rnd exposed; DC25 Treat Injury check to cure; can revive creature that dies from exposure, but that doesn't remove radiation, which must be treated separately",,,
K,223,Rakghoul Disease,Disease,,4,Rakghoul bite,+8,Fort,Special,Every 5 mins.,"If bitten by rakghoul, make initial atk; if initial atk successful, target is infected; if infected, disease atks every 5 min.; after 3 successful atks, target transforms into a rakghoul; cured w/ DC25 Treat Injury check w/ access to rakghoul serum",,,
W,294,Rakghoul Disease,Disease,,4,Rakghoul bite,+8,Fort,Special,Every 5 mins.,"If bitten by rakghoul, make initial atk; if initial atk successful, target is infected; if infected, disease atks every 5 min.; after 3 successful atks, target transforms into a rakghoul; cured w/ DC25 Treat Injury check w/ access to rakghoul serum",,,
D1,13,Razor Mushroom,Environmental,Forest/Jungle,2,,+3,Ref,1d6+2,,,,,
D8,31,Repulsortrain Couplers,Environmental; Artificial,Indoor/Urban,12,,+15,Ref,1d10x2/coupling (ion; 1/2),,All creatures w/in 4 sq are affected,,,
UR,118,Rising Water,Natural,Subterranean,3,A torrent of water begins pouring into the cavern; targets any creature in area of rising water,+5,Fort,Target moves -1 step on CT,"Every minute, once the water lvl is at least 1 sq deep",Water lvl rises 1 sq/min (10 rnds) until cavern is filled w/ water. Creatures w/in filled cavern must hold their breath or begin drowning.,Endurance (DC19): Char resists urge to breathe when submerged and gains +2 circumstance bonus to Fort Def against hazard.,"Perception (DC24): Char spots opening through which air is escaping, which indicates a way out of the cavern.","Swim (DC14): Char moves through water, gaining +1 circumstance bonus to Fort Def against hazard."
UR,108,Rock Slide,Artificial or natural,Arid/Desert,9,"Creature or droid w/in area of hazard fires wpn that makes noise; targets any creature, droid, or object in area of rock slide",+11,Ref,2d12+1,"Each rnd at start of target's turn, as long as target is w/in area occupied by rock slide",,"Know(physical sciences) (DC23): Char determines from surroundings that area might be unstable. A minor seismic quake, a shot from a blaster bolt, or an explosive could cause a rock slide.","Survival (DC28): After observing area, char finds a few places where they could take cover during rock slide, gaining +5 circumstance bonus to Ref Def against hazard.",
UR,118,Rocky Ground,Natural,Subterranean,2,Creature or droid begins its turn on rocky ground,+4,Ref,Special,"Each rnd at start of target's turn, as long as target is w/in area occupied by rocky ground","If hazard's atk against target succeeds, target falls prone. If hazard's atk exceeds target's Ref Def by 5 or more, target falls prone and moves 1 sq backward.","Jump (DC14): Char leaps over rubble, gaining +5 circumstance bonus to Ref Def to avoid hazard.","Stealth (DC19): Using the same technique used for moving silently, char slows their movement to 1/2 speed to avoid taking dmg.",
UR,104,Rough Waters,Natural,Aquatic,3,"Creature begins its turn swimming in the area of the hazard, or the pilot of an aquatic vehicle starts their turn in the area of the hazard",+5,Fort,2d8+2 (; 1/2 dmg),On trigger,,Know(physical sciences) (DC14): Char identifies presence of rough waters and recognizes the hazard's effects on swimming creatures and aquatic vehicles.,Pilot (DC14): Pilot of aquatic vehicle affected by rough waters can make a Pilot check as reaction to avoid the rough waters.,Swim (DC14): Char can make Swim check as reaction to avoid effects of rough waters.
UR,109,Sandstone Pillars,Natural,Arid/Desert,6,Creature or droid begins its turn on pillar,+8,Ref,2d12,Each time target reaches a new pillar,Line of 1d4+2 pillars creates path to other side of ravine.,"Acrobatics (DC27): Char works to keep their balance while moving from pillar to pillar, gaining +2 circumstance bonus to Ref Def against hazard.","Jump (DC27): As char leaps to next stone pillar, they aim for the center to avoid destabilizing it. By doing so, the char gains +2 circumstance bonus to Ref Def against hazard.","Perception (DC22): Char spots possible weakness in pillar ahead and avoids it, gaining +5 circumstance bonus to Ref Def against hazard."
UR,109,Sandstorm,Atmospheric; Area; Natural,Arid/Desert,4,"Creature, droid, or object begins its turn in sandstorm",+6 area,Fort,2d10+1 (; 1/2 dmg),Hourly,Sandstorm grants concealment to creatures and objects w/in it. Any target wearing sealed protective suit is not affected by this hazard.,"Know(physical sciences) (DC21): Char determines that the incoming cloud is a violent sandstorm, and all members of the grp gain +1 circumstance bonus to Fort Def against hazard.",Perception (DC16): Char detects sandstorm before it reaches them.,
UR,109,Sarlacc Pit,Natural,Arid/Desert,12,Creature begins its turn in sq occupied by hazard,+14,Ref,4d6+2,"Each rnd at start of target's turn, as long as target is w/in area occupied by sarlacc pit","If hazard's atk exceeds target's Ref Def by 5 or more, sarlacc grabs target and pulls it to bottom of pit 2 sq/rnd. If target reaches bottom of pit, it's ingested.","Acrobatics (DC26): Char avoids sarlacc's tentacles, but they still take dmg from atk.",Climb (DC31): Char manages to climb 1 sq closer to edge of pit.,"Know(life sciences) (DC21): Char identifies sarlacc pit before they reach it, gaining +5 circumstance bonus to Ref Def against hazard's atks."
UR,168,Scavenged Supplies,Ingested; Natural; Poison,,4,Creature consumes food or water scavenged from surface of Durace w/o first purifying it,+6,Fort,2d8+3 and target moves -1 step on CT (poison; 1/2 dmg and no CT movement),Each hr until treated,,Survival (DC16): Char recognizes that supplies are tainted.,Treat Injury (DC21): Char treats effects of tainted supplies.,
UR,217,Sea Monster Tentacle,Contact; Natural,Aquatic,10,"Each rnd, on initiative (Init +11); 1 atk per creature in area of hazard",+12,Ref,4d6+1,On trigger,Creatures hit and damaged by hazard are grabbed by tentacle and can attempt to escape as normal. Any creature that's both grabbed and either reduced to 0 hp or rendered unconscious is consumed by the sea monster.,Know(life sciences) (DC19): Char identifies telltale signs of sea predator nearby and can tell that the area is hazardous.,,
CR,256,Set Explosive (Detonite),Traps/Security Systems/Emplacements; Artificial; Energy,,2,,+10,Ref,Full (1/2),,Any creature or object to which explosive is attached is auto hit,,,
CR,256,Set Explosive (Explosive Charge),Traps/Security Systems/Emplacements; Artificial; Energy,,5,,+10,Ref,Full (1/2),,Any creature or object to which explosive is attached is auto hit,,,
L,221,"Shaped Gundark, Poison",Poison; Injury,,,Gundark bite,Bite,Fort,"+2d6, -2 persistent CT",None,,,,
UR,218,Shattering Avka Eggs,Area; Natural,,7,Creature enters sq adjacent to avka egg,+9 area,Ref,2d6+6 (; 1/2 dmg),On trigger; once per egg,"Each time an avka egg is triggered, place an avka young in space the egg once occupied.","Acrobatics (DC23): Until end of this movement, char can enter sqs adjacent to unexploded avka egg w/o triggering hazard.","Know(life sciences) (DC18): Char recognizes the rocky outcroppings as avka eggs, and knows the young inside can break out violently.",Perception (DC23): Char notices there are creatures w/in stone outcroppings waiting to emerge.
GW,164,Shock Locks,Station; Artificial,Indoor/Urban,,,Autohit,,1d6 (electrical),,"Can be placed on anything w/ a door. Any char who makes a Mechanics check on a door w/ a shock lock takes dmg. Moderate Perception check to notice shock lock, moderate Mechanics check to disconnect it. Occassionally, shock locks are installed in control panels and can be deactivated only by someone who first enters an authorization code. A shock lock installed for this purpose is usually built directly into the panel, making it undetectable. Some shock locks are designed not only to deliver a shock to the person attempting to use the control panel but also to short circuit and disable the panel.",,,
D1,13,Sinkhole,Falling,Arid/Desert,1,,None,,Normal falling dmg,,Can detect/avoid w/ DC10 Perception check,,,
J,69,Sith Poison,Poison; Ingested,,10,,+12,Fort,"4d6, -1 persistent (0 dmg)",Every time spend FP,"When creature takes dmg from wpn coated w/ Sith poison or ingests substance tainted w/ Sith poison; whether poison atk succeeds or fails, poison feeds target's anger, drawing it closer to the Dark Side until effect is negated; every time target spends FP, make +12 atk roll against target's Will Def; if atk succeeds, char calls upon the Dark Side and increases its Dark Side Score by 1; every time an atk made by the Sith poison fails, a char can make a DC25 UtF check to neutralize the poison; if poison atk fails 5 consecutive times, poison is auto neutralized",,,
D8,33,Smoke,Atmospheric,,2,,+5,Fort,"1d6, -1 CT (1/2, no CT move)",Each rnd exposed,Occurs each rnd exposed; grants concealment to chars w/in it,,,
UR,103,Smoke,Atmospheric; Natural,,2,Creature begins its turn in smoke,+4,Fort,1d6 and target moves -1 step on CT (; 1/2 dmg and no CT movement),On trigger,Smoke grants concealment to creatures and objects w/in it.,,,
UR,116,Solar Wind,Atmospheric; Energy; Natural,Space,7,Vehicle begins its turn exposed to solar wind,+9,Fort,3d8x2 (ion; 1/2 dmg),"Each rnd at start of vehicle's turn, as long as vehicle is exposed to solar wind",Each creature inside vehicle takes 1/2 dmg from radiation if hazard's atk is successful and no dmg on miss.,Perception (DC17): Char detects solar flare and predicts imminent solar wind.,"Use Computer (DC22): Char configures vehicle's shields to better protect it from hazard, granting +5 equip bonus to vehicle's Fort Def against hazard.",
C,103,Sonic Antipersonnel Cannon,Traps/Security Systems/Emplacements; Artificial; Sonic; Energy,,4,,+6,Ref,4d8x2 (energy-sonic),,,,,
UR,116,Space Minefield,Artificial; Energy,Space,15,Vehicle begins its turn w/in space minefield,+17,Ref,3d10x2 (; 1/2 dmg),"Each rnd at start of vehicle's turn, as long as vehicle is w/in area occupied by minefield","1 sq of space can contain up to 1d6+3 space mines, but only 1 atk occurs per ship per sq.","Pilot (DC32): Char dodges mines as they pass through the field, granting +5 circumstance bonus to Ref Def against hazard for the rnd.",,
