BOOK,PAGE,FORCE POWER,Desc.,"Action to activate","Action to maintain",Target,Sq.,LOS,EFFECT,   Dark/Light,   Lightsaber form   ,  Mind-affect.,  Telekinetic,  Unleashed
J,25,Fold Space,"You can use the Force to bend space, transporting an object almost instantaneously from one place to another. Time: Full-round action. Target: One held or unattended object* within 6 squares and line of sight or one vehicle you occupy.

Make a Use the Force check. The result of the check determines the maximum size of the object you can transport and the distance you can transport it. 

DC 20: You can move a Medium or smaller object up to 6 squares. 

DC 25: You can move a Large or smaller object up to 12 squares. 

DC 30: You can move a Huge or smaller object 18 squares. 

DC 35: You can move a Gargantuan object up to 24 squares. 

DC 40: You can move a Colossal or smaller object up to 30 squares. 

Special: If the object you are transporting contains other objects or creatures (such as a starship), everything contained within the object is transported as well. You can spend a Force Point to increase the maximum size of the object you can move by two categories, up to Colossal (Cruiser) in size, or double the distance the object is transported.

[[Personal note: Since you’re “bending space,” I would assume that you can transport objects through walls. As for what scale to use when using Fold Space to move your vehicle, Core Rulebook page 165 has some comments on “Scale” that may apply. It says: ”These rules use two scales: character scale and starship scale. If the encounter involves both vehicles and characters on foot, use character scale. If the scene involves vehicles only, use starship scale.”]]
",full,,1,6,Y,"DC20: move Medium up to 6 squares
DC25: move Large up to 12 squares
DC30: move Huge up to 18 squares
DC35: move Gargantuan up to 24 squares
DC40: move Colossal up to 30 squares
spend a Force Point to increase size by up to two size categories (to Colossal [cruiser]) or distance x2",,,,,
F,86,Force Blast,"You use the Force to create a ball of compressed air and debris that you can hurl at enemy targets. Time: Standard action. Target: One target within 12 squares and within line of sight.

Make a Use the Force check: Compare the result of your Use the Force check to the Reflex Defense of the target; if you exceed the target's Reflex Defense, you deal damage with the Force blast. The result of the Use the Force check determines the effect, if any.

DC 15: The Force blast deal 2d6 points of damage to the target.

DC 20: As DC 15, except you deal 3d6 points of damage.

DC 25: As DC 15, except you deal 4d6 points of damage.

DC 30: As DC 15, except you deal 5d6 points of damage.

Special: You can spend a Force point to add one-half your heroic level as a damage bonus on a Force blast just as you would with a normal weapon.

Unleashed: When you use the Force blast power, you can spend a Destiny Point to multiply the damage by 2.
",stan,,1,12,Y,"DC15: Use the Force v. Ref Def 2d6 dam
DC20: Use the Force v. Ref Def 3d6 dam
DC25: Use the Force v. Ref Def 4d6 dam
DC30: Use the Force v. Ref Def 5d6 dam
spend a Force Point to add half Heroic Level as dam bonus
Unleashed: multiply damage by 2",,,,,x
CR,97,Force Disarm,"You disarm an opponent by using the Force to pull the weapon from his grasp. Time: Standard action. Target: One target within 12 squares and within line of sight.

Make a Use the Force check. Use this check in place of your attack roll when attempting to disarm the target (see Disarm, page 152). If your disarm attempt succeeds, you may choose to let the item drop to the ground in the target’s fighting space or have the item fly into your hand (in which case you must have a free hand to catch it).

Special: Feats that improve disarm attacks do not apply to Force disarm, except for Improved Disarm, which lets you gain the +5 bonus from Improved Disarm on your Use the Force check as though you were making an attack roll.

You can spend a Force Point to damage or destroy the target weapon instead. If your disarm attempt succeeds, the weapon takes damage equal to your Use the Force check result. You must declare that you are using this option before making your disarm attempt.
",stan,,1,12,Y,"replaces Atk to disarm, drop item or fly to your hand
spend Force Point to destroy object, dam = check",,,,x,
CR,97,Force Grip,"You use the Force to choke or crush your enemy. Time: Standard action. Target: One target within 12 squares and within line of sight.

Make a Use the Force check. The result of the check determines the effect, if any:

DC 15: If your Use the Force check equals or exceeds the target’s Fortitude Defense, the target takes 2d6 points of damage and can only take a single swift action on his next turn. Otherwise, the target takes half damage and may act normally, and you may not maintain the power. Targets larger than Medium add a size modifier to Fortitude Defense against this power: Colossal +50, Gargantuan +20, Huge +10, Large +5.

DC 20: As DC 15, except the target takes 4d6 points of damage.

DC 25: As DC 15, except target takes 6d6 points of damage.

Special: You may maintain your concentration on the targeted creature to continue damaging it from round to round. Maintaining the Force grip power is a standard action, and you must make a new Use the Force check each round. If you suffer damage while maintaining a Force grip, you must succeed on a Use the Force check (DC = 15 + damage taken) to continue concentrating.

You can spend a Force Point to deal an additional 2d6 points of damage with your Force grip.

Unleashed: When you successfully use the Force grip power on a target, you can spend a Destiny Point to maintain the power with no concentration (requiring no action) for a number of rounds equal to half your Charisma modifier (minimum 1 round). Taking damage still requires you to make Use the Force checks to maintain the power.
",stan,stan*,1,12,Y,"DC15: 2d6 dam, if check over target's Fort Def, target can only take 1 swif next turn or 1/2 dam & may act
DC20: 4d6 dam, if check over target's Fort Def, target can only take 1 swif next turn or 1/2 dam & may act
DC25: 6d6 dam, if check over target's Fort Def, target can only take 1 swif next turn or 1/2 dam & may act
spend a Force Point to deal +2d6 damage
Unleashed: maintain with no concentration for a number of rounds = Cha mod",,,,x,x
J,25,"Force Light 
[light side]","You can draw the Force into yourself, turning you into a beacon of light that purges the taint of the dark side. Time: Standard Action. Targets: See text. Make a Use the Force Check: The result of the check determines the effect, if any.

DC 20: Until the end of your next turn, any creature with a Dark Side Score of 1+ that begins its turn within 6 squares of you automatically takes 1d6 points of Force damage and takes a -1 penalty on attack rolls. This is an area effect. 

DC 25: As DC 20, except the damage is 2d6 points. 

DC 30: As DC 20, except the damage is 3d6 points. 

DC 35: As DC 20, except the damage is 4d6 points. 

Special: You can spend a Force Point to increase the damage dealt by +1d6. You can maintain Force light from round to round, extending the normal duration. Maintaining the Force light power is a standard action, and you must make a new Use the Force check each round. If you take damage while maintaining Force light, you must succeed on a Use the Force check (DC = 15 + damage taken) to continue maintaining the power.
",stan,stan*,,,,"DC20: until start of your next turn creature with Dark Side of 1+ takes 1d6 dam & -1 atk
DC25: until start of your next turn creature with Dark Side of 1+ takes 2d6 dam & -1 atk
DC30: until start of your next turn creature with Dark Side of 1+ takes 3d6 dam & -1 atk
DC35: until start of your next turn creature with Dark Side of 1+ takes 4d6 dam & -1 atk
spend a Force Point to deal +1d6 dam",L,,,,
CR,97,"Force Lightning 
[dark side]","You blast an enemy with deadly arcs of Force energy. Time: Standard action. Target: One target in line of sight and within 6 squares of you.

Make a Use the Force Check. Make one roll and compare the result to the target’s Reflex Defense. If the skill check equals or exceeds the target’s Reflex Defense, the target takes 8d6 points of Force damage and moves –1 step along the condition track (see Conditions, page 148). Otherwise, the target takes half damage and does not move along the condition track.

Special: You can spend a Force Point to move a target an additional –1 step along the condition track when you successfully hit it with Force lightning.

Unleashed: When you use the Force lightning power, you can spend a Destiny Point to target all creatures in a 6-square cone that originates from your square.
",stan,,1,6,Y,"Use the Force v. Ref Def, target takes 8d6 dam & -1 CT or half damage with save
spend a Force Point to move target an additional step down CT
Unleashed: target all in 6sq cone",D,,,,x
K,50,"Force Scream 
[dark side]","You create an intense sonic scream, amplified by the Force. Time: Standard action. Target: All creatures within 12 squares and can hear you.

Make a Use the Force check. Compare the result to the target's Fortitude Defense. If the check result equals or exceeds the target's Fortitude Defense, the target sustains damage as determined by the results of your Use the Force check.

DC 15: The target takes 1d6 points of Force damage this round and the target's damage threshold is reduced by -5 until the end of your next turn.

DC 20: As DC 15, except the target takes 2d6 points of Force Damage.

DC 25: As DC 15, except the target takes 3d6 points of Force Damage.

DC 30: As DC 15, except the target takes 4d6 points of Force Damage.

The target adds a size modifier to its Fortitude Defense: Colossal, +50; Gargantuan, +20; Huge, +10; Large, +5; Medium and smaller, +0.

Special: You can spend a Force Point to reduce the target's damage threshold by -10 instead of -5.
",stan,,all,12,,"DC15: Use the Force v. Fort Def, 1d6 force dam & their thresh -5 until end of your next turn
DC20: Use the Force v. Fort Def, 2d6 force dam & their thresh -5 until end of your next turn
DC25: Use the Force v. Fort Def, 3d6 force dam & their thresh -5 until end of your next turn
DC30: Use the Force v. Fort Def, 4d6 force dam & their thresh -5 until end of your next turn
spend a Force Point to reduce thresh -10",D,,,,
L,54,"Force Shield 
[telekinetic]","You use the Force to create a bubble of telekinetic energy around yourself, protecting you from harm. Time: Reaction to an incoming attack. Target: You.

Make a use the Force check: The result of the check determines the effect, if any.

DC 15: You gain a shield rating (SR) of 5 until the beginning of your next turn. Unlike other shields, this shield is made of pure telekinetic energy and cannot be recharged by any means.

DC 20: As DC 15, except you gain SR 10.

DC 25: As DC 15, except you gain SR 15.

DC 30: As DC 15, except you gain SR 20.

Special: You can spend a Force Point when you activate this power to increase the power's SR by 5. You can maintain your concentration on a Force shield to continue to gain the benefit of the power's SR from round to round, extending the normal duration. Maintaining the Force shield power is a standard action. If the power's SR is ever reduced to 0, the power's effect ends.
",reac,stan,you,,,"DC15: SR5 until your next turn, cannot be recharged
DC20: SR10 until your next turn, cannot be recharged
DC25: SR15 until your next turn, cannot be recharged
DC30: SR20 until your next turn, cannot be recharged
spend a Force Point for +5 SR, maintain as standard action",,,,x,
F,86,"Force Shield 
[telekinetic]","You use the Force to create a bubble of telekinetic energy around yourself, protecting you from harm. Time: Reaction to an incoming attack. Target: You.

Make a use the Force check: The result of the check determines the effect, if any.

DC 15: You gain a shield rating (SR) of 5 until the beginning of your next turn. Unlike other shields, this shield is made of pure telekinetic energy and cannot be recharged by any means.

DC 20: As DC 15, except you gain SR 10.

DC 25: As DC 15, except you gain SR 15.

DC 30: As DC 15, except you gain SR 20.

Special: You can spend a Force Point when you activate this power to increase the power's SR by 5. You can maintain your concentration on a Force shield to continue to gain the benefit of the power's SR from round to round, extending the normal duration. Maintaining the Force shield power is a standard action. If the power's SR is ever reduced to 0, the power's effect ends.
",reac,stan,you,,,"DC15: SR5 until your next turn, cannot be recharged
DC20: SR10 until your next turn, cannot be recharged
DC25: SR15 until your next turn, cannot be recharged
DC30: SR20 until your next turn, cannot be recharged
spend a Force Point for +5 SR, maintain as standard action",,,,x,
CR,97,Force Slam,"You pound one or more creatures with the Force. Time: Standard action. Targets: All targets within a 6-square cone and within line of sight.

Make a Use the Force Check. Make one roll and compare the result to each target’s fortitude defense. If the result equals or exceeds a target’s fortitude defense, it takes 4d6 points of Force damage and is knocked prone. If the result is less than the target’s fortitude defense, it takes half damage and is not knocked prone. This is an area effect. Targets larger than Medium add a size modifier to Fortitude Defense against this power: Colossal +50, Gargantuan +20, Huge +10, Large +5.

Special: When you use this power, you can spend a Force Point to deal an additional 2d6 points of damage to targets in the area.
",stan,,all,6,Y,"Use the Force v. Fort Def, 4d6 dam & prone or half damage with save
spend a Force Point to deal +2d6 damage",,,,x,
F,86,"Force Storm 
[dark side, telekinetic]","You use the Force to create a swirling whirlwind of dark side energy around yourself. Time: Standard action. Target: You.

Make a Use the Force check: You create a vortex of debris and dark energy around yourself that deals 2d6 points of damage to all adjacent targets at the end of your turn. The result of your Use the Force check determines the duration of the effect, if any.

DC 20: 2 rounds.

DC 25: 4 rounds.

DC 30: 6 rounds.

DC 35: 8 rounds.

Special: You can spend a Force Point to deal an extra 2d6 points of damage with a Force storm.

Unleashed: When you use the Force storm power and you spend a Destiny Point, it deals 8d6 points of damage to adjacent targets for the duration of the power.
",stan,,you,,,"DC20: for 2 rounds, 2d6 dam adjacent targets
DC25: for 4 rounds, 2d6 dam adjacent targets
DC30: for 6 rounds, 2d6 dam adjacent targets
DC35: for 8 rounds, 2d6 dam adjacent targets
spend a Force Point for +2d6 dam
Unleashed: 8d6 dam to adjacent for duration of power",D,,,x,x
J,26,Force Storm [dark side],"You create a storm that draws upon the dark side of the Force, focusing its malicious intent on a certain area. Time: Standard action. Target: One designated area within 12 squares of you and in your line of sight. 

Make a Use the Force check. The result of the check determines the effect, if any. 

DC 20: You create a Force storm that covers a 3×3 square area. At least one square within that area must be within the given range of this power. All squares within the Force storm are filled with driving acid rain that provides concealment and deals 2d6 points of acid damage to any creature that enters the Force storm or begins its turn within the area. The storm also imposes a -5 penalty on Perception checks to listen, as the storm howls loudly. The Force storm lasts until the end of your next turn. This is an area effect. 

DC 25: As DC 20, except the Force storm covers a 4×4 square area. 

DC 30: As DC 20, except the Force storm covers a 5×5 square area. 

DC 35: As DC 20, except the Force storm covers a 6×6 square area. 

Special: You can spend a Force Point to increase the damage dealt by the acid rain by +2d6 points. You can maintain Force storm from round to round, extending the normal duration. Maintaining the Force storm power is a standard action, and you must make a new Use the Force check each round. If you take damage while maintaining Force storm, you must succeed on a Use the Force check (DC = 15 + damage taken) to continue maintaining the power.
",stan,stan*,1,12,Y,"DC20: 3x3 sq area, 2d6 acid dam & concealment, -5 Perception to listen until end of your next turn
DC25: 4x4 sq area, 2d6 acid dam & concealment, -5 Perception to listen until end of your next turn
DC30: 5x5 sq area, 2d6 acid dam & concealment, -5 Perception to listen until end of your next turn
DC35: 6x6 sq area, 2d6 acid dam & concealment, -5 Perception to listen until end of your next turn
spend a Force Point for +2d6 dam",D,,,,
CR,98,Force Stun,"You call upon the Force to overload an enemy’s senses, potentially stunning it. Time: Standard action. Target: One creature within 6 squares or within your line of sight.

Make a Use the Force check. Compare the result to the target’s fortitude defense. If the check result equals or exceeds the target’s fortitude defense, the target moves –1 step along the condition track (see Conditions, page 148). For every 5 points by which you exceed the target’s fortitude defense, the target moves an additional –1 step along the condition track. Targets larger than Medium add a size modifier to Fortitude Defense against this power: Colossal +50, Gargantuan +20, Huge +10, Large +5.

Special: When you use this power, you can spend a Force Point to move the target an additional –1 step along the condition track.

",stan,,1,6,Y,"Use the Force v. Fort Def, target moves -1 CT, for every 5 points over add an additional step
spend a Force Point to move target an additional step down CT",,,,,
CR,98,Force Thrust,"You use the Force to push a target away from you. Time: Standard action. Target: One object* or character within 12 squares and within line of sight.

Make a Use the Force check. The target makes a Strength check. If you beat the target’s Strength check, you push it back 1 square plus an additional square for every 5 points by which you exceed the target’s check result. If you push the target into a larger object, the target takes 1d6 points of damage.

The target adds its base attack bonus and its size modifier to its to its Strength check: Colossal, +20; Gargantuan, +15; Huge, +10; Large, +5; Medium, +0; Small, –5; Tiny, –10; Diminutive, –15; Fine, –20. In addition, it gets a +5 stability bonus if it has more than two legs or is otherwise exceptionally stable.

Special: You can spend a Force Point to apply a –5 penalty to the target’s Strength check to resist your Force thrust. Additionally, if you successfully push the target into a larger object, you deal an additional 2d6 points of damage from the extreme force of the thrust.

Official Clarification: If you use Force thrust against a door, compare your Use the Force check result to the door's break DC. If successful, you have forced the door open. If not, the door remains intact and functional. For those who are interested, an object's break DC is calculated as if it were a character resisting a bantha rush or Force thrust. Take its Strength bonus, add 10 (the average result on a roll of 1d20, rounded down), and -- in most cases -- add 5 more for being exceptionally stable. (Some particularly fragile objects may deviate on this last detail, but that is fairly rare.) –Jedi Counseling 111

Unleashed: When you use the Force thrust power and you spend a Destiny Point, opponents affected by the power do not add their size modifier to their Strength checks to resist the power's effect. A creature that would normally have a penalty on its Strength check due to size still retains that penalty.

Additionally, the distance you move the target is multiplied by 2, II you push the target into a larger object, the target takes 1d6 points of damage per square moved by this power.
",stan,,1,12,Y,"Use the Force v. Str check + size mod, push back 1 square + 1 per 5 over check
spend a Force Point to apply -5 to opponent's check, pushed into larger object = 2d6 dam
Unleashed: opponents do not add size modifier, distance moved multiplied by2, damage 1d6 per square moved",,,,x,x
J,26,Force Track,"You peer into the Force for guidance, picking up the trail of your quarry. Time: Swift action. Target: You. 

Make a Use the Force check. The result of the check determines the effect, if any. 

DC 15: You determine the path taken by a specific creature you designate, provided you are within line of sight of the creature's trail. You can track the creature (as per the Track application of the Survival skill) without needing to make Survival checks for up to 1 hour, provided the creature you are tracking passed through the area within the last minute. 

DC 20: As DC 15, except the creature you are tracking need only have passed through in the last 10 minutes. 

DC 25: As DC 15, except the creature you are tracking need only have passed through in the last hour. 

DC 30: As DC 15, except the creature you are tracking need only have passed through in the last day. 

Special: You can spend a Force Point to track up to two targets simultaneously.
",swif,,you,,,"DC15: Track without Survival if within LOS of trail & target passed through within last minute
DC20: Track without Survival if within LOS of trail & target passed through within last 10 minutes
DC25: Track without Survival if within LOS of trail & target passed through within last hour
DC30: Track without Survival if within LOS of trail & target passed through within last day
spend a Force Point to track two targets",,,,,
K,51,"Force Whirlwind 
[telekinetic]","You call upon the Force to surround an enemy in a swirling vortex of Force energy. The whirlwind lifts them about a half meter off of the ground, spinning them in the air and buffeting them with Force energy. Time: Standard action.

Target: One creature within 12 squares and within line of sight.

Make a Use the Force check. The result of the check determines the effect, if any.

Compare the result to the target's Fortitude Defense. If the check result equals or exceeds the target's Fortitude Defense, the target is captured within the whirlwind and immobilized until the beginning of your next turn. Any attack rolls or skill checks the target attempts while within the whirlwind are at a -5 penalty. The target falls prone when the effect ends. The target also sustains damage at the end of your turn as determined by the results of your Use the Force check.

DC 15: The target takes 1d6 points of Force damage.

DC 20: The target takes 2d6 points of Force damage.

DC 25: The target takes 3d6 points of Force damage.

DC 30: The target takes 4d6 points of Force damage.

The target adds a size modifier to its Fortitude Defense: Colossal, +50; Gargantuan, +20; Huge, +10; Large, +5; Medium and smaller, +0.

Special: You can spend a Force Point to increase the penalty to the target's attack rolls and skill checks from -5 to -10.

You can maintain Force whirlwind from round to round, extending the normal duration. Maintaining the Force whirlwind power is a move action, and you must make a new Use the Force check each round. If you take damage while maintaining a Force whirlwind, you must succeed on a Use the Force check (DC = 15 + damage taken) to continue maintaining the power. If a target within a Force whirlwind is attacked or otherwise damaged or moved down the condition track by you or one of your allies, the effects of Force whirlwind end immediately.

[[Personal note:: When a creature is immobilized it cannot move by its own volition. An immobilized creature can take move actions, but it cannot move from its current space, (It also can perform swift or standard actions) but it cannot move from its current space, and it cannot make skill checks associated with movement (such as Acrobatics, Climb, Jump, or Swim). An immobilized creature can still be moved by other effects, such as being the target of a Bantha Rush or the Force Thrust power.]]
",stan,move*,1,12,Y,"DC15: Use the Force v. Fort Def, skills & Atk -5, prone at end, 1d6 damage
DC20: Use the Force v. Fort Def, skills & Atk -5, prone at end, 2d6 damage
DC25: Use the Force v. Fort Def, skills & Atk -5, prone at end, 3d6 damage
DC30: Use the Force v. Fort Def, skills & Atk -5, prone at end, 4d6 damage
spend a Force Point to make skills & Atk -10",,,,x,
J,26,"Hatred 
[dark side]","You give yourself over to the dark side, letting your hate radiate out from your body in palpable waves. Time: Standard action. Targets: See text. 

Make a Use the Force check. The result of the check determines the effect, if any. 

DC 15: Until the end of your next turn, any creature that starts its turn within 6 squares of you takes 1d6 points of Force damage and takes a -1 penalty to all defenses. 

DC 20: As DC 15, except the damage increases to 2d6 points. 

DC 25: As DC 15, except the damage increases to 3d6 points. 

DC 30: As DC 15, except the damage increases to 4d6 points. 

Special: You can spend a Force Point to increase the damage dealt by +1d6. You can maintain hatred from round to round, extending the normal duration. Maintaining the hatred power is a swift action, and you must make a new Use the Force check each round. If you take damage while maintaining hatred, you must succeed on a Use the Force check (DC = 15 + damage taken) to continue maintaining the power.
",stan,swif*,,,,"DC15: any creature that starts turn w/in 6 sq takes 1d6 dam & -1 atk
DC20: any creature that starts turn w/in 6 sq takes 2d6 dam & -1 atk
DC25: any creature that starts turn w/in 6 sq takes 3d6 dam & -1 atk
DC30: any creature that starts turn w/in 6 sq takes 4d6 dam & -1 atk
spend a Force Point for +1d6 dam",D,,,,
J,31,"Hawk-Bat Swoop 
[lightsaber form]","You leap into action against your foe, striking with your lightsaber before other enemies have a chance to react. Time: Standard action. Targets: You plus one enemy within your reach. 

Make a Use the Force check. The result of the check determines the result, if any.

DC 15: You move up to 2 squares; this movement does not provoke attacks of opportunity. If you end your movement adjacent to a target, you can make a single melee attack with a lightsaber against that target. 

DC 20: As DC 15, except you can move up to 4 squares. 

DC 25: As DC 15, except you can move up to 6 squares. 

DC 30: As DC 15, except you can move up to 8 squares. 

Lightsaber Form (Ataru): If you have the Ataru talent, you can also move up to 2 squares after you resolve your lightsaber attack. This movement does not provoke attacks of opportunity. 

Special: You can spend a Force Point to deal +2 dice of damage with your lightsaber attack. 
",stan,,you,,,"DC15: you move 2 sq without provoking attacks of opportunity & make single melee atk
DC20: you move 4 sq without provoking attacks of opportunity & make single melee atk
DC25: you move 6 sq without provoking attacks of opportunity & make single melee atk
DC30: you move 8 sq without provoking attacks of opportunity & make single melee atk
Lightsaber form (Ataru): can move 2 sq after your attack also
spend a Force Point for +2 dice dam",,x,,,
J,32,"High Ground Defense 
[lightsaber form]","You know how to take advantage of the terrain and gain a defensive advantage from it. Time: Swift action. Target: You. 

Make a Use the Force check. The result of the check determines the result, if any. 

DC 15: Until the start of your next turn, if you are standing on a low object or in difficult terrain*, any creature that moves adjacent to you provokes an attack of opportunity from you. 

DC 20: As DC 15, except you gain a +1 Force bonus on attacks of opportunity until the start of your next turn. 

DC 25: As DC 15, except you gain a +2 Force bonus on attacks of opportunity until the start of your next turn. 

DC 30: As DC 15, except you gain a +5 Force bonus on attacks of opportunity until the start of your next turn. 

Lightsaber Form (Sokan): If you have the Sokan talent, you deal +1 die of damage with attacks of opportunity until the start of your next turn. 

Special: You can spend a Force Point to move 1 square each time you make an attack of opportunity until the start of your next turn. This movement does not provoke attacks of opportunity. 

*difficult terrain is described as broken ground, buckled deck plating, and similar obstacles (CR page 159)

*low objects are not described, but perhaps they are things like desks, chairs, stools, tables, mounds of dirt, piles of rubble or scrap.
",swif,,you,,,"DC15: if you are on a low object or difficult terrain any creature that moves adjacent provokes Atk of Opp
DC20: on a low object or difficult terrain any creature that moves adjacent provokes Atk of Opp +1 atk
DC25: on a low object or difficult terrain any creature that moves adjacent provokes Atk of Opp +2 atk
DC30: on a low object or difficult terrain any creature that moves adjacent provokes Atk of Opp +5 atk
Lightsaber form (Sokan): deal +1 die dam on atk of opp
spend a Force Point to move 1 sq each time you make an atk of opp, which does not provoke one",,x,,,
J,27,Inertia,"You can use the Force to shift your body's inertia, allowing you to perform impossible stunts. Time: Move action. Target: You. 

Make a Use the Force check. The result of the check determines the effect, if any. 

DC 15: You move up to half your speed along a wall as though it were the ground, ignoring the normal effects of gravity for the duration of this movement. If you are not on the ground when you end this movement, you fall to the ground. 

DC 20: As DC 15, except you can move at your normal speed along the wall. 

DC 25: As DC 15, except you can move at your speed +2 squares along the wall. 

DC 30: As DC 15, except you can move at your speed +4 squares along the wall. 

Special: You can spend a Force Point to increase the speed you move along the wall by +2 squares.

",move,swif*,you,,,"DC15: move half speed along a wall, fall to ground if do not end move on the ground
DC20: move normal speed along a wall, fall to ground if do not end move on the ground
DC25: move your speed +2 sq along a wall, fall to ground if do not end move on the ground
DC30: move your speed +4 sq along a wall, fall to ground if do not end move on the ground
spend a Force Point for +2 sq",,,,,
J,27,"Inspire 
[light side]","You fill your allies with hope and courage, allowing them to face even the most daunting odds. Time: Swift action. Targets: All allies within 6 squares of you and in your line of sight. 

Make a Use the Force check. The result of the check determines the effect, if any. 

DC 20: The targets gain a +2 Force bonus to Will Defense against mind-affecting and fear effects until the end of your next turn. 

DC 25: As DC 20, except the bonus increases to +5. 

DC 30: As DC 20, except the bonus increases to +10. 

DC 35: As DC 20, except the targets are immune to mind-affecting and fear effects. 

Special: You can spend a Force Point to grant each target 2d6 bonus hit points when the power is first activated. Damage is subtracted from the bonus hit points first, and any bonus hit points remaining at the end of the encounter go away. You can maintain inspire from round to round, extending the normal duration. Maintaining the inspire power is a swift action, and you must make a new Use the Force check each round. If you take damage while maintaining inspire, you must succeed on a Use the Force check (DC = 15 + damage taken) to continue maintaining the power.

",swif,,allies,6,Y,"DC20: all allies +2 Will Def against mind-affecting & fear effects until the end of your next turn
DC25: all allies +5 Will Def against mind-affecting & fear effects until the end of your next turn
DC30: all allies +10 Will Def against mind-affecting & fear effects until the end of your next turn
DC35: all allies immune against mind-affecting & fear effects until the end of your next turn
spend a Force Point for +2d6 hp when power is first activated",L,,,,
J,27,"Intercept 
[telekinetic]","You use the Force to telekinetically hurl a small object in the path of an incoming projectile, preventing it from striking you. Time: Reaction. Target: One incoming ranged attack targeting you. 

Make a Use the Force check. If your Use the Force check equals or exceeds the attack roll result of the incoming ranged attack (including all modifiers), you negate the attack against you. 

Special: You can use this power to negate an object being used as a projectile weapon with the Move Light Object application of the Use the Force skill, or the move object Force power. In both cases, the DC for your Use the Force check is equal to the Use the Force check made by the enemy targeting you with the projectile. If you are successful, the object being used as a projectile weapon does not hit you and deals no damage to you. Additionally, if the object was moved with the move object power, the activator of that power can no longer maintain the move object power on that object. You can spend a Force Point to use this power to intercept some of the barrage of shots from a ranged weapon set on Autofire. If you succeed on the Use the Force check, you take half damage if the Autofire attack hits and no damage if the attack misses.

",reac,,1,,,"Use the Force v. ranged atk or Use the Force if move object
spend a Force Point to intercept autofire, take half or no damage",,,,x,
K,51,Ionize,"You call upon the Force to overload electronic systems and droids, damaging or even destroying the unit. Time: Standard action. Target: One target within 6 squares and within line of sight.

Make a Use the Force check. Compare the result to the target's Reflex Defense. If the check result equals or exceeds the target's Reflex Defense, the target takes damage as determined by the results of your Use the Force check:

DC 20: The target takes 4d6 points of ion damage.

DC 25: The target takes 5d6 points of ion damage.

DC 30: The target takes 6d6 points of ion damage.

Special: You can spend a Force Point to increase the ion damage dealt by this Force Power by 2d6.
",stan,,1,6,Y,"DC20: Use the Force v. Ref Def, 4d6 ion damage
DC25: Use the Force v. Ref Def, 5d6 ion damage
DC30: Use the Force v. Ref Def, 6d6 ion damage
spend a Force Point +2d6 damage",,,,,
F,86,Kinetic Combat,"You use the Force to manipulate your chosen weapon, allowing it to operate independent of your grasp. Time: Standard action. Target: You.

Make a Use the Force check. If you succeed on a DC 20 check, you can telekinetically move a one-handed melee weapon you hold up to 12 squares and make an attack with it. The weapon is considered held by you, even if it is hovering nearby and not in your hands. The attack uses your base attack bonus modified by your Charisma modifier as the attack bonus for the attack. A successful attack deals normal melee weapon damage, adding one-half your heroic level to the damage as normal and substituting your Charisma modifier for your Strength modifier for damage. Talents and feats that would normally enhance a weapon's use do not do so while you are using kinetic combat to wield the weapon (for example, you cannot use Mighty Swing or Power Attack while wielding the weapon). The weapon threatens all squares adjacent to it, and it can be used to make an attack of opportunity if a target provokes one from the weapon. Any attacks of opportunity made by the weapon count as thought they were made by you.

Special: you can maintain kinetic combat from round to round, extending the normal duration. Maintaining the kinetic combat power is a swift action, and as a standard action each round you maintain it you can direct the weapon to move up to 6 squares and make a single attack against a target adjacent to the weapon, though the weapon must remain within 12 squares of you or the power's effect ends. If you suffer damage while maintaining kinetic combat, you must succeed on a Use the Force check (DC = 15 + damage taken) to continue maintaining the power.

You can spend a Force Point to gain a +1 bonus on attack rolls with a weapon wielded using kinetic combat.

[[Personal note: Attacking the floating lightsaber with “Attack an Object” would be Ref 10 + size mod (2 for medium lightsaber considered tiny) + Ref of holder (not counting armor or natural armor bonuses). You can also use Disarm perhaps. Most feats and talents that affect attack or damage will not work, except perhaps Combat Reflexes. I don't think it's overpowered to allow Force powers to enhance Kinetic Combat.]]
",stan,"swif/
stan",you,12,,"DC20 to attack with one-handed melee weapon, Atk use Cha mod not Str, threatens adjacent
spend a Force Point for +1 Atk",,,,x,
