BOOK,PAGE,FEAT,Desc.,PREREQUISITES,BENEFIT,Jedi,Noble,Scoundrel,Scout,Soldier,TAG
W,17,Dreadful Countenance,You can reroll any Persuasion or Use the Force check made to activate a fear effect. The result of the reroll must be accepted even if it is worse.,"Cha 13, Sith","Persuasion or Use the Force for fear effect, may reroll, mtr",,,,,,x
CR,84,Dreadful Rage,"While raging, your rage bonus on melee attack and melee damage rolls increases to +5. Normal: A character with the rage species trait gains a +2 rage bonus on melee attack rolls and damage rolls while raging.","BAB +1, Rage species trait",rage bonus to Atk and dam increases to +5,,,,,,"[melee(armed, unarmed)], [rage], [combat][offensive], "
SGD,22,Droid Focus,"You gain a +1 bonus to Deception, Mechanics, Perception, Persuasion, and Use Computer checks when used on or against a droid of the selected degree, and a +1 bonus to all defenses against attack rolls and skill checks made by droids of the selected degree. Special: You can gain this feat multiple times. Its effects do not stack. Each time you take the feat, it applies to a different degree of droid.",Trained in Mechanics & Use Computer,"+1 to Deception, Mechanics, Perception, Persuasion, Use Computer on or against droid & +1 to all Def v. attacks & skill checks made by droids",,,,,,"[skill(mechanics)], [skill(use computer)], [skill(deception)], [skill(persuasion)], [skill(perception)], [combat][defensive]"
C,29,Droid Hunter,"You gain a +2 bonus on damage rolls against droid enemies, or +4 if you are using a weapon that deals ion damage.",Proficient with weapon used*,"+2 dam v. droids, +4 dam v, droids with ion",,,x,x,x,"[ranged(fired, thrown)][target], [melee(armed, unarmed)], [combat][offensive]"
SGD,22,Droid Shield Mastery,"You automatically succeed on Endurance checks to restore your shield rating by 5 points (up to your normal shield rating). Additionally, you replenish your shields in two swift actions. Normal: Three swift actions and a DC 20 Endurance check are normally required to restore lost shield power (see page 197 of the Saga Edition core rulebook).","Droid, equipped with shield generator",automatically restore SR by 5 & with only 2 swif actions,,,,,,"[species(droid)], [skill(endurance)], [combat][defensive]"
C,28,Droidcraft,"You can perform repairs on a droid in 10 minutes. Normal: Repairing a droid typically takes I hour (see the Mechanics skill, page 70 of the Saga Edition core rulebook).",Trained in Mechanics,repair droids in 10 minutes not 1 hour,,,x,x,,[skill(mechanics]
CR,84,Dual Weapon Mastery I,"When you attack with two weapons or with both ends of a double weapon as a part of a full attack action, you take a -5 penalty (instead of a-10 penalty) on all attack rolls until the start of your next turn. You only gain this reduced penalty if you are wielding a weapon with which you are proficient. Normal: If you use a full attack action to make more than one attack on your turn (see Full Attack, page 154), you take a -10 penalty on all attack rolls for the round. SSotG: Vehicle weapons cannot be used in one hand, so none of the Dual Weapon Mastery feats apply in vehicle combat.","Dex 13, BAB +1",-5 penalty when attacking with two weapons or a double weapon,x,,,,x,"[ranged(grenade, fired, thrown)][question gtdw], [melee(armed, unarmed)], [combat][offensive], [dexterity], [no][SotG]"
K,31,Dual Weapon Mastery I + Quick Draw,"You can draw or holster two weapons with a single swift action; you must have both hands free to draw both weapons, and each weapon must be able to be held in one hand. ","Combo, requires Quick Draw",draw or holster 2 weapons as single swif action,,,,,,"[ranged(grenade, fired, thrown)][question gtdw], [melee(armed, unarmed)], [combat][offensive], [combo], [dexterity]"
CR,84,Dual Weapon Mastery II,"When you attack with two weapons or both ends of a double weapon as a part of a full attack action, you take a -2 penalty (instead of a -10 penalty) on all attack rolls until the start of your next turn. You only gain this reduced penalty if you are wielding a weapon with which you are proficient. Normal: If you use a full attack action to make more than one attack on your turn (see Full Attack, page 154), you take a -10 penalty on all attack rolls for the round. SSotG: Vehicle weapons cannot be used in one hand, so none of the Dual Weapon Mastery feats apply in vehicle combat. ","Dex 15, BAB +6, Dual Weapon Mastery I",-2 penalty when attacking with two weapons or a double weapon,x,,,,x,"[ranged(grenade, fired, thrown)][question gtdw], [melee(armed, unarmed)], [combat][offensive], [dexterity]"
CR,84,Dual Weapon Mastery III,"When you wield two weapons or attack with both ends of a double weapon as a part of a full attack action, you take no penalty on your attack rolls. You only gain this benefit if you are wielding a weapon with which you are proficient. Normal: If you use a full attack action to make more than one attack on your turn (see Full Attack, page 154), you take a -10 penalty on all attack rolls for the round. SSotG: Vehicle weapons cannot be used in one hand, so none of the Dual Weapon Mastery feats apply in vehicle combat. ","Dex 17, BAB +11, Dual Mastery I, II",no penalty when attacking with two weapons or a double weapon,x,,,,x,"[ranged(grenade, fired, thrown)][question gtdw], [melee(armed, unarmed)], [combat][offensive], [dexterity]"
SV,21,Duck and Cover,"Whenever you are the target of an area attack that misses, once per turn you can move 2 squares as a reaction. This movement does not provoke attacks of opportunity.",Trained in Stealth,"if area attack misses 1/turn you can move 2 sq as a reac, no atk opp",,,x,x,,"[skill(stealth)], [combat][defensive]"
GW,26,Echani Training,"If you make only one unarmed attack during your turn, you can double the damage bonus to that attack provided by your Strength modifier (minimum +1). Once per encounter when you deal damage to a target with an unarmed attack, you can immediately make an unarmed attack against the target's Fortitude Defense as a free action. If successful, you knock the target to the ground (prone) in its current square, provided that the target is no more than one size larger than you. Special: Targets gain a bonus to Fortitude Defense against being knocked prone based on their size: Medium or smaller, +0; Large, +5; Huge, +10; Gargantuan, +20; and Colossal, +50. In addition, unusually stable creatures (such as those with four legs) gain a +5 bonus to their Fortitude Defense against being knocked prone. If you have the Echani Expertise talent (see the Martial Arts Forms talent tree on page 32), whenever you score a critical hit with an unarmed attack, the target is immediately knocked to the ground (prone) in its current square, provided that the target is no more than one size larger than you.","Dex 13, Martial Arts I","dam bonus from Str x2 if make only one unarmed Atk, 1/enc when deal dam, make unarmed Atk to knock prone, w/Expertise talent w/crit target is knocked prone if not more than 1 size larger",,,,,,"[melee(unarmed)], [martial arts], [combat][offensive], [dexterity]"
K,33,Echani Training,"You can double the damage bonus provided by your Strength bonus to unarmed attacks (minimum +1) provided you make only one unarmed attack this turn. [[You can still make AoO's if these are done when it's not your turn]] Once per encounter when you deal damage to a target with an unarmed attack you may make an immediate unarmed attack against the target's Fortitude Defense as a free action; if successful you knock your opponent to the ground (prone) in their current square, provided they are one size larger than you or smaller. Special: Targets gain a bonus to Fortitude Defense against being knocked prone based on their size: Large +5, Huge +10, Gargantuan +20, Colossal +50. Unusually stable creatures (such as those with four legs) gain a +5 bonus to their Fortitude Defense against being knocked prone as well.","Dex 13, Martial Arts I","dam bonus from Str x2 if make only one unarmed Atk, 1/enc when deal dam, make unarmed Atk to knock prone",,,,,,"[melee(unarmed)], [martial arts], [combat][offensive], [dexterity]"
UR,24,Elder's Knowledge,"Once per encounter, you can substitute a Knowledge (social sciences) or Knowledge (galactic lore) check for a Wisdom or Wisdom related check. [[ie, You replace the Wis-related check with the skill check. Perception, Survival, or Treat Injury?]]",Skill Focus (Knowledge [social sciences]) or (Knowledge [galactic lore]).,1/enc replace Wisdom or Wisdom-related check with Know (social science) or (galactic lore),x,x,,,,"[skill(social sciences)], [skill(galactic lore)], [wisdom]"
SGD,22,Erratic Target,"You can reduce your speed by up to 2 squares to increase your Dodge bonus by 1 for each square of speed you give up, until the start of your next turn. You must move at least 2 squares to gain this benefit.","Droid, equipped with hovering locomotion or flying locomotion, Dex 13, Dodge.","reduce spd by 1 or 2 to increase Dodge +1 or +2, must move 2 sq",,,,,,"[species(droid)], [mobility], [dexterity], [combat][defensive]"
CR,84,Exotic Weapon Proficiency,"Choose an exotic weapon, such as bowcaster or atlatl (see Exotic Weapons, page 119). You understand how to use that type of exotic weapon in combat. You make attack rolls with the weapon normally. Normal: A character who uses a weapon without being proficient with it takes a -5 penalty on attack rolls. Special: You can gain this feat multiple times. Each time you take the feat, it applies to a different weapon.",BAB +1,,,x,,,x,"[ranged(grenade, fired, thrown)][ok], [melee(armed)][ok], [combat][offensive], [atlatl], [bowcaster]"
C,29,Experienced Medic,You can perform surgery (see page 74 of the Saga Edition core rulebook) on a number of creatures equal to your Intelligence bonus (minimum 2) simultaneously. You make Treat Injury checks for each individual creature as normal.,Trained in Treat Injury,"perform surgery on number = to Int mod (2 min), check individually",,x,,,x,[skill(treat injury)]
GI,27,Expert Briber,"When using the Haggle application of the Persuasion skill (see page 71 of the Saga Edition core rulebook), you reduce the DC reduce the price of the item haggled over by 10.",Cha 13,reduce Persuasion's Haggle DC by 10,,x,x,,,"[charisma], [trade]"
C,29,Expert Droid Repair,You can repair a number of droids equal to your Intelligence bonus (minimum 2) simultaneously. You make Mechanics checks for each droid as normal.,Trained in Mechanics,repair droids = to Int mod (minimum 2) ,,,x,x,,[skill(mechanics]
CR,85,Extra Rage,"You can rage one additional time per day. Special: You can select this feat multiple times. Each time, you can rage an additional time per day.",Rage species trait,rage one extra time a day,,,,,,"[rage], [combat][offensive]"
CR,85,Extra Second Wind,"You can catch your second wind one additional time per day, but you can still only catch a second wind once per encounter (see Second Wind, page 146). Normal: A hero can catch his or her second wind once per day. Special: A nonheroic character that takes this feat for the first time can catch a second wind once per day. You can take this feat multiple times; each time you take this feat, you can catch a second wind one additional time per day.",Trained in Endurance,"one extra second wind a day, nonheroic can take",,,,,,"[second wind], [skill(endurance)], [combat][defensive]"
CR,85,Far Shot,"When you use a ranged weapon against targets at short, medium, or long range, the range category is considered one less. In other words, you take no penalty on ranged attack rolls against targets at short range, a -2 penalty on ranged attack rolls made against targets at medium range, and a -5 penalty on a ranged attack rolls made against targets at long range. Normal: When making a ranged attack roll, a character takes a -2 penalty against targets at short range, a -5 penalty against targets at medium range, and a -10 penalty against targets at long range. [Does not work with Redirect Shot.] SSotG: This feat works normally with vehicle weapons. However, if you are using a missile or a torpedo and you miss with your attack roll, the projectile does not gain the benefit of this feat for the second attack roll. ",Point Blank Shot,"reduces range penalties by one range category, ex. short = PB",,,,x,x,"[ranged(fired, thrown)][target], [combat][offensive],  [vehicle][starship][SotG]"
R,29,Fast Surge,"On your turn, you can catch a second wind as a free action instead of as a swift action.",,catch second wind as free not swif,x,x,x,x,x,"[second wind], [combat][defensive]"
R,33,Fast Swimmer,Your swim speed increases by 2 squares.,Mon Calamari,+2 swim spd,,,,,,[species(mon calamari)]
L,36,Fatal Hit,"When your attack drops a target to 0 hit points, you may choose to automatically kill that enemy even if the damage dealt does not exceed the target's damage threshold. In addition, you can perform the coup de grace action as a standard action. Normal: A creature that drops to 0 hit points becomes unconscious if the damage dealt does not exceed its damage threshold. Performing a coup de grace is a full-round action.","Str 13, Dex 13","if your attack drops target to 0 hp you can kill them even if not over thresh, perform coup-de-grace as stan",,,x,x,x,"[ranged(grenade, fired, thrown)][damage], [melee(armed, unarmed)], [combat][offensive], [dexterity], [strength]"
L,35,Feat of Strength,"Once per encounter as a full-round action, you can take 20 on a single Strength check or Strength-based skill check (Climb, Jump, Swim; you must be trained in the skill), even if you are distracted or threatened. Normal: You may not take 20 when distracted or threatened, or in a single round. Special: After using this feat for the first time in a given encounter, make a DC 15 Endurance check (as a free action). If the check succeeds, you can use this feat once more during the same encounter.",Str 15,"take 20 on trained Str skill check as full, DC15 Endurance to use again",x,,,x,x,"[strength], [skill(general)]"
GW,23,Fight Through Pain,You can use your Will Defense instead of your Fortitude Defense when determining your damage threshold.,,can use Will Def instead of Fort Def to determine thresh,x,x,x,,,"[Will Defense], [damage threshold], [combat][defensive]"
C,29,Flash and Clear,"When you damage a target with a burst or splash weapon, you gain concealment against that target until the beginning of your next turn.",,"if damage opponent with burst or splash, gain concealment",,,,x,x,"[ranged(grenade, fired, thrown)][burst][o][splash][o], [combat][defensive][offensive]"
R,33,Flawless Pilot,"Whenever you reroll a Pilot check, you always keep the better result, even if you have multiple reroll abilities.",Duros,always keep the better result on a Pilot reroll,,,,,,"[skill(pilot)], [species(duros)],  [vehicle][starship]"
GI,27,Flèche,"Once per encounter, when you charge, you can turn any natural attack roll of 17+ into a critical hit.",BAB +1,1/enc when you charge nat 17-20 is a critical,,x,,,x,"[melee(armed, unarmed)], [ranged(fired)][ranged attack], [mobility], [charge], [combat][offensive]"
SV,21,Fleet-Footed,"If you move both before and after you make an attack using the Running Attack feat, your speed is increased by 2 squares until the end of your turn.","Running Attack, DEX 13",if move before & after attack increase speed 2 sq,,,x,x,,[mobility]
C,29,Flood of Fire,"When you make an area attack with a weapon set on autofire, all targets in the area lose all dodge or deflection bonuses to Reflex Defense against the autofire attack. [[NOTE: Does not lose Dex bonus to Ref]]",Proficient with weapon used*,with autofire targets lose all dodge or deflection bonuses,,,,,x,"[ranged(fired)], [autofire], [combat][offensive]"
K,33,Flurry,"When wielding only light weapons or lightsabers, you can make a flurry of attacks. You take a -5 penalty to your Reflex Defense, but you gain a +2 bonus on your melee attack rolls. The bonus on attacks and penalty to Reflex Defense apply until the start of your next turn. Special: You can use this feat in the place of the Point Blank Shot feat to qualify for the elite trooper prestige class.",Dex 13,"+2 Atk melee with light weapons or lightsabers, -5 Ref Def",x,x,,,x,"[melee(armed, unarmed)][question ulswp], [combat][offensive], [dexterity], "
F,33,Focused Rage,"While raging, you can use skills that require patience and concentration, at a -5 penalty. Normal: While raging, you cannot use skills that require patience and concentration, such as Mechanics, Stealth, or Use the Force.","Rage, Controlled Rage",can use concentration skills with Rage at -5 penalty,,,,,,"[rage], [combat][offensive]"
J,23,Follow Through,"If you deal enough damage to your opponent with a melee attack to reduce it to 0 hit points, you can immediately move up to your speed. You can use this ability once per turn. Special: If you have the Cleave feat, you can move up to your speed before making the extra melee attack granted by the Cleave feat.",,"if reduce opp to 0 hp with melee atk can move your speed, with Cleave can move 1st",,,,,,"[melee(armed, unarmed)][ok], [combat][offensive], [mobility], "
CR,85,Force Boon,You gain three additional Force Points at each level.,Force Sensitivity,gain 3 extra Force Points per level,,,,,,[force]
GW,23,Force of Personality,You can use either your Wisdom modifier or your Charisma modifier to determine your Will Defense.,Cha 13,can use either Wis or Cha mod to determine Will Def,x,x,x,,,"[Will Defense], [wisdom], [charisma], [combat][defensive]"
K,33,Force Readiness,"You can spend Force Points as a free action, even if it is not your turn. All other restrictions to Force Point use still apply. Normal: Unless otherwise specified, you can spend Force Points only on your turn, preventing you from enhancing attacks and skill checks made as reactions.",,spend Force Points as free action out of turn,x,,,,,[force]
J,23,Force Regimen Mastery,"You learn a number of Force regimens (see JATM page 10) equal to 1+ your Wisdom modifier (minimum 1). Special: You can take this feat more than once. Each time you take this feat, you learn a number of additional Force regimens equal to 1 + your Wisdom modifier (minimum 1). If your Wisdom modifier permanently increases, you immediately gain a number of Force regimens equal to the number of Force Regimen Mastery feats you have taken.","Force Sensitivity, Trained in Use Force",Learn a number of Force Regimens = 1 + Wis mod (min one),,,,,,"[force], [skill(use the force)]"
CR,85,Force Sensitivity,"You can make Use the Force checks, and Use the Force is considered a class skill for you. In addition, whenever you gain a new talent, you have the option of selecting a Force talent instead. You must meet the prerequisites of the Force talent to select it (see Force Talents, CR page 100). Normal: You can't make Use the Force checks (page 77) or select Force talents unless you have the Force Sensitivity feat.",Non-droid,"can make Use the Force checks, can select Force talents",,,,,,[force]
CR,85,Force Training,"You add to your Force power suite a number of Force powers equal to 1 + your Wisdom modifier (minimum 1). You can add the same power more than once. Special: You can take this feat more than once. Each time you take this feat, you add to your Force suite a number of new Force powers equal to 1 + your Wisdom modifier. If your Wisdom modifier permanently increases, you immediately gain a number of Force powers equal to the number of Force Training feats you have taken.","Force Sensitivity, trained in Use Force",Learn a number of Force Powers = 1 + Wis mod (min one),,,,,,"[force], [skill(use the force)]"
K,31,Force Training + Improved Disarm,"When you use the Force disarm Force Power, you gain the +5 bonus from Improved Disarm on your Use the Force check as though you were making an attack roll. ","Combo, requires Improved Disarm",gain +5 from Improved Disarm on Use the Force check,,,,,,"[melee(armed, unarmed)][ok], [force], [disarm], [combat][offensive], [combo]"
GW,23,Forceful Blast,"When you damage a Large or smaller creature with a grenade or thermal detonator, compare the result of your attack roll to the target's Fortitude Defense. If your result equals or exceeds the target's Fortitude Defense, you can move the target 1 square in any direction as a free action. If the grenade or thermal detonator deals damage to multiple eligible creatures, you can use this benefit against all of them. You can't move a target that's being grabbed or grappled, and you can't move a target into a solid object or into another creature's fighting space. [Dev: Bantha Herder and Forceful Blast are meant to be mutually exclusive]","Proficient with weapon used*, BAB +1",if dam a Large or smaller creature with a grenade or thermal detonator compare to Fort Def & can move target(s) 1 sq in any direction as free,,,,x,x,"[ranged(grenade)][ok], [combat][offensive]"
GI,27,Forceful Recovery,"Whenever you catch a second wind, choose one expended Force power and return that power to your Force suite.","Force Sensitivity, Force Training","When you use second wind, return a force power already used also",,,,,,"[force], [second wind]"
R,33,Forest Stalker,"Whenever you reroll a Stealth check, you always keep the better result, even if you have multiple reroll abilities.",Ewok,always keep the better result on a Stealth reroll,,,,,,"[species(ewok)], [skill(stealth)]"
GW,23,Fortifying Recovery,"When you take the recover action, you also gain a number of bonus hit points equal to 2x your Constitution bonus (minimum 2). Damage is subtracted from the bonus hit points first, and any bonus hit points remaining at the end of the encounter are lost. Bonus hit points do not stack.",Con 13,when you recover gain hp = 2 x Con mod (min 2),,,,x,x,"[recover], [constitution], [combat][defensive]"
SV,21,Friends in Low Places,"Whenever you would acquire a license for a restricted or military object, you can substitute a Gather Information check for a Knowledge (bureaucracy) check. Reduce the black-market cost multiplier of such items by 1.  [ie, use GI instead of Know (bureau)]",Trained in Gather Information,to acquire license Gather Info replaces Know (bureaucracy),,x,x,,,"[skill(gather information)], [trade]"
UR,24,Frightening Cleave,"Immediately after you use the Cleave feat, each enemy within 6 squares of you and within your line of sight takes a -1 penalty to its Reflex Defense, attack rolls, and skill checks against you until the end of the encounter. This penalty stacks to a maximum of -5. This is a mind-affecting effect.","BAB +4, Str 13, Cleave, Power Attack","after use Cleave each enemy w/in 6sq & LOS -1 Ref Def, atk, skill until end of enc, stacks to -5",,,,,x,"[strength], [cleave], [combat][offensive][melee(armed, unarmed)]"
R,33,Fringe Benefits,"Whenever you buy goods on the black market, reduce the cost multiplier by 2 (for example, from x5 to x3), to a minimum of xl.",Rodian,whenever you buy black market goods reduce multiplier by 2 (min x1),,,,,,"[species(rodian)], [trade]"
L,36,Galactic Alliance Military Training,You do not move down the condition track the first time an attack exceeds your damage threshold in an encounter.,,do not move down CT first time in an encounter,,,,,x,"[damage threshold], [combat][defensive]"
K,33,Gearhead,"Once per encounter, you can make Mechanics and Use Computer checks more quickly than normal. A check requiring a full-round action can be attempted as a standard action, a check requiring a standard action can be attempted as a move action, and a check requiring a move action can be attempted as a swift action. Checks requiring multiple swift actions can be reduced by one swift action. Checks requiring more than a full round action can be attempted in one-half the amount of time required at a -10 penalty.",,"full = stan, stan = move, move = swif, mult swif = swif, full+ = half -10",,,x,x,,"[skill(mechanics], [skill(use computer)]"
UR,24,Grab Back,"You gain a +2 bonus to your Reflex Defense against grab and grapple attacks. If an enemy misses you when making a grab or grapple attack, you can immediately make your own grab attack against the same enemy as a reaction. If you have a feat that enables you to make a grapple attack (such as Pin or Trip), you can make a grapple attack instead.",Dex 13,"+2 Ref Def v. grab/grapple, if enemy misses you can make grab/grapple v. same",,,,,x,"[dexterity], [grapple], [combat][offensive][defensive][melee(unarmed)]"
C,31,Grand Army of the Republic Training,"If you wear armor that provides an equipment bonus to your Fortitude Defense, you also apply the armor's equipment bonus to your Will Defense.",proficient with armor worn,apply armor's Fort Def to Will Def also,,,,,x,"[armor], [Will Defense], [combat][defensive]"
L,36,Grapple Resistance,"You gain a +5 bonus to your Reflex Defense when an enemy makes a grab or grapple attack against you, and you gain a +5 bonus to all opposed grapple checks (regardless of who started the grapple -Rodney). All objects that you are holding or carrying gain a +5 bonus to their Reflex Defense when attacked (see ""Attack an Object"" on page 151 of the Saga Edition core rulebook).",,"+5 v. grab or grapple, +5 opposed grapple, +5 all your objects",x,,,x,x,[combat][defensive]
GI,27,Grazing Shot,"When you successfully make a ranged attack against a single target, you can make a second attack roll against an additional target that is in direct line of sight and no farther than 6 squares from the original target. If the second attack roll succeeds, make a single damage roll, and divide the damage equally between the two targets. If the second attack roll fails, you deal no damage to either target.",Point Blank Shot,"with ranged atk, target a second creature w/in LOS & 6sq of target, divide dam between both, or no dam to either if 2nd atk fails",,,,x,x,"[ranged(fired, thrown)][target], [combat][offensive]"
CR,85,Great Cleave,"As the Cleave feat (page 83), except that you have no limit to the number of times you can use it per round.","Str 13, Cleave, Power Attack, BAB +4",no limit to cleave attacks per round,x,,,,x,"[melee(armed, unarmed)][question ulswp], [combat][offensive], [strength], "
R,33,Gungan Weapon Master,"Whenever you spend a Force Point to add to an attack roll with an atlatl or a cesta, increase the die type by one step (from d6 to d8, or from d8 to d10).",Gungan,when spend Force Point to atk w/atlatl or cesta increase dam die by 1 step,,,,,,"[ranged(fired)], [melee(armed)], [species(gungan)], [combat][offensive], [atlatl], [cesta]"
C,31,Gunnery Specialist,"While you are the gunner of a vehicle, you are considered proficient with vehicle weapons. Additionally, once per encounter, you can reroll an attack roll made with a vehicle weapon, though you must keep the second result, even if it is worse. You can declare this reroll after you learn the result of the attack roll, but before damage is resolved. Special: Taking this feat satisfies the prerequisites for the Starship Tactics feat (page 20 of Starships of the Galaxy); however, unless you are trained in the Pilot skill and have the Vehicular Combat feat, you may only take [gunner) maneuvers when you select starship maneuvers for Starship Tactics.",BAB +1,"1/encounter reroll vehicle atk, proficient w/vehicle weapons",,,,,x,"[combat][offensive], [skill(pilot)], [vehicle][starship]"
UR,26,Halt,"If you hit with an attack of opportunity against an enemy of up to one size larger than you, compare the same die roll result against the target’s grapple check (CR page 154). If the die roll succeeds against the grapple check, the target immediately halts all movement and falls prone in its current square. The target can spend any remaining actions normally. If your attack exceed the target’s damage threshold, the target loses any remaining actions and ends its turn immediately. Apply damage normally to the target regardless of the results of this feat. Special: If the target is using the charge action when moving past you, its charge is ended if you successfully knock it prone, and the target cannot charge again on this turn.","Trip, Weapon Focus in selected weapon, Weapon Proficiency in selected weapon*, BAB +8.","if hit w/Atk of Opp compare same die roll result v. grapple target halts move & prone, if over thresh than lose all actions",,,,,x,"[grapple], [Attack of Opportunity], [combat][melee(unarmed)]"
SV,22,Hasty Modification,"You can exchange a trait that you have applied to a piece of equipment or droid for another one by spending 1 minute to make a DC 20 Mechanics check. If you succeed, the equipment loses the old trait and gains a new trait until the end of the encounter, at which point the device loses all traits it had previously acquired through use of the Tech Specialist feat.",Tech Specialist,"exchange a trait for another, 1 min DC 20 Mechanics",,x,x,,,"[skill(mechanics], [tech specialist], [craft]"
UR,26,Heavy Hitter,"When making an attack roll using a weapons emplacement or a vehicle weapon, you add an additional 1 point of damage for every 5 points you roll above the target’s Reflex Defense. If you exceed the target’s damage threshold, then on its next turn the target cannot attack and its speed is reduced by 2 squares (1 square starship scale).","Weapon Focus (heavy weapons), Weapon Proficiency (heavy weapons).","+1 die dam every 5 pts over Ref Def, if over thresh then target can't atk next turn & reduce spd 2sq",,,,,x,"[combat][offensive][ranged(fired, heavy)]"
SV,22,Hideous Visage,"Once per encounter, as a swift action, you can make a Deception check against one opponent that can see you. If the check equals or exceeds the opponent's Will Defense, you move the target 1 square away from you and it takes a -1 penalty on all attacks until the start of your next turn. This is a mind-affecting fear effect.",Shapeshift,1/encounter swif Deception v. WillDef move target 1sq & -1 atk v. you,,,,,,"[species(shapeshifter)], [skill(deception)]"
GW,26,Hijkata Training,"Once per round, when an adjacent enemy successfully damages you with a melee attack, you can make an attack of opportunity with an unarmed attack at a -5 penalty against that enemy, even if the enemy's attack normally would not provoke an attack of opportunity. Once per encounter, when an enemy provokes an attack of opportunity from you and you successfully damage that enemy with an unarmed attack of opportunity, that enemy takes a penalty to attack rolls equal to your Dexterity modifier (minimum +1) until the end of your next turn. Special: If you have the Hijkata Expertise talent (see the Martial Arts Forms talent tree on page 32), once per encounter, you can spend a full-round action to designate a single adjacent ally. Until the start of your next turn, any enemy adjacent to you or the designated ally that makes an attack roll against that ally provokes an attack of opportunity from you. If the ally moves during his or her turn, you can immediately move a number of squares up to your speed as a reaction; however, you must end your movement in a square that is adjacent to the designated ally.","Combat Reflexes, Martial Arts I","1/rnd when adjacent enemy damages you w/melee atk you can make Atk of Opp w/-5 atk, 1/enc w/Atk of Opp from you that enemy takes penalty on atk = your Dex mod until end of next turn, w/Expertise 1/enc spend full & designate single ally, any enemy adjacent to you or ally provokes Atk of Opp. If ally moves you can move spd as reac but must end adjacent to enemy",,,,,,"[melee(unarmed)], [martial arts], [attack of opportunity], [combat][offensive], [dexterity], "
GI,28,Hobbling Strike,"Whenever you would deal extra damage by using Sneak Attack, Rapid Shot, or Rapid Strike, you reduce the target's speed by 1 square until the end of the encounter instead of dealing the extra damage.","Sneak Attack, Rapid Shot, or Rapid Strike",sacrifice extra dam from Sneak Atk to reduce target's spd by 1 for enc,,,x,x,x,"[melee(armed, unarmed)], [ranged(fired)][ranged attack], [damage], [combat][offensive]"
UR,26,Hold Together,"As a reaction, you can spend a Force Point to delay the effect of damage dealt to a vehicle you are riding in or piloting until the end of the round. The vehicle must be of Colossal size or smaller.",Trained in Mechanics,"as reac spend FP to delay dam effect to vehicle until end of round, Col",,,x,x,,[skill(mechanics)]
R,33,Hunter's Instincts,"Whenever you reroll a Perception check, you always keep the better result, even if you have multiple reroll abilities.",Rodian,always keep the better result on a Perception reroll,,,,,,"[species(rodian)], [skill(perception)])"
UR,26,Hyperblazer,"When traversing the hyperspace tangle, you reduce by half the calculation time and penalties on Use Computer checks for astrogation (CR page 237). You also reduce hyperspace mapping time by half when mapping new hyperspace routes.",Trained in Use Computer,reduce time & penalties Use Computer to navigate the tangle & mapping,,,,x,,[skill(use computer)]
R,34,Imperceptible Liar,"Whenever you spend a Force Point to add to a Deception check, increase the die type by two steps (from d6 to d10, or from d8 to d12).",Twi'lek,"when spend Force Point to Deception, increase die type by 2 steps",,,,,,"[species(twi’lek)], [skill(deception)]"
R,29,Imperial Military Training,"Once per encounter, as a free action on your turn, you can negate any one mind-affecting effect targeting or currently affecting you.",,"1/enc as free action on your turn, negate 1 mind-affecting effect",,,,,x,[combat][defensive]
SV,23,Impersonate,"You can make a Deception check to alter your features to that of a specific person. This feat also allows you to change your voice to match the target's. You always treat impersonating a person as a Moderate deception. [Normally, impersonating a close friend or family member is an Incredible deception (-10 penalty)]","Shapeshift species trait, Skill Focus (Deception)","alter features & voice to a specific person, Moderate deception",,,,,,"[species(shapeshifter)], [skill(deception)]"
SV,23,Impetuous Move,"When you catch a second wind, you can choose to regain only half of the hit points you normally would with a second wind and immediately move up to half your speed. This movement does not provoke attacks of opportunity.",Con 13,"when catch 2nd wind, regain only half hp to move half spd, no atk opp",x,,,,x,"[second wind], [combat][defensive], [constitution]"
K,33,Implant Training,You are not moved an extra step down the condition track when you would normally be moved down the condition track. Normal: Characters with an implant move one extra step down the condition track when moved down the condition track for any reason.,Must possess a cybernetic implant,not moved down CT extra step when would be moved down,,,x,,,x
F,33,Improved Bantha Rush,"When making a Bantha Rush, you push your opponent a number of additional squares away from you equal to half your Strength modifier (round down, minimum 2 squares pushed total). Normal: When using Bantha Rush, you normally push your opponent only 1 square away from you.","Str 15, Bantha Rush, BAB +1",Push opponent squares = Str mod (2min) after successful melee attack,,,,,x,"[melee(armed, unarmed)][ok], [combat][offensive], [strength]"
CR,85,Improved Charge,"You can make a charge (see CR page 152) without having to move in a straight line, and you can alter your direction when making a charge to avoid obstacles. All other charge rules apply. Normal: A character must charge in an unobstructed straight line.","Dex 13, Dodge, Mobility",can charge without moving in a straight line,x,,,,x,"[mobility], [charge], [dexterity]"
CR,86,Improved Damage Threshold,"You increase your damage threshold by 5 (see Damage Threshold, page 146). Normal: A creature without this feat has a damage threshold equal to its Fortitude Defense plus its size modifier (+5 for Large, +10 for Huge, +20 for Gargantuan, or +50 for Colossal). Special: You can take this feat more than once. Its effects stack. Each time you take this feat, increase your damage threshold by 5.",,damage threshold increases by 5,,,,,,"[damage threshold], [combat][defensive]"
