BOOK,PAGE,WEB,ITEM,Desc.,COMMENTS,TYPE,Cost,Weight,Uses, Use Cost
CR,137,w,Cybernetic prosthesis,"Cybernetic Prosthesis

Prosthetic replacements in the Star Wars universe frequently take the form of mechanical simulations powered by tiny high-capacity battery packs and motivated by the recipient's bioelectrical impulses. In effect, someone who loses a limb or an extremity can have an electronic replacement that acts (and in some cases looks) just like the original.

Cybernetic prosthetic devices are unusual, but hardly rare. Luke Skywalker gains a cybernetic replacement for his right hand, lost in battle against Darth Vader-who, in turn, had much of his own body replaced with cybernetics years before.

Attaching a cybernetic prosthesis requires the Cybernetic Surgery feat (see page 83). Once attached, the cybernetic replacement performs as well as the original limb or extremity. Common cybernetic prosthetics include arms, hands, legs, feet, and various internal organs. In addition to the cost of the prosthesis, the recipient must also cover the cost of the surgery (see Table 8-9: Services and Expenses, page 141).

Unlike other creatures, a creature with cybernetic prosthetics takes full damage from weapons and attacks that deal ion damage.

Because the Force is present in all living things, but not machines, creatures with cybernetic prosthetics take a -1 penalty on Use the Force checks for each prosthetic replacement (to a maximum penalty of -5).
",take full damage from ion attacks; Use the Force -1 per prosthesis (max -5),Cybernetics,1500,,,
R,145,X,"Cybernetics, Augmented neurosystem (Dengar's)",,+2 DEX,Cybernetics,,,,
GW,49,w,"Cybernetics, Borg Construct","Borg Construct

The BioTech Borg Construct Aj""6 provides a direct cabled or wireless link to computers and networks within a 10-meter range. It allows a cyborg to remotely program and access on-board data through thought alone. The standard model has a built-in cyborg/droid interface and up to four BioTech Knowledge Cartridge or standard datacard ports (at 500 credits per port beyond the first). Knowledge Cartridges use proprietary technology to achieve Intelligence 4 (instead of Intelligence 2 for a standard datacard), cost 100 credits each, and are not widely available. Installation is described at the Cybernetic Surgery feat; the unit cannot be self-installed.

Characters wearing the unit gain a +2 beneficial circumstance bonus to Use Computer, Knowledge, and other skills at the discretion of the Gamemaster. They can also use Issue Routine Commands as a swift action (or as a free action if they have the Gimmick talent). Wearers become more computerlike and less able to relate to people, causing them to take a -5 penalty to all Persuasion checks. They also speak less frequently as they grow accustomed to the speed of communicating through electronic networks.
","wireless link 10 sq, +2 Use Comp & Knowledge or other, Issue Routine Commands as swif or free with Gimmick, -5 Persuasion",Cybernetics,80000,,,
GW,49,w,"Cybernetics, Borg Construct Datacard/Know cart port",,*after the first,Cybernetics,500*,,,
GW,49,w,"Cybernetics, Borg Construct Knowledge cartridge",,Int 4,Cybernetics,100,,,
GW,49,w,"Cybernetics, Comlink, subcutaneous","Comlink, Subcutaneous

A subcutaneous comlink features special sensors and transmitters attached to the vocal and auditory organs of the host. This allows the creature with this implant to hear comlink transmissions and to send his or her own by making only slight vocal sounds. When a being with a subcutaneous comlink wishes, he or she can communicate through this comlink without making a sound loud enough for others to hear.
",hear or send without noise loud enough for others,Cybernetics,4000,,,
GW,49,w,"Cybernetics, Cybernetic prosthesis","Cybernetic Prosthesis

Prosthetic replacements in the Star Wars universe frequently take the form of mechanical simulations powered by tiny high-capacity battery packs and motivated by the recipient's bioelectrical impulses. In effect, someone who loses a limb or an extremity can have an electronic replacement that acts (and in some cases looks) just like the original.

Cybernetic prosthetic devices are unusual, but hardly rare. Luke Skywalker gains a cybernetic replacement for his right hand, lost in battle against Darth Vader-who, in turn, had much of his own body replaced with cybernetics years before.

Attaching a cybernetic prosthesis requires the Cybernetic Surgery feat (see page 83). Once attached, the cybernetic replacement performs as well as the original limb or extremity. Common cybernetic prosthetics include arms, hands, legs, feet, and various internal organs. In addition to the cost of the prosthesis, the recipient must also cover the cost of the surgery (see Table 8-9: Services and Expenses, page 141).

Unlike other creatures, a creature with cybernetic prosthetics takes full damage from weapons and attacks that deal ion damage.

Because the Force is present in all living things, but not machines, creatures with cybernetic prosthetics take a -1 penalty on Use the Force checks for each prosthetic replacement (to a maximum penalty of -5).
",take full damage from ion attacks; Use the Force -1 per prosthesis (max -5),Cybernetics,1500,,,
GW,49,w,"Cybernetics, Eye, infrared sensor","Eye, Infrared Sensor

This cybernetic replacement eye includes special infrared sensors that allow the host to see not only visible light but also heat signatures. This grants the host darkvision.
",grants darkvision,Cybernetics,300,,,
GW,49,w,"Cybernetics, Eye, targeting","Eye, Targeting

This cybernetic replacement eye includes enhanced target-recognition software linked with weapon packages and armor targeting packages. The eye creates HUD overlays, augmenting the host's vision to enhance combat prowess. A host with a targeting eye is considered to have the benefit of a helmet package (see page 140 of the Saga Edition core rulebook).
","Perception +2, low-light vision",Cybernetics,500,,,
GW,49,w,"Cybernetics, Eye, telescopic","Eye, Telescopic

A telescopic replacement eye can zoom in on remote objects, granting the bearer a greater range of distant vision. In some cases this is just a result of visual enhancement software and fine-tuned sensors, but in other cases this can mean that the eye literally detaches from the host and hovers on tiny repulsors closer to the target. A telescopic eye replacement allows the host to take range penalties to Perception checks every 20 squares instead of every 10 squares.
",range penalties to perception every 20 sq not 10,Cybernetics,500,,,
GW,50,X,"Cybernetics, Ion Shielding","Ion Shielding

Ion shielding is a new cybernetic prosthesis upgrade for the Scum and Villainy upgrade system. It can be added only to a cybernetic prosthesis, and it requires 1 upgrade slot. The upgrade has a cost of 1,000 credits, and when installed it protects the host from ion damage. If all of a creature's cybernetic enhancements have the ion shielding upgrade, the host is not treated as being cybernetically enhanced for the purposes of taking ion damage. However, if even one cybernetic enhancement does not have this shielding, the host gains no benefit. 

",Upgrade for cybernetics prostheses only. Protects host from ion damage,Cybernetics,1000,,,
GW,50,w,"Cybernetics, Sensory enhancement","Sensory Enhancement

The sensory-enhancement package places cybernetic augmentations on nerve endings in various sensory organs, reducing the signal-to-noise ratio and allowing the host to notice what might otherwise have been missed. A character with the sensory-enhancement package reduces by 2 any penal­ties to Perception checks made to notice a target with concealment or total concealment.
",penalty to Perception reduced by 2 v. target in concealment or total concealment,Cybernetics,800,,,
GW,50,w,"Cybernetics, Skeletal reinforcement","Skeletal Reinforcement

This cybernetic enhancement package enhances the host's skeleton with high-impact polymers, increasing bone density and the ability to endure high-impact collisions. A character with skeletal reinforcements gains a +2 equipment bonus to damage threshold.
",+2 threshold,Cybernetics,10000,,,
GW,50,w,"Cybernetics, Tremor sensor","Tremor Sensor

A tremor sensor is installed in the feet of the host. Connected to the nervous system, the tremor sensor detects minute vibrations in the ground, warn­ing the host of approaching enemies. A creature with the tremor-sensor enhancement takes no penalty to Perception checks to notice targets that have concealment or total concealment, provided the target moved on its last turn.
",no penalty to Perception v. target in concealment or total concealment,Cybernetics,400,,,
L,53,w,Darth Krayt's holocron,,repository for great Sith knowledge,Computers and Storage Devices,,,,
CR,136,w,"Datacards, blank (10)","Data Card

A data card is a simple storage device with Intelligence 2. Intended solely as external storage for a computer, it has no interface for direct display, editing, or entry of data.
",Int 2,Computers and Storage Devices,10,0.1,,
CR,136,w,Datapad,"Datapad

These handheld personal computers serve as notebooks, day planners, calculators, and sketch pads. In addition to performing basic computer functions, data pads can interface with larger computer networks directly or via comlink.

A data pad is a computer with Intelligence 12. Simpler data pads also exist (Intelligence 10, 100 credits)' but they are actually just storage devices with display, input, and editing capability; they have no ability to run programs.
",,Computers and Storage Devices,1000,0.5,,
CR,136,w,"Datapad, basic","Datapad

These handheld personal computers serve as notebooks, day planners, calculators, and sketch pads. In addition to performing basic computer functions, data pads can interface with larger computer networks directly or via comlink.

A data pad is a computer with Intelligence 12. Simpler data pads also exist (Intelligence 10, 100 credits)' but they are actually just storage devices with display, input, and editing capability; they have no ability to run programs.
","basic computer, can interface with larger computer networks directly or via comlink; Int 12",Computers and Storage Devices,100,0.3,,
F,101,w,Decoy Glowrod,"Decoy Glowrod (TFUCG)

Though not officially manufactured by any corporation, the decoy glowrod is a piece of equipment used by enemies of the Empire and smugglers alike. This device is a fully functional glowrod with a hollowed-out handle that can be used to hide small objects. A decoy glowrod can hide up to 3 kilograms of equipment, no one piece of which can be larger than Diminutive in size. This allows the owner to hide everything from code cylinders and datacards to credit chips and small comlinks within the interior. Best of all, since the glowrod is functional, Imperial customs agents almost never suspect that such a device is being used to carry contraband. Hiding an item inside a decoy glowrod grants the user a +10 equipment bonus on Stealth checks to hide the item.
","can hide 3kg no one larger than Diminutive, +10 Stealth to hide item in glowrod",Detection and Surveillance Devices,100,4,,
K,73,w,Demolitions sensor,"Demolitions Sensor (KotORCG)

Resembling a pair of goggles, the demolitions sensor can detect both the explosives and triggering mechanisms of mines, grenades, and other explosive devices, highlighting them in the wearer's vision. The demolitions sensor grants the wearer a +5 equipment bonus on Perception checks made to find mines and other planted explosives. A demolitions sensor cannot be worn at the same time as armor with a helmet or any other device worn on the head.
",Perception +5 to find demolitions,Detection and Surveillance Devices,1000,0.5,,
GW,46,w,Droid diagnostic,"Droid Diagnostic (GaW)

Mechanics and droid builders throughout the galaxy use the Interstellar Droid Monitoring Inc. Mk-11 Droid Diagnostic. This handheld device-roughly twice the size of a standard datapad-diagnoses and analyzes the functions of any droid connected to it, displaying damage or errors in the droid's systems. The droid diagnostic grants a +2 equipment bonus on Mechanics checks for a droid connected to it.
",Mechanics +2 for droid connected to device,Tools,400,2,,
CR,136,w,Electrobinoculars,"Electrobinoculars

This device magnifies distant objects in most lighting conditions. An internal display provides data on range, relative and true azimuths, and elevation.

Viewing options include zoom and wide-vision observation. Electrobinoculars also feature radiation sensors and a nightvision mode that grants darkvision (see Darkvision, page 257) out to the user's normal range of sight.

Electrobinoculars reduce the range penalty on Perception checks to -1 for every 10 squares of distance (instead of -5 for every 10 squares of distance).
","Darkvision, reduces range penalty on Perception to -1 for every 10 sq (instead of -5 / 10sq)",Detection and Surveillance Devices,1000,1,,
UR,40,w,Emergency vacuum seal,"Emergency Vacuum Seal (UR)

Designed to quickly seal a starship's interior compartments during a hull breach, the disk-shaped emergency vacuum seal is a biomechanical device that has proven useful in such a crisis. When the seal has been placed at the site of the breach, a series of micromolecular grips keep it lodged firmly in place while a mild electrical current stimulates the colony of microorganisms, causing them to quickly multiply and seal the breach. A neutralizing current is applied once the seal's sensors determine the breach has been sealed. The result is a temporary but durable hull patch that allows a badly damaged starship to make its way back to port for repairs.

When a character makes a Mechanics check to jury-rig a starship that has suffered a hull breach, the use of an emergency vacuum seal allows the ship to move +1 additional step on the condition track.
",jury-rig allows a ship to move an additional +1 CT,Medical Gear,750,0.9,,
J,64,w,"Energy cage, universal","Energy Cage, Universal (JATM)

The universal energy cage was designed by Umak Leth specifically to contain a Force-user. A vaguely spherical cage with energy flowing throughout its bars, the universal energy cage delivers a shock to prisoners attempting to free themselves. Prisoners in the cage can, however, use the Force at very low levels, such as to heal themselves. The cage's functions are controlled by a handheld remote. The cage has no visible controls, and the only way to open it (other than using the remote) is to destroy it, which endangers the life of the prisoner within.

The reinforced durasteel cage has DR 20, 150 hit points, and a damage threshold of 25. The cage is also built with a contact shock field, and every time it takes 15 points of damage or more, the prisoner inside receives a shock that deals 4d8 points of stun damage.
","DR 20 150 hp & threshold 25, every 15 points of dam the prisoner takes 4d8 stun dam",Tools,20000,3 tons,,
CR,139,w,Energy cell,"Energy Cell

This small battery provides power for devices, including certain types of weapons. An energy cell appears as a small, flat disk. An energy cell can be recharged with a power recharger.
","small battery provides power for devices, including certain types of weapons",Tools,10,,,
T,54,w,FastFlesh Medpac,"FastFlesh Medpac

A FastFlesh medpac offers a broader range of medical instruments and agents than does a standard medpac. Each FastFlesh medpac has enough materials for a single use. A character who benefits from a FastFlesh medpac or a standard medpac cannot again derive benefits from any medpac for 24 hours.

Using a FastFlesh medpac grants you a +5 equipment bonus to a Treat Injury check made to perform first aid. Otherwise, this medpac functions as a normal medpac.
",Treat Injury +5 equipment bonus,Medical Gear,600,0.5,,
GW,47,X,Field food processor,"Field Food Processor (GaW)

The field food processor is used by soldiers and explorers to provide sustenance from local flora and fauna and is a critical survival tool when other food stores have been exhausted. Up to three pounds of plants, meat, or fungus can be placed inside the field food processor. One minute later, the processor exudes a gray paste that is extremely bland in taste, but is both edible and nutritious—enough to provide a single Medium character with a day's worth of food. The field food processor can be programmed to make appropriate food substances for up to ten different species. In addition, the field food processor gives a +10 equipment bonus to Fortitude checks against any poison, toxin, or radiation that might have been in the initial ingredients.

A field food processor requires an energy cell, which lasts for one year before needing to be replaced.
","3 pounds of material in 1 min for 1 Med creature for 1 day & 10 species, +10 Fort Def",Survival Gear,1500,4,,
CR,138,w,Field kit,"Field Kit

Essentially a backpack full of survival gear, the typical field kit contains two condensing canteens with built-in water purification systems, a sunshield roll, a week's worth of food rations, two glow rods, two breath masks, 24 filters, 12 atmosphere canisters, and an all-temperature cloak.

You need a field kit to make a Survival check to endure extreme temperatures (see the Survival skill, page 73).
","2 canteens, sunshield, week's rations, 2 glow rods, 2 breath masks, all-temp cloak",Survival Gear,1000,10,,
CR,139,w,Fire extinguisher,"Fire Extinguisher

A full-round blast from this tool produces a chemical cloud that provides total concealment (see page 156). Those inside the cloud can't see targets outside the cloud, and those outside the cloud can't see targets inside the cloud.

The cloud spreads 1 square in all directions for every round it is activated. It dissipates after 3 rounds (no matter how large the cloud). Each full-round blast depletes one-tenth of the fire extinguisher's chemical supply.

If used for its intended purpose, the extinguisher can put out a fire of up to 10 squares in size at a rate of 1 square per round before it is depleted.

Reloading the fire extinguisher is a full-round action. Replacement chemical cartridges for the extinguisher cost 25 credits each.
","can provide total concealment, spreads 1 sq per round activated",Tools,50,3,,25
UR,40,w,Fire paste,"Fire Paste (UR)

Fire paste is a thick beige substance that can act as a fuel for starting a fire. The paste, once squeezed from its tube, can be placed on virtually any surface, including ice and wet wood. With a single spark, the paste ignites, burning for 3d4 minutes. If applied to a living creature or an object, the burning paste causes 1d6 points of damage as long as it burns and remains in contact with the creature or object. A single squeeze tube contains 5 applications of fire paste.
","burns 3d4 min, 1d6 dam",Survival Gear,15,0.1,5,
UR,40,w,Fire rod,"Fire Rod (UR)

When a fire is needed and nothing is around to create a one, many people turn to a fire rod-a 10-cm hollow plastic tube that has two chambers, each filled with a chemical that is inert on its own. When the two chemicals are mixed, they combine to become a highly volatile substance that ignites within seconds. A fire rod burns for 2d8 minutes without any additional fuel. Adding wood or other combustible material keeps the fire burning longer.
",burns 2d8 min,Survival Gear,25,0.1,,
GI,66,w,Flash Suppressor/Silencer,"Flash Suppressor/Silencer (GoI)

The Merr-Sonn Nonsonic is a typical example of a flash suppressor/silencer. Fitting over the muzzle of any Small or larger slugthrower, this device reduces both the sound and the muzzle flash when the weapon is fired. A flash sup­pressor/silencer imposes a -10 penalty to Perception checks to discern the sound or spot the flash of an equipped slugthrower. It reduces the maximum range of the weapon by two range increments.
","-10 Perception checks to spot the shooter, max range reduced 2 increments",Weapon and Armor Accessories,400,0.2,,
CR,137,w,Flight suit,"Flight Suit

The flight suit is a one-piece coverall (plus a helmet) that provides life support, protects the wearer from hostile environments,. and prevents the wearer from succumbing to the adverse effects of high-velocity flying. A flight suit includes a matching helmet and gloves that seal around the wearer and provide up to 10 hours of life support.

As long as you have life support remaining, you are immune to any hostile atmosphere or inhaled poison hazard. The suit also grants a + 1 equipment bonus to your Fortitude Defense.
","10 hours life support, +1 Fort Def",Life Support,1000,3,,
SV,52,w,Force Cage,"Force Cage (SaV)

Frequently used by bounty hunters to keep their marks from escaping, a force cage is a Large (2x2 squares) cage whose bars are charged with electricity. A force cage deals 3d6 energy damage to anyone trying to break into (or out of) the cage, and the cage can be assembled or disassembled in 5 minutes. A force cage has a break DC of 30 and can be deactivated using a remote (treat as a portable computer with Intelligence 16).
","Large 2x2sq cage, 3d6 dam if try to break out, break DC 30, 5 min to put up/take down",Tools,7000,25,,
J,63,w,Force detector,"Force Detectors (JATM)

A blanket term used to cover a variety of devices, Force detectors are pieces of equipment designed to detect Force sensitivity, or the potential for it, within a living being. Force detectors can take many forms; the Jedi Order prior to the Clone Wars used Force detectors that relied on blood samples to determine midichlorian counts. During the height of the Empire, Force detectors were built using thaissen crystals from the planet Mimban that glow in the presence of Force-users.

Regardless of the specific form, most Force detectors function in a similar manner. Using a Force detector requires 5 rounds and a DC 15 Use Computer check to successfully activate the device. If the target of the Force detector has the Force Sensitivity feat, the Force detector indicates that the target is Force-sensitive.
",5 rounds & DC 15 Use Computer,Tools,2000,9,,
J,63,X,Force training aid,"Force Training Aids (JATM)

Young Jedi use a variety of training aids in the course of their studies. These can take many forms, including some that resemble toys and puzzles. Others are designed to clear the mind and make concentration easier, focusing one's connection to the Force by helping to block out other stimuli. Most Force training aids are abandoned by the time the apprentice becomes a Padawan learner, as the training aids teach very basic techniques that must be mas­tered by the time the Master chooses the Padawan.

Though Force training aids are typically designed to focus on one aspect of Force training, they all follow similar rules. Each Force training aid focuses on one of the basic uses of the Use the Force skill. Any character untrained in the skill can spend 1 hour training with a Force training aid. After that time, for the next 24 hours, the character can use any one ""trained only"" aspect of the Use the Force skill as though he or she was trained in the skill. Force training aids confer no bonus on Use the Force checks.
","if untrained in skill, can train 1 hour & use 1 ""trained only"" Use the Force for 24 hours",Tools,25,1,,
CR,136,w,Fusion lantern,"Fusion Lantern

A hand-held light source larger than a glow rod, the fusion lantern produces light and heat. The light spreads out from the lantern, producing illumination in a 6-square radius.
",6sq radius,Detection and Surveillance Devices,25,2,,
SV,9,w,Gand breathing apparatus,,Gand starts with for 0 cost (filters 50 credits on Gand),Life Support,2000,,year,200
SV,9,w,Gand transliterator,,Gand starts with for 0 cost ,Communications Devices,100,,,
J,57,w,Geological compressor,,used to make Sith lightsaber crystals,Detection and Surveillance Devices,2000,,,
CR,136,w,Glow rod,"Glow Rod

A glow rod is a portable illumination device that projects a beam of light up to 6 squares.
",portable illumination device that projects a beam of light up to 6 squares,Detection and Surveillance Devices,10,1,,
C,66,w,Halo lamp,"Halo Lamp (CWCG)

A pocket-sized disc small enough to fit in the palm of a Human hand, the halo lamp shines a bright light in a circle around the person holding it out to a 3-square radius. While lit, it remains cool to the touch, and it can easily be attached as a weapon accessory.
",3-sq radius,Detection and Surveillance Devices,30,1,,
T,37,w,Heat Sensor,"Heat Sensor (TotG)

Used primarily to locate fires and damaged components buried behind wall panels and beneath deck plates. a heat sensor is a common device in the hands of emergency crew members. A heat sensor monitors air temperature out to a distance of 100 meters and presents color-coded readings on a small screen. In addition to its normal uses, a heat sensor can also identify heat signatures generated by hidden creatures, making it a useful tool for rooting stowaways or alien parasites. A heat sensor grants a +2 equipment bonus to Perception checks made to detect hidden creatures, machines, or hazards that generate heat.
","range 100m, Perception +2 to detect items that generate heat",Detection and Surveillance Devices,250,0.2,,
CR,140,X,Helmet package,"Helmet Package

When installed in the helmet of a suit of armor, this electronic package allows the armor to grant the wearer a +2 equipment bonus on Perception checks as well as low-light vision. In addition, it includes an integrated hands-free com link. Stormtrooper armor and its variants include such a system (MFTAS, or Multi-Frequency Target Acquisition System), already included in its statistics. Installing a helmet package takes 1 hour and a DC 20 Mechanics check.
","Perception +2, low-light vision, hands-free comlink",Weapon and Armor Accessories,4000,1,,
T,87,w,HiBaka 2000 Mem-Stik,"HiBaka 2000 Mem-Stik (TotG)

Frequently utilized by slicers to smuggle valuable information past security guards and police, the HiBaka 2000 Mem-Stik is a tiny piece of hardware that holds a moderate amount of information without taking up too much space. Though a Mem-Stik does not have enough space to carry a computer programs, it can hold simple text, image, and video data (as well as under 1 minute of holographic data). A Mem-Stik is Fine in size and can be hidden inside the power pack slot of a standard blaster pistol (granting a +10 equipment bonus to Stealth checks to hide the Mem-Stik). A blaster that has a Mem-Stik in its power pack slot cannot be fired without first reinserting the power pack.
","Fine size, Stealth +10 to hide stik",Computers and Storage Devices,50,-,,
GI,66,w,Holo Converter,"Holo Converter (GoI)

This small, blocky device is attached to a holoprojector and uses powerful algorithms to alter the outgoing signal, modifying the images and sounds received on the other end so that the user's appearance and voice are dis­guised. The holo converter can even disguise the user's gender and species. Preset with up to 10 different personae, complete with rotating wardrobe, the holo converter grants a +5 equipment bonus to Deception checks for the purposes of making the receiver believe that the user is another person.
","+5 Deception, about the communicator's appearance, 10 personae",Communications Devices,3000,2,,
J,64,w,Holocron,"A holocron gatekeeper is projected onto the battlefield like any other hologram. While the holocron gatekeeper is active, it has its own suite of actions and functions just like any other participant in combat, even acting on its own initiative. On its turn, the holocron gatekeeper can use skills and communicate information as normal, but it doesn't make physical attacks or use Force powers. Likewise, it cannot be damaged, though the holocron itself can be (as per normal rules of attacking objects). For the most part. holocron gatekeepers will use their Instructive Bond special quality, which is explained in the stat blocks of the two sample holocron gatekeepers below.",Can project holocron gatekeeper and provide various benefits during battle,Artifacts,,,,
CR,136,w,"Holoprojector, personal","Holoprojector. Personal

A handheld, personal hologram transmitter can be used to view real-time or recorded three-dimensional images or to pass the information through a com link connection. This storage device has Intelligence 2 and enough memory to store about 1 hour of a holo recording or 1,000 holo images.
","Int 2, 1 hour or 1000 images",Computers and Storage Devices,1000,0.5,,
F,101,w,Holoshroud,"Holoshroud (TFUCG)

A holoshroud is an advanced form of holoprojector that places a stored holographic image of a creature over the form of the creature wearing the holoshroud. This creates a nearly perfect visual illusion that moves, acts, and reacts with the wearer. A typical model is the Corellidyne CQ-3.9x Holographic Image Disguiser, though it's far from the only holoshroud on the market. The CQ-3.9x is able to store a single holographic image to disguise the wearer, though it can be changed if the user has access to other holographic images and makes a DC 15 Use Computer check.

Using a holoshroud gives you a +10 equipment bonus on Deception checks made to produce a deceptive appearance that matches the holographic image within the holoshroud. Creating or removing this deceptive appearance is a swift action (to turn the holoshroud on or off), which is not considered a rushed deception and does not take a -10 penalty for lacking the proper time.
","+10 Deception, creating swif action, change image DC15 Use Computer",Detection and Surveillance Devices,"25,000",0.5,,
CR,140,X,"Holster, Concealed","Holster

Holsters are generally available for all Medium or smaller weapons. (Larger weapons are usually carried on shoulder straps, hangers, or baldrics that cost as much as a hip holster.) A holster for a melee weapon is usually called a sheath.

Hip Holster: This holster holds the weapon in an easily accessed-and easily seen-location.

Concealed Holster: A concealed holster is designed to help keep a weapon out of sight (see the Stealth skill, page 72) . In most cases, this is a shoulder holster (the weapon fits under the wearer's armpit, presumably beneath a jacket, vest, or cloak). Small or Tiny weapons and single-bladed lightsabers can be carried in concealed waistband holsters (often placed inside the wearer's waistband in the small of the back). Tiny weapons and single-bladed lightsabers can also be carried in ankle, boot, or wrist holsters.

A concealed holster allows you to draw a concealed weapon as a move action instead of a standard action, but you take a -5 penalty on your Stealth check to conceal the weapon.
",draw as move instead of stan action but with -5 Stealth to conceal,Weapon and Armor Accessories,50,0.2,,
CR,140,X,"Holster, Hip","Holster

Holsters are generally available for all Medium or smaller weapons. (Larger weapons are usually carried on shoulder straps, hangers, or baldrics that cost as much as a hip holster.) A holster for a melee weapon is usually called a sheath.

Hip Holster: This holster holds the weapon in an easily accessed-and easily seen-location.

Concealed Holster: A concealed holster is designed to help keep a weapon out of sight (see the Stealth skill, page 72) . In most cases, this is a shoulder holster (the weapon fits under the wearer's armpit, presumably beneath a jacket, vest, or cloak). Small or Tiny weapons and single-bladed lightsabers can be carried in concealed waistband holsters (often placed inside the wearer's waistband in the small of the back). Tiny weapons and single-bladed lightsabers can also be carried in ankle, boot, or wrist holsters.

A concealed holster allows you to draw a concealed weapon as a move action instead of a standard action, but you take a -5 penalty on your Stealth check to conceal the weapon.
",holds the weapon in an easily accessed-and easily seen-location,Weapon and Armor Accessories,25,0.5,,
F,101,w,Hush-About Personal Jetpack,"Hush-About Personal Jetpack (TFUCG)

A light jetpack that is engineered to produce little or no noise, Arakyd's Hush-About personal jetpack is often used by covert enemies of the Empire who are engaged in sabotage and espionage missions. A Hush-About jetpack uses a small jet engine that produces little noise beyond a high-pitch whine, meaning that the wearer takes no penalty on Stealth checks because of speed when using the jetpack (allowing the wearer to double move or take the run action while flying the jetpack with no penalty on Stealth checks). A Hush-About personal jetpack functions in all other ways like a normal jetpack, though each fuel cell for the jet pack carries only 6 charges instead of the normal 10. Replacement fuel cells cost 100 credits.
",no penalties on Stealth,Survival Gear,3750,30,6,100
UR,40,w,Hypoinjector wristband,"Hypoinjector Wristband (UR)

An inconspicuous metal band, the hypoinjector wristband can help a wearer avoid succumbing to the effects of poisons and other harmful chemicals. The refillable wristband stores up to 8 doses of vaccines, antidotes, or other medication. In addition to the hypoinjector, the wristband also houses a bioscanner that continually scans the wearer for any foreign chemicals that the device can counteract. When a harmful substance is detected, the hypoinjector administers the appropriate drug. Refilling the wristband requires a standard action per dose or 4 rounds for the entire set. The device runs on two energy cells that must be replaced after 5 days of constant use.
",refill w/stan per dose or 4 rnds for the set,Medical Gear,350,0.1,8,
K,74,w,"Implant, bio-stabilizer","Bio-Stabilizer Implant

The bio-stabilizer implant stores and transmits basic knowledge of various poisons and toxins into the mind of its user, teaching the brain to synthesize antidotes. The user of a bio-stabilizer implant is immune to poison.
",immune to poison,Implants,1750,,,
K,74,w,"Implant, Cardio","Cardio Implant

A cardio implant encourages the brain to send vital chemicals to the heart and other organs, revitalizing them and giving the user greater physical reserves. The user of a cardio implant gains +1 hit point per level.
",+1 hp per level,Implants,4000,,,
K,74,w,"Implant, Combat","Combat Implant

The combat implant stores and transmits basic knowledge of a variety of weapons into the mind of its user. A combat implant eliminates penalties to attack rolls for weapons the user is not proficient with.
",eliminates Atk penalties for non-proficient weapons,Implants,5000,,,
K,74,w,"Implant, Memory","Memory Implant

A memory implant reinforces and augments the synapses in the memory centers of the brain, making it possible to recall knowledge locked away in the user's mind. The user of a memory implant can reroll any Knowledge check, keeping the better result.
","reroll Knowledge check, keep better",Implants,2000,,,
K,75,w,"Implant, nerve reinforcement","Nerve Reinforcement Implant

The nerve reinforcement implant augments the signals sent from the brain through the central nervous system, making the body's senses difficult to overload through conventional means. The user of a neural-reinforcement implant gains a +5 equipment bonus to Damage Threshold against stun damage.
",Threshold +5 v. stun,Implants,5000,,,
K,75,w,"Implant, regenerative","Regenerative Implant

The regenerative implant coaxes the healing sections of the brain, causing them to work harder to repair damage. The user of a regenerative implant recovers twice as many hit points as normal from natural healing.
",recovers twice as many hp,Implants,4250,,,
K,75,w,"Implant, sensory","Sensory Implant

The sensory implant augments the mind's natural ability to process visual data, enhancing the user's ability to perceive targets under difficult condi­tions. The sensory implant grants a user low-light vision; if the character already has low-light vision, he or she gains darkvision from the implant instead.
",low-light or darkvision,Implants,2500,,,
K,150,X,Infra-goggles,,gain low-light vision,Detection and Surveillance Devices,,,,
GW,165,X,Jedi Imprisonment Device,,in a Battlestation prison; binds prisoner and imposes -10 UtF penalty,Tools,,,,
CR,138,w,Jet pack,"Jet Pack

A jet pack is a propulsion system that a character can strap on, allowing flight over short distances. Arm and wrist controls are employed for maneuvering.

Activating a jet pack is a swift action, and you gain a fly speed of 6 squares until the end of your turn. A jet pack has 10 charges and can be run continuously; no swift action is required to activate the jet pack on subsequent rounds of use.

Routine maneuvers do not require a Pilot check, but you must make a DC 20 Pilot check if you land after moving more than 12 squares during the same turn; on a failure, you fall prone.

A jet pack can lift up to 180 kg while flying. Replacement fuel cells cost 100 credits.
",fly speed 6sq,Survival Gear,300,30,10,
T,19,,Jet pack (Jango Fett's),,as jet pack with intgrated missile launcher and magnetic grappling hook that functions as a liquid cable dispenser,Survival Gear,,,,100
T,87,w,Lectroticker,"Lectroticker (TotG)

A small electronic device used to bypass low- grade security systems, a lectroticker consists of several small wires connected to a sense-plate. When the sense-plate is inserted into a standard security lock (such as those found on doors throughout the galaxy), the sense-plate is charged with varying amounts of energy, scrambling the signals sent to the electronic lock and fooling its systems into thinking that the correct access card has been provided. A lectroticker can be activated as a swift action, after which it makes a single Mechanics check (with a bonus of +2 or higher, determined by its cost and quality) to disable an electronic lock. All lectrotickers are considered illegal.
","swif, Mechanics +2 to disable electronic lock, illegal, 1500 per +2",Computers and Storage Devices,1500,1,,
J,106,X,Life support chamber (Ooroo's),,"DR 10, +5 equipment bonus to Fortitude Defense, increases fly speed by +2 squares (used by Celegians)",Life Support,,,,
